start_token	end_token	supersense_category	text
0	0	noun.communication	Title
6	6	noun.communication	Author
8	9	noun.person	Andrew Lang
26	26	noun.communication	CONTENTS
46	47	noun.location	Wood Uraschimataro
52	52	noun.act	Slaying
57	58	noun.person	Flying Trunk
60	62	noun.person	Snow - man
68	68	noun.person	Princess
71	71	noun.body	Chest
73	74	noun.person	Three Brothers
76	78	noun.person	Snow - queen
80	81	noun.group	Fir -
82	82	noun.plant	tree
86	86	noun.person	Mermaid
89	90	noun.person	Peter Bull
104	107	noun.group	Cunning Shoemaker The King
110	110	verb.possession	Have
113	114	noun.person	Wife Catherine
120	120	noun.person	Hermit
125	125	noun.person	King
129	131	noun.location	Water of Life
133	136	noun.person	Wounded Lion The Man
141	143	noun.person	Two Brothers Master
145	145	noun.person	Pupil
147	148	noun.person	Golden Lion
152	152	noun.person	Rosemary
154	155	noun.person	White Dove
157	157	noun.person	Troll
163	165	noun.person	Witch Princess Minon
168	168	noun.person	Maiden
171	171	noun.body	eye
174	178	noun.person	Wives King Lindorm The Jackal
181	181	noun.person	Dove
190	190	noun.person	Sparrow
211	212	noun.location	Japanische Marchen
217	218	noun.person	David Brauns
220	220	noun.location	Leipzig
222	223	noun.person	Wilhelm Friedrich
232	232	verb.stative	lived
234	234	noun.animal	cat
237	237	noun.attribute	beauty
241	241	noun.body	skin
247	247	noun.substance	silk
252	252	noun.body	eyes
256	256	verb.perception	see
260	260	noun.state	dark
263	263	noun.communication	name
264	264	verb.stative	was
265	265	noun.person	Gon
269	270	verb.stative	belonged to
272	272	noun.communication	music
273	273	noun.person	teacher
276	276	verb.stative	was
288	288	verb.social	parted
295	295	noun.object	world
302	303	noun.person	music master
305	305	noun.artifact	house
307	307	verb.communication	dwelt
309	309	noun.person	lady
311	311	verb.stative	possessed
316	317	noun.animal	pussy cat
318	318	verb.communication	called
319	319	noun.person	Koma
322	322	verb.stative	was
326	326	noun.person	dear
330	330	verb.body	blinked
332	332	noun.body	eyes
337	337	verb.consumption	ate
339	339	noun.food	supper
347	347	verb.change	finished
349	349	verb.body	licked
352	352	noun.body	nose
358	358	noun.body	tongue
362	362	noun.person	mistress
367	367	verb.communication	saying
370	370	noun.person	Koma
372	372	noun.person	Koma
377	377	verb.social	do
385	385	verb.change	happened
387	387	noun.time	day
396	396	noun.time	evening
397	397	noun.act	stroll
399	399	verb.motion	met
402	403	noun.plant	cherry tree
408	408	noun.time	moment
409	409	verb.change	fell
412	412	noun.feeling	love
417	417	noun.person	Gon
420	420	verb.cognition	felt
423	423	verb.stative	was
424	424	noun.time	time
428	428	verb.possession	find
430	430	noun.person	wife
435	435	noun.person	ladies
438	438	noun.location	neighbourhood
439	439	verb.possession	paid
443	443	noun.act	attention
446	446	verb.change	made
453	453	verb.stative	was
457	457	verb.emotion	please
462	462	verb.emotion	care
472	472	verb.possession	had
473	473	noun.time	time
475	475	verb.cognition	think
477	477	noun.person	Cupid
479	479	verb.contact	entangled
483	483	noun.artifact	net
490	490	noun.feeling	love
492	492	noun.person	Koma
496	496	verb.communication	returned
498	498	noun.feeling	passion
504	504	noun.person	woman
507	507	verb.cognition	saw
509	509	noun.state	difficulties
512	512	noun.act	way
515	515	verb.communication	consulted
518	518	noun.person	Gon
522	522	noun.act	means
524	524	verb.social	overcoming
527	527	noun.person	Gon
528	528	verb.communication	entreated
530	530	noun.person	master
532	532	verb.change	set
536	536	verb.possession	buying
537	537	noun.person	Koma
541	541	noun.person	mistress
544	544	verb.communication	part
550	551	noun.person	music master
553	553	verb.communication	asked
555	555	verb.possession	sell
556	556	noun.person	Gon
559	559	noun.person	lady
563	563	verb.stative	declined
565	565	verb.perception	listen
569	569	noun.communication	suggestion
573	573	verb.change	remained
580	580	noun.feeling	love
583	583	noun.group	couple
584	584	verb.change	grew
588	588	noun.attribute	pitch
591	591	verb.cognition	determined
593	593	verb.social	please
598	598	verb.possession	seek
600	600	noun.possession	fortunes
606	606	noun.time	night
608	609	verb.motion	stole away
612	613	verb.motion	ventured out
617	617	noun.object	world
620	620	noun.time	day
623	623	verb.motion	marched
628	628	noun.phenomenon	sunshine
633	633	verb.stative	left
635	635	noun.artifact	homes
642	642	noun.time	evening
644	644	verb.perception	found
649	649	noun.location	park
652	652	noun.person	wanderers
655	655	noun.event	time
656	656	verb.stative	were
664	664	noun.plant	grass
665	665	verb.stative	looked
673	673	noun.plant	trees
674	674	verb.creation	cast
677	677	noun.attribute	shadows
682	682	noun.person	ogre
683	683	verb.change	appeared
686	686	noun.location	Paradise
690	690	noun.attribute	shape
696	696	noun.animal	dog
699	699	verb.motion	came
700	700	verb.motion	springing
703	703	verb.perception	showing
706	706	noun.body	teeth
709	709	noun.person	Koma
710	710	verb.communication	shrieked
713	713	verb.motion	rushed
716	717	noun.plant	cherry tree
719	719	noun.person	Gon
723	723	verb.contact	stood
725	725	noun.body	ground
729	729	verb.change	prepared
731	731	verb.communication	give
732	732	noun.act	battle
736	736	verb.cognition	felt
