start_token	end_token	supersense_category	text
4	5	noun.location	Golden River
7	8	noun.person	John Ruskin
9	9	noun.communication	PREFACE
15	16	noun.location	Golden River
18	18	verb.stative	is
21	22	noun.communication	fairy tale
23	23	verb.communication	told
26	26	noun.person	Ruskin
28	28	noun.attribute	charm
30	30	noun.attribute	style
33	33	noun.cognition	appreciation
35	35	noun.object	mountain
36	36	noun.object	scenery
42	42	noun.communication	insistence
44	44	verb.contact	drawing
46	46	noun.communication	moral
53	53	verb.stative	is
58	58	noun.communication	writings
62	62	noun.time	life
65	65	noun.artifact	pen
66	66	verb.stative	was
68	68	verb.cognition	interpreting
69	69	noun.object	nature
71	71	noun.artifact	pictures
73	73	noun.artifact	architecture
76	76	verb.social	persuading
79	79	verb.communication	views
83	83	verb.cognition	believed
85	85	verb.stative	be
90	90	verb.emotion	arousing
95	95	noun.attribute	heat
98	98	noun.person	prophet
100	100	noun.feeling	zeal
105	105	verb.cognition	knew
107	107	verb.stative	be
111	111	verb.stative	is
114	115	noun.quantity	good deal
118	118	noun.person	prophet
120	121	noun.person	John Ruskin
126	126	noun.person	interpreter
131	131	noun.cognition	appreciation
133	133	noun.attribute	beauty
136	136	noun.person	man
140	140	noun.time	century
141	141	verb.cognition	felt
146	146	verb.possession	had
148	148	noun.act	mission
152	152	verb.stative	was
158	158	verb.cognition	believed
160	160	noun.act	mission
162	162	verb.stative	be
167	167	noun.group	college
170	170	verb.perception	seemed
172	172	noun.state	chance
173	173	noun.event	incident
174	174	verb.possession	gave
175	175	noun.motive	occasion
177	177	noun.act	direction
180	180	noun.act	mission
185	185	noun.person	reviewer
187	187	verb.communication	ridiculed
189	189	noun.artifact	work
192	193	noun.person	artist Turner
196	196	noun.person	Ruskin
197	197	verb.cognition	held
198	198	noun.person	Turner
200	200	verb.stative	be
203	203	noun.artifact	landscape
204	204	noun.person	painter
206	206	noun.group	world
208	208	verb.perception	seen
213	213	verb.communication	wrote
216	216	noun.communication	article
219	219	noun.communication	defense
223	223	noun.communication	article
224	224	verb.stative	grew
227	227	noun.communication	pamphlet
231	231	noun.communication	pamphlet
234	234	noun.communication	book
238	238	noun.artifact	volume
247	247	noun.person	man
248	248	verb.emotion	awoke
250	250	verb.perception	find
258	258	noun.time	years
261	261	noun.communication	volumes
263	263	verb.change	added
274	274	noun.communication	series
276	276	noun.artifact	art
282	282	noun.location	Venice
294	295	verb.communication	sent forth
303	303	noun.person	Ruskin
304	304	verb.stative	was
307	307	noun.time	years
311	311	verb.change	came
