start_token	end_token	supersense_category	text
2	3	noun.person	CLEVER KINGS
5	5	noun.communication	Illustration
7	9	noun.person	Old King Roland
10	10	verb.contact	lay
13	13	noun.state	death
15	15	noun.body	bed
20	20	verb.possession	had
22	22	noun.person	son
24	24	verb.social	reign
28	29	verb.communication	sent for
32	32	noun.person	nephews
34	34	noun.person	Aldovrand
36	36	noun.person	Aldebert
39	39	noun.person	Alderete
42	42	verb.communication	addressed
49	49	noun.person	nephews
52	52	verb.cognition	feel
55	55	noun.time	days
58	58	verb.change	drawing
61	61	noun.event	end
70	70	verb.stative	be
71	71	noun.person	King
74	74	verb.stative	am
79	79	verb.stative	is
81	81	noun.feeling	pleasure
83	83	verb.stative	being
84	84	noun.person	King
87	87	noun.group	people
89	89	verb.stative	been
92	92	verb.social	govern
95	95	verb.cognition	content
99	99	verb.creation	did
106	106	noun.state	life
108	108	verb.stative	been
117	117	verb.social	watched
124	124	verb.cognition	know
128	128	verb.stative	is
132	132	verb.body	wear
134	134	noun.communication	crown
138	138	noun.feeling	wish
139	139	verb.stative	is
144	144	verb.social	try
151	151	noun.person	Aldovrand
155	155	verb.stative	are
161	161	noun.person	King
167	167	verb.social	reign
178	178	verb.social	fail
180	180	verb.social	let
181	181	noun.person	Aldebert
182	182	verb.social	take
184	184	noun.act	place
189	189	verb.social	fail
191	191	verb.social	let
193	193	verb.possession	give
197	197	noun.person	Alderete
203	203	verb.cognition	know
205	205	verb.stative	is
210	210	verb.social	govern
217	218	noun.person	young men
220	220	verb.communication	thanked
222	222	noun.person	uncle
227	227	verb.communication	declared
231	231	verb.social	do
233	233	noun.act	best
239	240	noun.person	King Roland
241	241	verb.change	died
244	244	verb.social	buried
247	247	noun.state	state
249	249	noun.act	ceremony
253	253	noun.person	Aldovrand
256	256	verb.stative	be
257	257	noun.person	King
262	262	verb.social	crowned
268	268	noun.feeling	rejoicings
273	273	verb.stative	Tis
276	276	noun.state	thing
278	278	verb.stative	be
279	279	noun.person	King
282	282	verb.communication	cried
286	286	noun.feeling	glee
292	292	verb.body	amuse
295	295	verb.social	do
299	299	verb.emotion	please
304	304	verb.stative	be
308	308	verb.social	stop
314	314	verb.stative	lie
316	316	noun.artifact	bed
321	321	verb.emotion	like
324	324	noun.time	morning
329	329	verb.communication	blame
334	334	verb.stative	is
335	335	noun.person	King
339	339	noun.time	morning
341	342	noun.person	Prime Minister
345	345	noun.person	Chancellor
346	346	verb.motion	came
349	349	noun.artifact	palace
351	351	verb.social	see
354	354	noun.person	King
356	356	verb.cognition	settle
357	357	noun.act	affairs
359	359	noun.location	state
364	364	verb.communication	told
367	367	noun.person	majesty
368	368	verb.stative	was
370	370	noun.artifact	bed
373	373	verb.possession	given
374	374	noun.communication	orders
379	379	verb.social	disturb
384	384	verb.stative	is
387	387	noun.time	beginning
390	390	verb.communication	sighed
392	393	noun.person	Prime Minister
400	400	verb.communication	echoed
402	402	noun.person	Chancellor
406	407	verb.motion	came back
410	410	noun.artifact	palace
414	414	noun.time	day
416	416	noun.person	King
418	418	verb.competition	playing
420	420	noun.artifact	battledore
422	422	noun.artifact	shuttlecock
427	427	noun.person	gentlemen
430	430	verb.stative	was
435	435	verb.communication	interrupted
438	438	noun.act	game
443	443	noun.artifact	thing
447	447	verb.communication	cried
453	453	noun.person	King
457	457	verb.motion	sent
465	465	verb.stative	were
467	467	noun.communication	lacquey
471	472	verb.motion	go away
474	474	verb.motion	come
476	476	noun.event	time
481	481	verb.perception	hearing
484	485	noun.person	Prime Minister
487	487	noun.person	Chancellor
488	488	verb.perception	looked
494	494	noun.time	morning
496	496	verb.motion	came
498	502	noun.person	Commander - in - Chief
505	507	noun.person	Lord High Admiral
513	514	noun.person	Prime Minister
517	517	noun.person	Chancellor
520	520	verb.emotion	wanting
524	524	noun.act	audience
527	527	noun.person	King
532	532	verb.stative	was
536	536	noun.artifact	bed
541	541	verb.stative	wait
547	547	verb.contact	stood
550	551	noun.artifact	bedroom door
554	554	verb.contact	knocked
556	556	verb.possession	gain
557	557	noun.act	admittance
563	564	verb.change	came out
568	568	noun.feeling	rage
571	571	verb.contact	throwing
574	574	noun.communication	crown
576	576	verb.communication	cried
