start_token	end_token	supersense_category	text
4	4	verb.contact	Edited
6	8	noun.person	Andrew Lang CONTENTS
9	9	noun.communication	Preface
11	12	noun.person	Shifty Lad
14	15	noun.person	False Prince
20	20	noun.person	Jogi
32	33	noun.location	Lost Paradise
35	36	noun.location	Brave Walter
43	44	noun.location	Waterfalls A
45	46	noun.location	French Puck
48	49	noun.group	Three Crowns
51	51	noun.communication	Story
58	59	noun.person	Brown Bear
61	61	noun.location	Norway
69	72	noun.person	Deer A Fish Story
74	75	noun.person	Wonderful Tune
78	79	noun.person	Rich Brother
90	90	noun.person	Bones
92	95	noun.group	Djulung The Sea King
99	102	noun.group	Raspberry Worm The Stones
104	105	noun.location	Plouhinec The
106	108	noun.group	Castle of Kerglas
113	115	noun.group	Birds The Lady
118	118	noun.location	Fountain
127	127	noun.location	Isle
129	131	noun.location	Lok The Escape
134	137	noun.person	Mouse The Believing Husbands
139	139	noun.person	Hoodie
141	141	noun.person	Crow
144	144	noun.person	Brownie
147	148	noun.location	Lake The
151	151	noun.location	Olwen
153	154	noun.person	Shifty Lad
157	157	noun.location	land
159	159	noun.location	Erin
165	165	noun.person	widow
167	167	verb.possession	had
170	170	noun.person	son
173	173	verb.stative	was
176	176	noun.person	boy
180	181	verb.possession	saved up
183	183	noun.possession	money
185	185	verb.motion	send
188	188	noun.cognition	school
196	196	verb.stative	was
201	201	verb.social	apprentice
205	205	noun.act	trade
209	209	verb.cognition	choose
214	214	noun.time	time
215	215	verb.change	came
218	218	verb.communication	said
223	223	verb.social	bound
226	226	noun.act	trade
231	231	verb.cognition	meant
233	233	verb.stative	be
235	235	noun.person	thief
239	239	noun.person	mother
240	240	verb.stative	was
245	245	verb.cognition	heard
251	251	verb.cognition	knew
257	257	verb.social	tried
259	259	verb.social	stop
261	261	verb.possession	having
264	264	noun.act	way
268	268	verb.change	grow
272	272	verb.possession	get
278	278	noun.communication	answer
280	280	verb.social	made
281	281	verb.stative	was
284	284	noun.time	end
286	286	noun.person	thieves
288	288	verb.contact	hanging
291	291	noun.artifact	bridge
293	293	noun.location	Dublin
298	298	verb.change	left
302	302	verb.emotion	hoping
306	306	verb.stative	was
310	310	verb.change	become
315	315	noun.time	day
318	319	verb.motion	going to
320	320	noun.act	church
322	322	verb.perception	hear
324	324	noun.communication	sermon
328	328	noun.person	preacher
332	332	verb.communication	begged
334	335	noun.person	Shifty Lad
339	339	noun.person	neighbours
340	340	verb.communication	called
344	344	noun.act	tricks
346	346	verb.social	played
349	349	verb.social	come
356	356	verb.body	laughed
358	358	verb.communication	declared
363	363	verb.emotion	like
364	364	noun.communication	sermons
366	366	verb.communication	adding
373	373	verb.communication	promise
380	380	noun.act	trade
382	382	verb.perception	hear
386	387	verb.motion	come out
391	391	verb.stative	be
393	393	noun.act	trade
396	396	noun.relation	rest
399	399	noun.time	life
403	403	noun.communication	words
404	404	verb.possession	gave
407	407	noun.feeling	comfort
411	411	noun.person	woman
415	415	noun.cognition	heart
416	416	verb.stative	was
422	422	verb.communication	bade
424	424	noun.communication	farewell
428	429	noun.person	Shifty Lad
430	430	verb.cognition	thought
433	433	noun.time	hour
436	437	verb.change	come for
439	439	noun.communication	sermon
441	441	verb.stative	be
445	445	verb.perception	hid
449	449	noun.plant	bushes
453	453	noun.artifact	path
455	455	verb.stative	led
459	459	noun.person	mother
461	461	noun.artifact	house
467	467	verb.motion	passed
470	471	verb.cognition	thinking of
475	475	noun.act	things
478	478	verb.perception	heard
481	481	noun.communication	voice
482	482	verb.communication	shouted
486	486	noun.body	ear
488	488	noun.act	Robbery
490	490	noun.act	Robbery
492	492	noun.act	Robbery
496	496	noun.attribute	suddenness
499	499	verb.communication	made
501	501	verb.motion	jump
505	505	noun.person	boy
507	507	verb.social	managed
509	509	verb.change	change
511	511	noun.attribute	voice
518	518	verb.cognition	know
526	526	verb.perception	concealed
534	534	verb.perception	peered
542	542	verb.perception	see
551	551	verb.motion	turned
553	553	noun.location	corner
555	556	noun.person	Shifty Lad
557	558	verb.change	came out
562	562	verb.motion	running
567	567	noun.substance	wood
569	569	verb.social	contrived
571	571	verb.motion	reach
575	575	noun.person	mother
578	578	verb.creation	found
580	581	verb.body	stretched out
585	585	noun.process	fire
592	592	verb.possession	got
594	594	noun.communication	news
596	596	verb.communication	tell
600	600	verb.communication	asked
606	606	noun.quantity	nothing
610	610	verb.motion	left
612	612	noun.artifact	church
619	619	verb.motion	stop
621	622	verb.communication	speak to
633	633	verb.communication	mentioned
635	635	noun.act	trade
641	641	verb.communication	said
643	643	noun.attribute	tones
645	645	noun.feeling	disappointment
654	654	verb.communication	replied
663	663	verb.motion	walked
666	666	noun.act	path
668	668	noun.communication	voice
669	670	verb.communication	cried out
676	676	noun.act	Robbery
681	681	verb.stative	was
692	692	verb.communication	answered
694	694	noun.person	boy
700	700	verb.communication	tell
707	707	verb.stative	be
709	709	noun.act	trade
715	715	noun.time	end
718	718	verb.contact	hanging
721	721	noun.artifact	bridge
723	723	noun.location	Dublin
726	726	verb.communication	said
731	731	verb.stative	was
733	733	noun.state	sleep
737	737	noun.time	night
741	741	verb.contact	lay
745	746	verb.cognition	thinking about
748	748	noun.person	son
755	755	verb.stative	be
757	757	noun.person	thief
764	764	verb.stative	be
771	771	verb.stative	is
775	775	verb.communication	teach
780	780	noun.person	mother
781	781	verb.communication	asked
786	786	noun.cognition	idea
787	788	verb.perception	came to
793	793	verb.body	arose
798	798	noun.object	sun
799	799	verb.stative	was
800	800	verb.motion	up
803	804	verb.motion	set off
807	807	noun.artifact	home
810	811	noun.person	Black Rogue
814	815	noun.person	Gallows Bird
818	818	verb.stative	was
822	822	noun.person	thief
829	829	verb.possession	robbed
836	836	verb.cognition	catch
842	842	noun.time	morning
847	847	verb.communication	said
849	849	noun.person	woman
852	852	verb.motion	reached
854	854	noun.location	place
857	859	noun.person	Black Gallows Bird
860	860	verb.stative	lived
863	863	verb.stative	was
868	868	noun.act	business
872	872	noun.person	son
873	873	verb.possession	has
875	875	noun.cognition	fancy
877	877	verb.cognition	learn
879	879	noun.act	trade
883	883	verb.stative	be
887	887	verb.communication	teach
894	894	verb.stative	is
900	900	verb.communication	mind
901	901	verb.social	trying
904	904	verb.communication	answered
906	908	noun.person	Black Gallows Bird
920	920	verb.cognition	turn
927	927	noun.person	thief
930	930	verb.stative	is
935	935	verb.stative	is
939	939	verb.stative	is
942	942	noun.attribute	use
949	949	verb.consumption	bear
951	951	noun.group	people
958	958	verb.stative	is
963	963	verb.communication	said
965	965	noun.person	woman
968	968	noun.communication	sigh
974	974	noun.time	night
977	977	noun.time	dark
981	981	verb.motion	send
988	989	noun.person	Shifty Lad
990	990	verb.emotion	jumped
992	992	noun.feeling	joy
995	995	noun.person	mother
996	996	verb.communication	told
1001	1001	verb.stative	been
1006	1006	verb.stative	become
1009	1009	noun.person	thief
1012	1012	noun.location	Erin
1016	1016	verb.communication	cried
1019	1019	verb.communication	paid
1021	1021	noun.cognition	heed
1024	1024	noun.person	mother
1025	1025	verb.body	shook
1027	1027	noun.body	head
1029	1029	verb.communication	murmured
1034	1034	noun.artifact	bridge
1036	1036	noun.location	Dublin
1040	1040	noun.time	evening
1042	1042	noun.time	dark
1044	1045	noun.person	Shifty Lad
1046	1047	verb.motion	went to
1049	1049	noun.location	home
1058	1058	verb.stative	were
1061	1061	noun.act	tricks
1063	1063	verb.social	learned
1072	1072	verb.social	allowed
1074	1075	verb.motion	go out
1077	1078	noun.person	the Bird
1080	1080	verb.perception	watch
1089	1089	verb.change	came
1091	1091	noun.time	day
1094	1094	noun.person	master
1095	1095	verb.cognition	though
1099	1099	verb.change	grown
1103	1103	verb.social	help
1107	1107	noun.act	robbery
1111	1111	verb.stative	is
1114	1114	noun.person	farmer
1119	1119	noun.object	hill
1124	1124	verb.possession	sold
1128	1128	noun.animal	cattle
1131	1131	noun.possession	money
1134	1134	verb.possession	bought
1140	1140	verb.stative	cost
1146	1146	verb.change	happens
1152	1152	verb.possession	received
1154	1154	noun.possession	money
1158	1158	noun.animal	cattle
1164	1164	verb.possession	paid
1166	1166	noun.attribute	price
1174	1174	verb.possession	has
1177	1177	noun.artifact	cowhouse
1184	1185	verb.motion	go to
1187	1187	noun.artifact	market
1190	1190	noun.possession	money
1193	1193	noun.body	hand
1198	1198	noun.time	night
1201	1202	verb.motion	get at
1204	1204	noun.body	chest
1208	1208	verb.stative	is
1212	1212	verb.stative	hide
1215	1215	noun.artifact	loft
1221	1221	noun.object	moon
1227	1227	noun.time	night
1229	1229	noun.location	Hallowe’en
1234	1234	verb.consumption	burning
1235	1235	noun.food	nuts
1237	1237	verb.contact	catching
1238	1238	noun.food	apples
1241	1241	noun.artifact	tub
1243	1243	noun.substance	water
1246	1246	noun.body	hands
1247	1247	verb.contact	tied
1250	1250	verb.creation	playing
1252	1252	noun.cognition	sorts
1255	1255	noun.act	games
1259	1260	noun.person	Shifty Lad
