start_token	end_token	supersense_category	text
0	0	noun.communication	Title
5	5	noun.communication	Book
8	9	noun.person	Andrew Lang
22	22	noun.communication	BOOK
26	26	noun.communication	CONTENTS
31	31	noun.communication	BOOK
33	33	noun.communication	Story
41	41	noun.communication	Story
58	58	noun.person	Soldier
71	72	noun.location	Blue Falcon
77	77	noun.quantity	Two
78	78	noun.artifact	Caskets
80	80	noun.person	Goldsmith
93	93	noun.communication	Story
95	96	noun.person	Manus Pinkel
98	98	noun.person	Thief
103	103	noun.person	Jackal
105	105	noun.communication	Adventures
108	108	noun.person	Jackal
110	111	noun.person	Eldest Son
113	113	noun.communication	Adventures
116	117	noun.person	Younger Son
120	120	noun.person	Jackal
128	128	noun.location	Rover
131	132	noun.location	Plain The
133	134	noun.person	White Doe
136	136	noun.person	Girl
138	138	noun.animal	Fish
140	140	noun.animal	Owl
143	143	noun.animal	Eagle
145	145	noun.animal	Frog
148	149	noun.person	Lion Fairy
153	153	noun.person	Covan
214	214	noun.location	town
216	216	noun.location	Senna
219	219	noun.object	banks
222	222	noun.location	Zambesi
225	225	verb.body	born
227	227	noun.person	child
230	230	verb.stative	was
234	234	noun.person	children
238	238	verb.stative	was
246	246	noun.body	shoulder
248	248	verb.stative	carried
251	251	noun.artifact	sack
256	256	noun.body	hand
258	258	noun.substance	iron
259	259	noun.artifact	hammer
264	264	verb.communication	speak
268	268	noun.person	man
273	273	verb.stative	was
278	278	noun.time	day
280	280	noun.person	mother
281	281	verb.communication	said
287	287	noun.person	child
291	291	noun.communication	name
294	294	verb.cognition	know
300	300	verb.communication	answered
303	303	verb.communication	Call
306	307	noun.person	head men
309	309	noun.location	Senna
313	313	noun.object	river
315	315	noun.object	bank
320	320	noun.person	mother
321	321	verb.communication	called
323	324	noun.person	head men
327	327	noun.group	town
333	333	verb.motion	come
335	335	verb.motion	led
342	342	noun.object	pool
345	345	noun.object	river
350	350	noun.animal	crocodiles
351	351	verb.stative	lived
356	356	noun.group	men
360	360	verb.communication	said
365	365	verb.perception	listened
372	372	verb.motion	leap
375	375	noun.object	pool
377	377	verb.competition	overcome
379	379	noun.animal	crocodiles
386	387	verb.motion	come forward
391	391	verb.motion	turned
393	393	verb.motion	sprang
396	396	noun.substance	water
398	398	verb.change	disappeared
401	401	noun.group	people
402	402	verb.stative	held
404	404	noun.substance	breath
408	408	verb.cognition	thought
413	413	noun.person	boy
415	415	verb.communication	bewitched
417	418	verb.possession	throws away
420	420	noun.state	life
424	424	noun.animal	crocodiles
426	426	verb.consumption	eat
433	433	noun.object	ground
434	434	verb.body	trembled
438	438	noun.object	pool
440	440	verb.motion	heaving
442	442	verb.motion	swirling
444	444	verb.change	became
447	447	noun.body	blood
452	452	noun.person	boy
453	453	verb.motion	rising
456	456	noun.object	surface
457	457	verb.motion	swam
459	459	noun.object	shore
463	463	verb.stative	was
468	468	noun.person	boy
471	471	verb.stative	was
475	475	noun.person	man
485	485	noun.group	people
486	486	verb.communication	shouted
488	488	noun.feeling	gladness
491	491	verb.perception	saw
499	499	noun.group	people
503	503	verb.communication	cried
505	505	verb.motion	waving
507	507	noun.body	hand
511	511	verb.cognition	know
513	513	noun.communication	name
516	516	verb.stative	am
517	517	noun.person	Makoma
528	528	verb.contact	slain
530	530	noun.animal	crocodiles
533	533	noun.object	pool
537	537	verb.motion	venture
542	542	verb.communication	said
545	545	noun.person	mother
548	548	verb.motion	Rest
552	552	noun.person	mother
556	556	verb.motion	go
558	558	verb.creation	make
560	560	noun.location	home
564	564	verb.stative	become
566	566	noun.person	hero
571	571	verb.motion	entering
573	573	noun.artifact	hut
575	575	verb.contact	took
576	576	noun.person	Nu
581	581	noun.substance	iron
582	582	noun.artifact	hammer
585	585	verb.contact	throwing
587	587	noun.artifact	sack
590	590	noun.body	shoulder
593	594	verb.motion	went away
596	596	noun.person	Makoma
597	597	verb.motion	crossed
