start_token	end_token	supersense_category	text
0	0	noun.person	PHANTASMION
6	7	noun.person	POTENTILLA APPEARS
10	12	noun.person	YOUNG PRINCE PHANTASMION
16	16	noun.person	boy
17	17	verb.perception	hid
21	21	noun.person	nurse
23	23	noun.act	sport
26	26	verb.social	strayed
31	31	noun.artifact	garden
34	34	noun.person	father
40	40	noun.person	prince
44	44	verb.motion	lowed
46	46	noun.animal	bees
48	48	noun.plant	jflower
50	50	noun.plant	flower
54	54	verb.motion	dered
60	60	verb.motion	gone
65	65	verb.motion	came
68	69	noun.plant	hollow tree
72	72	verb.consumption	hived
75	75	verb.perception	watched
77	77	verb.motion	entering
79	79	noun.artifact	storehouse
83	83	noun.possession	treasures
86	86	verb.possession	collected
89	89	verb.contact	lay
92	92	noun.substance	turf
94	94	verb.body	laughing
96	96	verb.communication	talking
104	104	noun.time	while
107	107	verb.contact	plucked
111	111	noun.plant	blade
113	113	noun.plant	grass
119	119	verb.contact	thrust
124	124	noun.artifact	entrance
127	127	noun.artifact	hive
131	131	noun.communication	voice
137	137	noun.communication	murmur
140	140	noun.animal	bees
142	142	verb.communication	cried
145	145	noun.person	Phantasmion
150	150	noun.person	child
151	151	verb.cognition	thought
154	154	noun.person	nurse
156	156	verb.communication	calling
160	160	noun.attribute	tones
164	164	verb.change	started
166	166	verb.communication	saying
228	228	noun.location	PHANTASMION
234	234	verb.perception	looked
238	239	verb.contact	casting up
241	241	noun.body	eyes
243	243	verb.perception	saw
246	246	verb.contact	stood
251	251	noun.person	woman
255	255	noun.body	figure
258	258	noun.person	nurse
269	269	noun.attribute	countenance
271	271	verb.communication	made
281	281	noun.person	Phantasmion
284	284	verb.communication	said
286	286	noun.person	stranger
290	290	noun.person	boy
294	294	verb.social	made
296	296	noun.communication	answer
300	300	verb.perception	looked
304	304	noun.person	child
308	308	verb.stative	was
314	314	verb.communication	said
322	322	verb.possession	take
329	329	verb.communication	replied
335	335	verb.cognition	took
339	339	noun.person	nurse
344	344	verb.cognition	see
348	348	verb.stative	art
362	362	noun.person	nurse
365	365	verb.communication	said
368	368	noun.person	woman
371	371	noun.person	boy
380	380	verb.stative	stopped
383	383	verb.body	blushed
388	388	noun.time	pause
390	390	verb.communication	said
394	394	noun.cognition	thing
395	395	verb.stative	is
400	400	noun.animal	wings
403	403	noun.body	shoulders
407	407	verb.possession	has
416	416	verb.communication	replied
421	421	verb.stative	am
425	425	noun.person	nurse
429	429	verb.social	do
432	432	verb.stative	is
435	435	noun.cognition	skill
440	440	verb.cognition	thinkest
447	447	noun.person	boy
448	448	verb.body	laughed
451	451	verb.communication	said
455	455	noun.attribute	countenance
457	457	verb.communication	pointing
461	461	noun.plant	tree
466	466	verb.communication	make
468	468	noun.animal	bees
471	472	verb.motion	gone in
474	474	verb.motion	fly
478	478	noun.artifact	hive
482	482	noun.group	swarm
486	486	noun.person	fairy
490	490	verb.communication	answer
493	493	verb.contact	touched
496	496	noun.plant	trunk
499	499	noun.artifact	wand
503	503	noun.animal	bees
504	504	verb.motion	poured
508	508	noun.artifact	receptacle
510	510	noun.quantity	thousands
512	512	noun.quantity	thousands
515	515	verb.contact	hung
519	519	noun.group	cluster
522	522	noun.plant	branch
525	525	noun.plant	sycamore
531	531	noun.person	child
532	533	verb.perception	looked upon
535	535	noun.group	swarm
538	538	verb.perception	seemed
540	540	verb.stative	be
544	544	noun.object	diamonds
547	547	verb.perception	glanced
552	553	noun.phenomenon	sun- shine
556	556	verb.emotion	dazzled
558	558	noun.cognition	sight
619	619	noun.location	PHANTASMION
621	621	noun.person	boy
622	622	verb.body	laughed
626	626	verb.motion	leaped
629	629	noun.location	air
632	632	verb.contact	clapped
634	634	noun.body	hands
636	636	noun.feeling	joy
640	640	noun.person	fairy
641	641	verb.contact	placed
643	643	noun.artifact	wand
647	647	noun.body	palm
649	649	verb.communication	saying
653	653	verb.contact	Strike
655	655	noun.plant	tree
658	658	verb.communication	say
661	662	verb.motion	Go in
669	669	verb.motion	enter
671	671	noun.group	hive
676	676	noun.body	cheeks
680	680	noun.person	boy
681	681	verb.change	blushed
688	688	noun.body	eyes
689	689	verb.perception	sparkled
693	693	verb.contact	struck
696	696	noun.plant	trunk
700	700	noun.attribute	might
703	703	verb.communication	cried
706	706	verb.motion	Go
709	710	verb.motion	go in
717	717	verb.social	done
722	722	noun.group	multitude
723	723	verb.motion	quitted
725	725	noun.group	branch
728	728	noun.plant	sycamore
731	731	verb.change	disappeared
734	734	noun.body	body
737	737	noun.plant	tree
742	742	noun.person	woman
