start_token	end_token	supersense_category	text
0	0	noun.person	Editor
2	3	noun.person	Andrew Lang
20	20	noun.communication	CONTENTS
33	33	noun.person	Dschemil
35	36	noun.person	Dschemila Janni
44	44	noun.person	Thief
47	47	noun.person	Liar
61	62	noun.group	Picking Flowers
64	64	noun.communication	Story
66	70	noun.group	Bensurdatu The Magician ’s Horse
72	76	noun.person	Little Gray Man Herr Lazarus
79	79	noun.person	Draken
81	81	noun.communication	Story
87	89	noun.location	Flowery Isles Udea
92	97	noun.group	Seven Brothers The White Wolf Mohammed
100	101	noun.group	Magic Finger
102	104	noun.person	Bobino The Dog
107	107	noun.person	Sparrow
109	109	noun.communication	Story
112	113	noun.group	Three Sons
123	123	noun.person	Jackal
126	126	noun.location	Spring
134	137	noun.person	Buk Ettemsuch Laughing Eye
139	140	noun.person	Weeping Eye
144	145	noun.location	Limping Fox
150	152	noun.person	Prince The Simpleton
154	155	noun.person	Street Musicians
157	159	noun.person	Twin Brothers Cannetella
161	163	noun.person	Ogre A Fairy
165	166	noun.person	Blunder Long
171	172	noun.person	Quickeye Prunella
173	174	noun.person	Donkey Skin
176	176	verb.stative	was
182	182	noun.person	king
187	187	verb.emotion	beloved
190	190	noun.person	subjects
193	193	verb.cognition	thought
197	197	noun.person	monarch
201	201	noun.object	world
205	205	verb.possession	had
208	208	noun.cognition	heart
210	210	verb.emotion	desire
213	213	noun.artifact	palace
215	215	verb.stative	filled
220	220	noun.communication	curiosities
224	224	noun.artifact	gardens
228	228	noun.plant	flowers
233	233	noun.substance	marble
234	234	noun.artifact	stalls
237	237	noun.artifact	stables
238	238	verb.contact	stood
240	240	noun.group	row
242	242	noun.animal	milk
245	245	noun.animal	Arabs
250	250	noun.body	eyes
252	252	noun.person	Strangers
255	255	verb.cognition	heard
258	258	noun.substance	marvels
261	261	noun.person	king
263	263	verb.possession	collected
266	266	verb.social	made
268	268	noun.act	journeys
270	270	verb.social	see
273	273	verb.stative	were
277	277	verb.emotion	surprised
279	279	verb.perception	find
283	283	noun.artifact	stall
286	286	verb.stative	occupied
289	289	noun.animal	donkey
296	296	noun.body	ears
299	299	verb.stative	was
303	303	noun.artifact	donkey
313	313	verb.cognition	tell
315	315	noun.quantity	nothing
321	322	verb.stative	account for
324	324	noun.act	care
329	329	verb.contact	lodged
333	334	verb.motion	went away
