start_token	end_token	supersense_category	text
1	2	noun.person	Light Princess
6	6	noun.communication	Stories
8	9	noun.person	George MacDonald
16	16	noun.person	boy
20	20	verb.contact	sit
23	23	noun.time	twilight
25	25	verb.perception	listen
28	28	noun.person	great
30	30	noun.person	aunt
32	32	noun.communication	stories
35	35	verb.communication	told
41	41	verb.motion	reach
43	43	noun.location	place
46	46	noun.location	end
50	50	verb.contact	stands
53	53	verb.possession	find
57	57	noun.artifact	key
62	62	verb.stative	is
64	64	noun.communication	key
69	69	noun.person	boy
71	71	verb.communication	ask
78	78	noun.artifact	key
84	84	verb.contact	open
90	90	verb.cognition	knows
94	94	noun.person	aunt
96	96	verb.communication	reply
102	102	verb.cognition	find
109	109	verb.cognition	suppose
111	111	verb.stative	being
112	112	noun.possession	gold
116	116	noun.person	boy
118	118	verb.communication	said
126	126	verb.possession	get
128	129	noun.quantity	good deal
131	131	noun.possession	money
136	136	verb.possession	sold
143	143	verb.possession	find
146	146	verb.possession	sell
150	150	verb.communication	returned
152	152	noun.person	aunt
157	157	noun.person	boy
158	159	verb.motion	went to
160	160	noun.artifact	bed
162	163	verb.creation	dreamed about
165	166	noun.artifact	golden key
173	175	noun.person	great - aunt
176	176	verb.communication	told
178	178	noun.person	boy
182	182	noun.artifact	key
185	185	verb.stative	been
186	186	noun.communication	nonsense
195	195	noun.artifact	house
196	196	verb.stative	stood
199	199	noun.location	borders
201	201	noun.location	Fairyland
212	212	noun.location	Fairyland
216	216	verb.possession	find
219	219	noun.object	rainbow
220	220	verb.contact	stands
223	223	noun.person	creature
224	224	verb.cognition	takes
227	227	noun.cognition	care
231	231	noun.artifact	key
234	234	verb.motion	flitting
236	236	noun.location	place
238	238	noun.location	place
243	243	verb.possession	find
248	248	noun.location	Fairyland
250	250	verb.stative	is
254	254	noun.artifact	Things
256	256	verb.perception	look
260	260	noun.location	country
261	261	verb.perception	look
266	266	noun.location	Fairyland
272	272	noun.artifact	things
277	278	verb.motion	stand still
281	281	noun.time	moment
285	285	verb.motion	move
290	290	verb.stative	was
298	299	noun.person	old lady
301	301	verb.communication	tell
303	303	noun.person	nephew
305	305	noun.cognition	things
309	309	noun.artifact	key
315	315	verb.cognition	know
317	317	verb.possession	find
322	322	verb.communication	asked
324	324	noun.time	evening
327	327	noun.communication	Yes
330	330	noun.person	father
333	333	verb.cognition	believe
335	335	verb.possession	found
344	344	verb.social	do
350	350	verb.communication	tell
357	357	verb.communication	told
363	363	verb.stative	was
371	371	verb.communication	showed
382	382	noun.artifact	key
383	383	verb.motion	come
392	392	verb.cognition	know
396	396	verb.stative	is
402	402	verb.stative	is
404	404	noun.object	rainbow
406	406	noun.animal	egg
412	412	verb.stative	is
416	416	verb.stative	be
419	419	noun.person	boy
422	422	verb.possession	find
424	424	noun.object	nest
430	430	verb.change	comes
431	431	verb.motion	tumbling
434	434	noun.object	rainbow
437	437	noun.object	sky
447	447	noun.time	evening
450	450	noun.time	summer
453	454	verb.motion	went into
457	457	noun.artifact	room
460	460	verb.contact	stood
463	463	noun.artifact	lattice
465	465	noun.artifact	window
468	468	verb.perception	gazed
471	471	noun.group	forest
473	473	verb.stative	fringed
475	475	noun.location	outskirts
477	477	noun.location	Fairyland
480	480	verb.motion	came
485	485	noun.person	great
487	487	noun.person	aunt
489	489	noun.artifact	garden
495	495	verb.motion	sent
498	498	noun.plant	trees
503	503	noun.group	forest
504	504	verb.stative	lay
507	507	noun.relation	east
511	511	noun.object	sun
515	515	verb.change	setting
518	518	noun.artifact	cottage
520	520	verb.perception	looked
525	525	noun.substance	wood
528	529	noun.attribute	level red
530	530	noun.body	eye
533	533	noun.plant	trees
534	534	verb.stative	were
539	539	verb.stative	had
541	541	noun.plant	branches
547	547	noun.object	sun
549	549	verb.perception	see
552	552	noun.attribute	way
555	555	noun.group	forest
559	559	noun.person	boy
561	561	verb.stative	being
567	567	verb.perception	see
573	573	noun.object	sun
576	576	noun.plant	trunks
577	577	verb.contact	stood
579	579	noun.group	rows
582	582	noun.artifact	columns
585	585	noun.phenomenon	shine
589	589	noun.object	sun
594	594	verb.perception	see
596	596	noun.artifact	aisle
598	598	noun.artifact	aisle
602	602	noun.attribute	distance
607	607	verb.perception	gazed
610	610	noun.group	forest
612	612	verb.change	began
614	614	verb.emotion	feel
618	618	noun.plant	trees
621	621	verb.stative	waiting
626	626	verb.possession	had
631	632	verb.stative	go on
636	636	verb.motion	came
642	642	verb.stative	was
646	646	verb.emotion	wanted
648	648	noun.food	supper
652	652	verb.stative	lingered
659	659	noun.plant	trees
665	665	noun.object	sun
667	667	verb.weather	shine
670	670	verb.perception	saw
673	673	noun.artifact	thing
676	676	verb.stative	was
678	678	noun.location	end
681	681	noun.object	rainbow
689	689	verb.communication	count
693	693	noun.attribute	colours
697	697	verb.perception	see
698	698	noun.state	shade
700	700	noun.attribute	shade
703	703	noun.plant	violet
709	709	verb.stative	stood
711	711	noun.attribute	colour
719	719	verb.stative	was
721	721	noun.attribute	colour
725	725	verb.perception	seen
730	730	noun.substance	spring
735	735	noun.artifact	arch
736	736	verb.stative	was
741	741	verb.perception	see
742	742	noun.quantity	nothing
747	747	noun.plant	trees
752	752	noun.artifact	key
756	756	verb.communication	said
761	761	verb.motion	darted
765	765	noun.artifact	house
770	770	noun.substance	wood
775	776	verb.motion	gone far
779	779	noun.phenomenon	sun
780	780	verb.motion	set
784	784	noun.object	rainbow
786	786	verb.change	glowed
792	792	noun.object	rainbow
794	794	noun.object	Fairyland
795	795	verb.stative	is
800	800	noun.object	sun
803	803	verb.stative	is
806	806	noun.plant	trees
807	807	verb.motion	welcomed
811	811	noun.plant	bushes
812	813	verb.motion	made way
818	818	noun.object	rainbow
819	819	verb.change	grew
828	828	verb.perception	found
832	832	noun.plant	trees
837	837	verb.stative	was
840	840	noun.attribute	sight
842	842	verb.stative	burning
846	846	noun.state	silence
857	857	noun.attribute	colours
868	868	verb.perception	see
870	871	noun.quantity	great deal
877	877	verb.motion	rose
882	882	noun.location	heavens
885	885	verb.contact	bent
892	892	verb.cognition	tell
896	896	noun.plant	crown
899	899	noun.shape	arch
901	901	verb.stative	reach
904	904	verb.stative	was
909	909	noun.relation	portion
913	913	noun.artifact	bow
916	916	verb.contact	stood
917	917	verb.perception	gazing
922	922	verb.cognition	forgot
925	925	noun.feeling	delight
928	928	verb.cognition	forgot
930	930	noun.artifact	key
934	934	verb.motion	come
936	936	verb.contact	seek
941	941	verb.stative	stood
943	943	verb.change	grew
953	953	noun.attribute	colours
956	956	verb.stative	was
961	961	noun.shape	column
964	964	noun.artifact	church
969	969	verb.perception	see
971	971	noun.Tops	forms
973	973	verb.motion	ascending
978	978	noun.artifact	steps
982	982	noun.artifact	stair
985	985	noun.Tops	forms
986	986	verb.change	appeared
1001	1001	noun.person	men
1003	1003	noun.person	women
1005	1005	noun.person	children
1014	1014	verb.motion	drew
1018	1018	noun.object	rainbow
1021	1021	verb.change	vanished
1024	1024	verb.motion	started
1027	1027	noun.quantity	step
1029	1029	noun.feeling	dismay
1032	1032	verb.stative	was
1043	1043	verb.consumption	contented
1046	1046	verb.contact	standing
1055	1055	verb.perception	watching
1057	1057	noun.Tops	forms
1059	1059	verb.motion	ascended
1062	1062	noun.attribute	colours
1066	1066	noun.attribute	height
1069	1069	noun.artifact	arch
1074	1074	verb.change	end
1078	1079	verb.change	faded away
1083	1083	noun.location	air
1091	1091	verb.communication	say
1094	1094	verb.stative	ceased
1098	1098	noun.cognition	thought
1102	1102	noun.artifact	key
1103	1103	verb.motion	returned
1106	1106	noun.person	boy
1109	1109	verb.communication	proceeded
1111	1112	verb.contact	mark out
1115	1115	noun.cognition	mind
1117	1117	noun.location	space
1118	1118	verb.stative	covered
1121	1121	noun.artifact	foundation
1124	1124	noun.object	rainbow
1131	1131	verb.cognition	know
1134	1134	verb.contact	search
1138	1138	noun.object	rainbow
1139	1139	verb.change	disappear
1143	1143	verb.cognition	based
1147	1147	noun.object	bed
1149	1149	noun.plant	moss
1154	1154	verb.change	grown
1159	1159	noun.substance	wood
1162	1162	noun.object	rainbow
1164	1164	verb.stative	was
1169	1169	noun.phenomenon	light
1173	1173	noun.time	moment
1175	1175	noun.object	moon
1176	1176	verb.motion	rose
1178	1178	noun.communication	rainbow
1179	1179	verb.change	vanished
1184	1184	noun.relation	change
1186	1186	noun.location	place
1187	1187	verb.change	restore
1189	1189	noun.cognition	vision
1192	1192	noun.person	boy
1194	1194	noun.body	eyes
1198	1198	verb.motion	threw
1204	1204	noun.object	bed
1207	1207	verb.stative	wait
1210	1210	noun.phenomenon	sunlight
1212	1212	verb.possession	give
1215	1215	noun.state	chance
1217	1217	verb.possession	finding
1219	1219	noun.artifact	key
1223	1223	verb.body	fell
1225	1225	verb.body	asleep
1229	1229	verb.body	woke
1232	1232	noun.time	morning
1234	1234	noun.object	sun
1236	1236	verb.perception	looking
1240	1240	noun.body	eyes
1243	1244	verb.motion	turned away
1251	1251	noun.time	moment
1252	1252	verb.perception	saw
1256	1256	noun.artifact	thing
1257	1257	verb.stative	lying
1260	1260	noun.plant	moss
1263	1263	noun.quantity	foot
1266	1266	noun.body	face
1269	1269	verb.stative	was
1272	1272	noun.artifact	key
1275	1275	noun.artifact	pipe
1278	1278	verb.stative	was
1281	1281	noun.attribute	gold
1286	1286	noun.substance	gold
1288	1288	verb.stative	be
1291	1291	noun.artifact	handle
1296	1296	verb.contact	set
1298	1298	noun.animal	sapphires
1302	1302	noun.feeling	terror
1304	1304	noun.feeling	delight
1306	1307	verb.contact	put out
1309	1309	noun.body	hand
1311	1311	verb.contact	took
1315	1315	verb.consumption	had
1319	1319	verb.stative	lay
1324	1324	verb.motion	turning
1331	1331	verb.consumption	feeding
1333	1333	noun.body	eyes
1336	1336	noun.attribute	beauty
1340	1340	verb.motion	jumped
1343	1343	noun.body	feet
1345	1345	verb.cognition	remembering
1349	1349	noun.artifact	thing
1350	1350	verb.stative	was
1353	1353	noun.attribute	use
1359	1359	verb.stative	was
1361	1361	noun.artifact	lock
1365	1365	noun.artifact	key
1366	1366	verb.stative	belonged
1370	1370	verb.stative	be
1381	1381	verb.creation	make
1383	1383	noun.artifact	key
1387	1387	verb.stative	was
1389	1389	noun.artifact	lock
1394	1394	verb.motion	go
1396	1397	verb.contact	look for
1401	1401	verb.perception	gazed
1408	1408	noun.location	air
1413	1413	noun.substance	earth
1416	1416	verb.perception	saw
1418	1418	noun.artifact	keyhole
1421	1421	noun.object	clouds
1425	1425	noun.plant	grass
1430	1430	noun.plant	trees
1435	1435	verb.change	began
1437	1437	verb.change	grow
1443	1443	verb.perception	saw
1445	1445	verb.change	glimmering
1448	1448	noun.substance	wood
1451	1451	verb.stative	was
1454	1454	noun.phenomenon	glimmer
1457	1457	verb.perception	saw
1461	1461	verb.cognition	took
1465	1465	noun.phenomenon	glimmer
1467	1467	noun.event	rainbow
1470	1470	verb.motion	went
1476	1477	verb.motion	go back
1480	1480	noun.location	borders
1483	1483	noun.group	forest
1489	1489	noun.artifact	house
1492	1492	noun.person	boy
1494	1494	verb.stative	lived
1496	1496	verb.stative	was
1498	1498	noun.artifact	house
1501	1501	noun.person	owner
1504	1504	verb.stative	was
1506	1506	noun.person	merchant
1509	1509	verb.stative	was
1513	1513	noun.location	home
1517	1517	verb.possession	lost
1519	1519	noun.person	wife
1521	1521	noun.time	years
1525	1525	verb.possession	had
1528	1528	noun.person	child
1532	1532	noun.person	girl
1536	1536	verb.cognition	left
1539	1539	noun.act	charge
1542	1542	noun.person	servants
1545	1545	verb.stative	were
1556	1556	verb.change	left
1564	1564	verb.consumption	used
1576	1576	noun.Tops	creatures
1579	1579	noun.animal	fairies
1583	1583	verb.stative	are
1586	1586	noun.cognition	kinds
1588	1588	noun.person	fairies
1590	1590	noun.location	Fairyland
1592	1592	verb.possession	have
1595	1595	noun.feeling	dislike
1597	1597	noun.act	untidiness
1602	1602	verb.stative	are
1607	1607	noun.group	people
1615	1615	noun.act	ways
1618	1618	noun.plant	trees
1620	1620	noun.plant	flowers
1625	1625	noun.state	neatness
1628	1628	noun.animal	birds
1631	1631	noun.plant	woodland
1632	1632	noun.person	creatures
1635	1635	verb.change	makes
1637	1637	verb.emotion	feel
1644	1644	noun.group	woods
1649	1649	noun.plant	carpets
1652	1652	verb.cognition	think
