start_token	end_token	supersense_category	text
0	0	noun.communication	Title
6	6	noun.communication	Author
8	11	noun.person	Oscar Wilde THE FISHERMAN
14	17	noun.person	SOUL TO H.S.H. ALICE
19	19	noun.person	PRINCESS
23	23	noun.time	evening
26	26	noun.person	Fisherman
27	28	verb.motion	went out
31	31	noun.object	sea
34	34	verb.contact	threw
36	36	noun.artifact	nets
39	39	noun.object	water
43	43	noun.phenomenon	wind
44	44	verb.weather	blew
47	47	noun.location	land
49	49	verb.contact	caught
50	50	noun.quantity	nothing
60	60	verb.stative	was
67	67	noun.phenomenon	wind
71	71	noun.event	waves
72	73	verb.motion	rose up
75	75	verb.motion	meet
81	81	noun.phenomenon	wind
82	82	verb.weather	blew
85	85	noun.object	shore
88	88	noun.animal	fish
89	90	verb.motion	came in
96	96	verb.motion	swam
99	99	noun.artifact	meshes
102	102	noun.artifact	nets
106	106	verb.motion	took
110	110	noun.act	market
112	112	noun.location	place
114	114	verb.possession	sold
118	118	noun.time	evening
120	121	verb.motion	went out
124	124	noun.object	sea
128	128	noun.time	evening
130	130	noun.artifact	net
131	131	verb.stative	was
138	138	verb.contact	draw
142	142	noun.artifact	boat
146	146	verb.body	laughed
149	149	verb.communication	said
157	157	verb.contact	caught
160	160	noun.animal	fish
162	162	verb.motion	swim
165	165	verb.social	snared
168	168	noun.person	monster
171	171	verb.stative	be
173	173	noun.event	marvel
175	175	noun.person	men
179	179	noun.cognition	thing
181	181	noun.feeling	horror
185	185	noun.person	Queen
187	187	verb.emotion	desire
191	192	verb.contact	putting forth
195	195	noun.attribute	strength
198	198	verb.contact	tugged
202	202	noun.artifact	ropes
206	206	noun.shape	lines
209	209	noun.artifact	enamel
212	212	noun.artifact	vase
214	214	noun.substance	bronze
218	218	noun.body	veins
219	219	verb.change	rose
223	223	noun.body	arms
226	226	verb.contact	tugged
230	230	noun.artifact	ropes
236	236	verb.motion	came
238	238	noun.shape	circle
241	241	noun.substance	corks
245	245	noun.artifact	net
246	246	verb.motion	rose
251	251	noun.location	top
254	254	noun.object	water
258	258	noun.animal	fish
261	261	verb.stative	was
267	267	noun.person	monster
269	269	noun.state	thing
271	271	noun.feeling	horror
277	277	noun.person	Mermaid
278	278	verb.stative	lying
283	283	noun.body	hair
284	284	verb.stative	was
288	288	noun.substance	fleece
290	290	noun.substance	gold
295	295	noun.body	hair
298	298	noun.shape	thread
304	304	noun.artifact	cup
306	306	noun.substance	glass
309	309	noun.body	body
310	310	verb.stative	was
313	313	noun.substance	ivory
317	317	noun.animal	tail
318	318	verb.stative	was
320	320	noun.substance	silver
322	322	noun.attribute	pearl
324	324	noun.substance	Silver
326	326	noun.substance	pearl
327	327	verb.stative	was
329	329	noun.animal	tail
334	334	noun.artifact	weeds
337	337	noun.object	sea
338	338	verb.contact	coiled
344	344	noun.substance	sea
346	346	noun.substance	shells
349	349	noun.body	ears
353	353	noun.body	lips
354	354	verb.stative	were
356	356	noun.object	sea
358	358	noun.animal	coral
362	362	noun.event	waves
363	363	verb.motion	dashed
367	367	noun.body	breasts
371	371	noun.substance	salt
372	372	verb.change	glistened
375	375	noun.body	eyelids
379	379	verb.stative	was
385	385	noun.person	Fisherman
386	386	verb.perception	saw
389	389	verb.stative	was
392	392	noun.feeling	wonder
396	397	verb.contact	put out
399	399	noun.body	hand
401	401	verb.contact	drew
403	403	noun.artifact	net
409	409	verb.contact	leaning
412	412	noun.location	side
414	414	verb.contact	clasped
418	418	noun.body	arms
423	423	verb.contact	touched
427	427	verb.communication	gave
429	429	noun.communication	cry
433	433	noun.object	sea
435	435	noun.animal	gull
438	438	verb.body	woke
441	441	verb.perception	looked
445	445	noun.feeling	terror
450	450	noun.substance	amethyst
451	451	noun.body	eyes
454	454	verb.emotion	struggled
458	458	verb.motion	escape
462	462	verb.contact	held
471	471	verb.emotion	suffer
474	474	verb.motion	depart
479	479	verb.cognition	saw
486	487	verb.social	escape from
491	491	verb.change	began
493	493	verb.body	weep
496	496	verb.communication	said
500	500	verb.communication	pray
502	502	verb.social	let
504	504	verb.motion	go
508	508	verb.stative	am
511	511	noun.person	daughter
514	514	noun.person	King
518	518	noun.person	father
519	519	verb.stative	is
528	528	noun.person	Fisherman
529	529	verb.communication	answered
535	535	verb.social	let
537	537	verb.motion	go
540	540	verb.communication	makest
543	543	noun.communication	promise
547	547	verb.communication	call
552	552	verb.motion	come
554	554	verb.communication	sing
560	560	noun.animal	fish
561	561	verb.emotion	delight
563	563	verb.perception	listen
566	566	noun.communication	song
571	571	noun.group	folk
577	577	noun.body	nets
578	578	verb.stative	be
587	587	noun.communication	truth
588	588	verb.social	let
590	590	verb.motion	go
594	594	verb.communication	promise
599	599	verb.communication	cried
601	601	noun.person	Mermaid
606	606	noun.cognition	truth
609	609	verb.social	let
614	614	verb.communication	said
617	617	noun.person	Fisherman
621	621	verb.change	made
624	624	noun.communication	promise
626	626	verb.emotion	desired
629	629	verb.contact	sware
633	633	noun.communication	oath
