start_token	end_token	supersense_category	text
1	2	noun.person	BROWN OWL
4	6	noun.person	Ford Madox Ford
14	14	noun.time	while
21	21	noun.location	Egypt
23	23	verb.motion	risen
25	25	noun.state	power
28	28	noun.location	Rome
30	30	noun.location	Greece
34	34	verb.cognition	heard
39	39	verb.stative	was
41	41	noun.time	time
48	48	verb.cognition	know
51	51	verb.stative	was
53	53	noun.person	king
55	55	verb.cognition	reigned
62	62	noun.object	kingdom
66	66	noun.person	king
67	67	verb.stative	was
73	73	verb.creation	founded
75	75	noun.location	kingdom
81	81	verb.competition	reigned
92	92	noun.quantity	half
93	93	noun.time	years
99	99	verb.communication	said
103	103	verb.stative	was
107	107	noun.group	kingdom
111	111	verb.stative	contained
115	115	noun.artifact	things
118	118	noun.location	whole
122	122	noun.location	half
125	125	noun.object	world
128	128	noun.relation	rest
131	131	noun.object	world
133	133	verb.social	divided
136	136	noun.group	kingdoms
140	140	noun.state	kingdom
142	142	verb.social	ruled
146	146	noun.person	princes
152	152	verb.stative	were
159	159	noun.person	Intafernes
164	164	verb.communication	called
167	168	noun.person	King Intafernes
169	169	verb.stative	was
173	173	noun.person	magician
176	176	verb.stative	was
180	180	verb.stative	remained
185	185	noun.artifact	throne
190	190	verb.cognition	know
194	194	noun.location	country
196	196	noun.group	people
198	198	verb.social	divided
201	201	noun.group	classes
205	205	verb.stative	were
206	206	noun.person	magicians
211	211	verb.stative	were
215	215	noun.person	magicians
216	216	verb.communication	called
218	218	noun.person	Aristocrats
223	223	verb.communication	called
227	227	verb.emotion	liked
232	232	noun.location	country
238	238	noun.group	countries
242	242	noun.person	magicians
243	243	verb.possession	had
245	246	noun.attribute	upper hand
249	249	noun.relation	rest
257	257	verb.communication	grumble
264	264	verb.social	treated
267	267	noun.cognition	whole
273	273	noun.person	magicians
276	276	noun.location	country
278	278	noun.person	King
279	279	verb.stative	was
286	286	verb.social	approached
290	290	noun.attribute	power
293	293	noun.person	Chancellor
296	296	verb.stative	was
298	298	noun.person	Merrymineral
303	303	verb.stative	was
308	308	noun.person	King
312	312	noun.cognition	things
313	314	noun.person	King Intafernes
315	315	verb.possession	had
317	317	noun.person	daughter
320	320	verb.stative	was
327	327	noun.person	princesses
328	328	verb.stative	are
332	332	verb.stative	be
335	335	verb.stative	had
339	339	noun.body	face
343	343	noun.attribute	wealth
346	346	noun.body	hair
348	348	verb.motion	fell
351	351	noun.body	shoulders
356	356	noun.object	waterfall
357	357	verb.motion	falling
359	359	noun.shape	ripples
362	362	noun.body	waist
368	368	noun.time	year
371	371	noun.person	father
373	373	noun.time	reign
375	375	noun.person	Princess
376	376	verb.stative	was
382	382	noun.location	country
384	384	verb.stative	was
390	390	noun.time	days
394	394	noun.time	birthday
399	399	noun.person	father
400	400	verb.body	fell
401	401	verb.body	sick
404	404	verb.body	weakened
410	410	verb.possession	had
412	412	noun.attribute	strength
415	415	verb.stative	lie
419	419	noun.artifact	bed
426	426	verb.possession	retained
428	428	noun.cognition	faculties
433	433	noun.person	Princess
435	435	noun.time	birthday
437	437	verb.communication	made
440	440	noun.person	magicians
441	441	verb.motion	file
444	444	noun.artifact	bed
446	446	verb.communication	swear
448	448	verb.stative	be
454	454	noun.person	Princess
459	459	verb.change	came
461	461	noun.person	Chancellor
465	465	noun.person	Merrymineral
472	472	noun.communication	oath
474	474	noun.person	King
475	475	verb.perception	looked
481	481	noun.act	glance
483	483	verb.communication	said
490	490	noun.person	Merrymineral
495	495	verb.stative	was
497	497	noun.state	need
504	504	noun.communication	oath
508	508	verb.stative	is
510	510	noun.attribute	nature
512	512	verb.stative	be
517	517	verb.stative	being
519	519	noun.attribute	nature
525	525	verb.stative	be
533	533	noun.person	Merrymineral
534	534	verb.communication	answered
540	540	noun.person	master
545	545	noun.person	mistress
550	550	verb.stative	be
558	558	noun.feeling	sentiment
566	566	noun.person	magicians
569	569	verb.social	help
572	572	noun.communication	applause
576	576	verb.stative	were
580	580	noun.person	King
581	581	verb.communication	said
589	589	noun.person	Merrymineral
594	594	verb.body	act
595	595	verb.communication	up
598	598	noun.communication	words
602	602	verb.cognition	leave
604	605	noun.person	good men
610	610	verb.stative	am
613	613	noun.time	end
618	618	verb.stative	spend
621	621	noun.time	moments
624	624	noun.person	daughter
635	635	noun.person	courtiers
636	636	verb.motion	left
638	638	verb.emotion	wishing
642	642	noun.communication	adieux
646	646	verb.stative	been
649	649	noun.person	king
657	657	noun.time	reign
661	661	verb.stative	were
667	667	verb.cognition	leave
680	680	noun.person	Merrymineral
687	687	verb.motion	went
691	691	noun.body	frame
692	692	verb.body	shaking
695	695	noun.communication	sobs
698	698	noun.body	body
699	699	verb.perception	seemed
702	702	noun.feeling	grief
706	706	noun.body	limbs
709	709	verb.possession	refuse
711	711	noun.attribute	functions
714	714	noun.person	King
715	715	verb.perception	looked
720	720	verb.cognition	noticing
723	723	noun.artifact	door
724	724	verb.stative	was
729	729	verb.communication	spoke
734	734	noun.person	daughter
738	738	verb.communication	said
745	745	verb.stative	be
756	756	verb.contact	cherish
758	758	noun.person	Owl
761	761	verb.emotion	cherish
763	763	noun.person	Owl
765	765	verb.communication	promise
768	768	verb.emotion	cherish
770	770	noun.person	Owl
778	778	verb.emotion	cherish
780	780	noun.person	Owl
783	783	verb.communication	cried
786	786	noun.person	Princess
795	795	verb.cognition	know
798	798	verb.stative	is
803	803	noun.person	King
805	805	verb.communication	answered
808	809	noun.person	Dear Ismara
812	812	verb.communication	promise
814	814	verb.contact	cherish
816	816	noun.person	Owl
821	821	verb.communication	said
822	822	noun.quantity	nothing
826	827	noun.time	long time
833	833	noun.person	Princess
834	834	verb.cognition	saw
838	838	noun.act	way
840	840	verb.social	let
842	842	verb.stative	rest
844	844	noun.state	peace
845	845	verb.stative	was
847	847	verb.communication	promise
851	851	verb.communication	said
855	855	verb.communication	promise
858	858	noun.person	father
864	864	verb.emotion	wish
866	866	verb.cognition	knew
871	871	noun.person	Owl
872	872	verb.stative	is
877	877	verb.emotion	cherish
883	883	verb.cognition	see
890	890	verb.communication	answered
892	892	noun.person	King
903	903	verb.change	die
909	909	verb.stative	be
916	916	verb.communication	promised
922	922	verb.social	let
924	924	verb.cognition	rest
928	928	verb.motion	wheel
930	930	noun.artifact	bed
935	935	verb.perception	see
939	939	noun.artifact	window
943	943	noun.person	Princess
948	948	verb.communication	told
956	956	verb.creation	imagine
959	959	verb.stative	was
963	963	noun.person	princess
967	967	verb.stative	was
972	972	noun.person	princesses
975	975	noun.time	age
979	980	noun.person	old King
983	983	verb.stative	was
987	987	noun.person	magician
992	992	verb.communication	told
996	996	verb.change	made
998	998	noun.artifact	bed
1003	1003	verb.motion	move
1008	1008	verb.social	made
1010	1010	verb.motion	move
1014	1014	noun.state	accord
1018	1018	verb.cognition	knew
1022	1022	verb.emotion	please
1024	1024	noun.person	daughter
1026	1026	verb.stative	be
1028	1028	noun.act	service
1035	1035	verb.social	let
1037	1037	verb.motion	move
1041	1041	noun.artifact	view
1044	1044	noun.artifact	window
1045	1045	verb.stative	was
1051	1051	noun.substance	wood
1052	1052	verb.change	grew
1055	1055	noun.location	foreground
1062	1062	noun.plant	tree
1064	1064	noun.location	tops
1065	1065	verb.stative	were
1068	1068	noun.object	hills
1073	1073	noun.object	sun
1076	1076	verb.change	preparing
1078	1078	verb.motion	retire
1082	1082	verb.perception	seemed
1086	1086	noun.object	sun
1090	1090	noun.body	face
1091	1091	verb.stative	was
1098	1098	noun.artifact	beams
1099	1099	verb.weather	smote
1105	1105	verb.change	gilded
1107	1107	noun.location	tops
1110	1110	noun.time	autumn
1111	1111	noun.plant	trees
1115	1115	noun.attribute	gold
1119	1119	noun.attribute	tint
1124	1124	noun.object	clouds
1125	1125	verb.contact	spread
1130	1130	verb.stative	reached
1134	1134	noun.location	pall
1137	1137	noun.shape	verge
1140	1140	noun.location	horizon
1142	1142	verb.creation	forming
1145	1145	noun.shape	frame
1151	1151	noun.location	sunset
1157	1157	noun.location	west
1158	1158	verb.stative	was
1163	1163	noun.phenomenon	light
1166	1166	noun.person	Princess
1167	1167	verb.contact	sat
1170	1170	noun.artifact	bed
1173	1173	noun.person	King
1177	1177	verb.change	dying
1178	1178	noun.object	sun
1179	1179	verb.perception	lit
1183	1183	verb.motion	fell
1187	1187	noun.attribute	glare
1190	1190	noun.person	King
1193	1193	noun.attribute	countenance
1198	1198	verb.cognition	knew
1201	1201	noun.act	work
1203	1203	noun.substance	earth
1206	1206	noun.time	day
1222	1222	verb.communication	cried
1224	1225	noun.person	old King
