start_token	end_token	supersense_category	text
1	1	noun.person	COBBLER
4	4	noun.person	GHOSTS
9	9	verb.stative	lived
11	11	noun.person	cobbler
13	13	verb.perception	had
16	16	noun.cognition	wits
21	21	noun.act	industry
24	24	verb.possession	earn
27	27	verb.stative	keep
32	32	noun.person	mother
34	34	noun.state	comfort
38	38	noun.attribute	manner
41	41	verb.stative	lived
44	44	noun.time	years
46	46	noun.state	peace
48	48	noun.state	prosperity
53	53	noun.person	relative
54	54	verb.change	died
56	56	verb.possession	left
60	60	noun.possession	sum
62	62	noun.possession	money
66	66	verb.emotion	elated
68	68	noun.person	cobbler
72	73	verb.cognition	think of
74	74	noun.quantity	nothing
80	80	noun.communication	talk
81	81	verb.stative	was
85	85	noun.act	way
87	87	verb.possession	spending
89	89	noun.possession	legacy
92	92	noun.person	mother
93	93	verb.communication	advised
96	96	verb.contact	lay
102	102	noun.time	day
108	108	verb.communication	said
114	114	verb.stative	lived
118	118	noun.state	comfort
121	121	verb.stative	are
124	124	verb.possession	have
125	125	noun.state	need
127	127	noun.quantity	nothing
132	132	verb.change	grow
139	139	verb.emotion	please
140	140	noun.person	Heaven
143	143	verb.change	become
149	149	verb.stative	be
153	153	noun.possession	savings
160	160	noun.person	cobbler
163	163	verb.perception	listen
166	166	noun.communication	No
169	169	verb.communication	said
175	175	verb.possession	save
177	177	noun.possession	money
181	181	verb.possession	stolen
186	186	verb.consumption	spend
192	192	verb.possession	have
194	194	noun.act	use
198	198	verb.possession	buy
202	202	verb.possession	sell
207	207	verb.stative	are
209	209	verb.social	minded
214	214	verb.communication	proposed
216	216	noun.act	purchase
222	222	verb.stative	was
227	227	noun.relation	rest
232	233	verb.motion	gone on
236	236	noun.time	time
239	239	noun.time	morning
241	241	verb.communication	exclaimed
252	252	verb.possession	buy
254	254	noun.artifact	house
260	260	verb.possession	stolen
262	262	verb.possession	lost
267	267	verb.stative	is
271	271	verb.possession	have
273	273	noun.possession	rent
275	275	verb.possession	pay
283	283	verb.social	work
296	296	noun.cognition	plan
