start_token	end_token	supersense_category	text
3	3	verb.communication	Translated
5	5	noun.communication	Edited
7	10	noun.person	Mrs. A. W. Hall
13	13	noun.communication	Illustrations
15	19	noun.person	E. A. Mason Preface Ornament
21	22	noun.communication	Fairy Tales
23	23	verb.perception	seem
26	26	verb.stative	require
28	28	noun.communication	preface
32	32	verb.creation	publishing
36	36	noun.communication	legends
41	41	noun.communication	remarks
44	44	verb.stative	be
52	52	noun.communication	form
57	57	noun.communication	stories
58	58	verb.stative	are
65	65	noun.cognition	reading
70	70	verb.stative	been
72	72	noun.person	Editor
74	74	noun.act	endeavour
76	76	verb.communication	ameliorate
78	78	verb.cognition	eliminating
81	81	noun.cognition	matter
88	88	verb.possession	preserving
90	90	noun.cognition	originality
93	93	noun.cognition	colouring
98	98	verb.possession	possess
103	103	verb.cognition	found
107	107	verb.stative	bear
109	109	noun.attribute	similarity
116	117	noun.communication	fairy tales
121	121	verb.stative	been
123	123	noun.feeling	delight
126	126	noun.person	children
129	129	noun.time	generations
134	134	verb.stative	possess
136	136	noun.cognition	originality
142	142	verb.stative	is
151	151	noun.communication	legends
153	153	verb.stative	is
156	156	noun.person	prince
158	158	verb.communication	delivers
160	160	noun.person	princess
162	162	verb.creation	performs
167	167	noun.act	deeds
171	171	noun.communication	tales
173	173	verb.stative	is
181	181	noun.person	6]princess
183	183	noun.person	peasant
184	184	noun.person	maiden
186	186	verb.perception	undergoes
189	189	noun.feeling	hardships
191	191	noun.act	trials
196	196	noun.act	dangers
197	197	verb.social	rescues
199	199	noun.person	prince
202	203	verb.social	fallen under
205	205	noun.communication	ban
209	209	noun.person	witch
211	211	noun.person	giantess
214	214	noun.communication	story
218	218	noun.person	brothers
225	225	verb.stative	is
229	229	noun.communication	illustration
233	233	noun.communication	proverb
236	236	noun.group	bundle
238	238	noun.animal	sticks
243	243	noun.communication	tone
244	244	verb.stative	runs
251	251	noun.communication	tales
253	253	verb.communication	exhibiting
258	258	noun.attribute	qualities
261	261	noun.attribute	nature
267	267	noun.communication	Contents
269	269	noun.communication	Contents
288	288	noun.person	Thorstein
289	289	verb.possession	lost
291	291	noun.location	Kingdom
301	301	noun.location	Castle
309	310	noun.location	Locked Room
319	319	verb.possession	received
328	328	noun.person	Friend
336	336	verb.competition	wrestles
347	347	noun.person	Helga
352	352	noun.act	Escape
359	360	noun.person	LINEIK AND
367	367	noun.person	HERMOD
373	374	noun.person	HANS I.
375	376	noun.person	Hans Starts
379	379	noun.act	Travels
390	390	verb.motion	returned
402	403	noun.location	GRANITE BOAT
411	411	noun.person	Geir
416	416	noun.person	Greybeard
417	417	verb.cognition	outwitted
419	419	noun.person	King
422	423	noun.person	Princess Sigrid
434	435	noun.person	PEASANT LAD
437	438	noun.person	LAUGHING INGIBJÖRG
440	440	noun.person	Thorwald
442	442	noun.person	Ingibjörg
445	445	verb.social	treated
448	448	noun.person	stepmother
451	451	verb.social	tries
453	455	verb.possession	get rid of
460	461	noun.person	How Thorwald
463	463	noun.person	Ingibjörg
464	464	verb.perception	found
468	470	noun.location	Witch ’s Island
483	483	noun.act	Escape
493	494	noun.person	Queen Guda
499	499	noun.person	Witch
501	501	noun.location	Thrall
509	510	noun.person	Queen Hertha
511	511	verb.change	fell
521	521	verb.change	befallen
532	532	noun.person	Olga
534	534	noun.person	Courage
535	535	verb.social	rescues
536	537	noun.person	Her Brothers
539	540	noun.person	Queen Hertha
542	542	verb.change	restored
545	545	noun.person	Husband
549	549	noun.person	Parents
550	550	verb.possession	recover
552	552	noun.person	Children
564	564	noun.person	Queen
571	571	verb.creation	proceeds
574	574	noun.act	Tour
577	577	noun.location	Kingdom
584	585	noun.person	Fair Isolde
589	589	noun.person	Father
591	591	verb.motion	gone
596	597	noun.person	Fair Isolde
599	599	verb.motion	escapes
602	602	verb.body	disguises
607	607	noun.person	Fertram
608	608	verb.motion	falls
611	611	noun.act	Spell
615	615	verb.contact	betrothed
618	619	noun.person	Dark Isolde
624	624	noun.communication	Spell
626	626	verb.change	broken
630	631	noun.person	Wicked Queen
633	633	noun.act	Designs
635	635	verb.change	frustrated
637	638	noun.person	PRINCE HLINI
642	642	noun.person	HILDUR
648	648	noun.communication	Contents
652	653	noun.artifact	Illustrations Ornament
655	655	noun.communication	PAGE
659	660	verb.motion	rose up
663	663	noun.substance	Air
665	665	noun.artifact	Frontispiece
668	668	noun.person	Randur
669	669	verb.change	appeared
673	673	noun.location	Thing
679	679	verb.perception	saw
681	682	noun.group	Big Three
684	685	noun.location	Headed Giant
690	690	verb.perception	saw
692	693	noun.person	Young Girl
694	694	verb.contact	fastened
697	697	noun.artifact	Nail
700	700	noun.artifact	Wall
704	704	noun.artifact	Plaits
706	706	noun.body	Hair
712	712	verb.perception	hid
716	717	noun.location	Projecting Rock
724	724	verb.change	appeared
728	728	noun.person	Helga
729	729	verb.possession	gave
733	733	noun.attribute	Terror
738	738	verb.change	appeared
747	747	verb.motion	Creeping
751	751	noun.plant	Tree
755	755	noun.person	Laufey
760	760	noun.body	face
765	765	noun.body	Hand
766	766	verb.contact	opened
768	768	noun.group	Lattice
774	774	noun.time	Spring
776	776	verb.stative	was
779	779	noun.communication	Grave
785	785	noun.animal	Rat
787	787	noun.animal	Mouse
789	789	verb.competition	fighting
791	791	verb.contact	biting
802	802	verb.possession	have
804	804	noun.act	Wish
807	807	verb.communication	muttered
812	812	noun.person	Hans
815	815	verb.perception	saw
818	818	verb.stative	was
824	824	noun.person	Kurt
825	825	verb.emotion	hoped
827	827	noun.person	Giantess
829	829	verb.stative	be
833	833	noun.body	face
837	837	verb.social	stepped
843	843	noun.person	Figure
848	849	noun.person	Grey Man
856	856	noun.group	Branch
861	861	verb.perception	saw
863	863	noun.artifact	Figure
874	874	noun.person	Harald
875	875	verb.social	pitied
877	878	noun.person	Old Man
882	883	noun.person	Queen Guda
884	884	verb.motion	rolled
886	886	noun.substance	Stone
889	889	noun.object	Sea
894	894	verb.social	let
896	896	verb.contact	catch
900	900	verb.communication	face
903	903	noun.person	Olga
904	904	verb.motion	went
908	908	noun.object	Rock
915	915	verb.motion	leave
920	920	verb.communication	cried
921	922	noun.person	Fair Isolde
927	928	noun.person	Old Cook
930	930	verb.contact	sitting
933	933	noun.animal	Stool
934	934	verb.consumption	shelling
935	935	noun.food	Peas
939	939	noun.person	Signy
940	940	verb.motion	entered
948	948	verb.body	dressed
952	952	noun.person	Peasant
959	959	noun.person	Contents
968	968	noun.person	King
970	971	noun.person	Three Sons
973	973	noun.communication	Legend
976	976	noun.person	King
979	979	noun.person	Sons
982	982	noun.time	days
985	985	verb.stative	lived
987	987	noun.person	king
990	990	noun.person	queen
993	993	verb.stative	were
1000	1000	noun.object	kingdom
1002	1002	verb.cognition	known
1013	1013	noun.group	country
1016	1016	noun.object	world
1019	1019	verb.possession	had
1021	1021	noun.person	sons
1023	1023	noun.person	Osric
1025	1025	noun.person	Edric
1028	1028	noun.person	Frithiof,—all
1037	1037	noun.person	parents
1041	1041	verb.possession	having
1043	1043	noun.person	daughter
1046	1046	noun.person	king
1048	1048	verb.social	adopted
1051	1051	noun.person	orphan
1052	1052	noun.person	niece
1053	1053	noun.person	Isolde
1056	1057	verb.social	grew up
1060	1060	noun.person	sons
1063	1063	verb.stative	was
1068	1068	noun.person	playfellow
1072	1072	noun.person	king
1074	1074	noun.person	queen
1075	1075	verb.social	making
1077	1077	noun.cognition	distinction
1083	1083	noun.person	children
1087	1087	noun.person	princess
1088	1088	verb.change	grew
1093	1093	verb.change	grew
1099	1099	verb.stative	was
1101	1101	noun.time	years
1104	1104	verb.stative	was
1106	1106	noun.person	maiden
1109	1109	noun.location	land
1115	1115	noun.person	Isolde
1119	1119	noun.person	brothers
1120	1122	verb.social	fell in love
1126	1126	verb.emotion	wanted
1128	1128	verb.social	marry
1134	1134	verb.communication	asking
1136	1136	noun.person	father
1139	1139	noun.cognition	hand
1141	1141	noun.state	marriage
1145	1145	noun.person	king
1146	1146	verb.stative	was
1148	1148	verb.cognition	puzzled
1151	1151	verb.social	do
1155	1155	verb.emotion	loved
1157	1157	noun.person	sons
1167	1167	verb.communication	12]decided
1170	1170	noun.person	princess
1172	1172	verb.cognition	choose
1177	1177	verb.cognition	select
1181	1181	verb.emotion	liked
1186	1187	verb.communication	sent for
1191	1191	verb.communication	told
1195	1195	verb.stative	was
1198	1198	verb.cognition	choose
1201	1201	noun.person	husband
1205	1205	noun.person	sons
1207	1207	verb.emotion	liked
1212	1212	verb.stative	is
1214	1214	noun.act	duty
1219	1219	noun.feeling	pleasure
1221	1221	verb.social	obey
1225	1225	noun.person	father
1228	1228	verb.communication	said
1229	1229	noun.person	Isolde
1235	1235	verb.communication	tell
1238	1238	verb.cognition	choose
1242	1242	noun.person	princes
1245	1245	noun.person	husband
1248	1248	verb.possession	give
1253	1253	noun.act	task
1257	1257	verb.stative	are
1267	1267	noun.person	king
1268	1268	verb.perception	heard
1270	1270	noun.communication	words
1273	1273	verb.cognition	saw
1276	1276	noun.state	troubles
1277	1277	verb.stative	were
1287	1287	verb.cognition	thought
1290	1291	noun.time	long time
1296	1296	verb.possession	find
1298	1298	noun.act	way
1301	1301	verb.consumption	satisfy
1303	1303	noun.group	parties
1308	1308	verb.cognition	decided
1310	1310	verb.motion	send
1313	1313	noun.person	sons
1317	1317	noun.time	year
1321	1321	noun.event	end
1324	1324	noun.event	time
1328	1328	verb.motion	return
1333	1333	verb.social	succeeded
1335	1336	verb.contact	bringing back
1342	1342	noun.artifact	thing
1345	1345	noun.act	travels
1347	1347	verb.possession	receive
1349	1349	noun.body	hand
1351	1351	noun.person	Isolde
1354	1354	noun.possession	reward
1358	1358	noun.person	princes
1359	1359	verb.stative	were
1363	1363	verb.possession	accept
1365	1365	noun.communication	terms
1368	1368	verb.cognition	arranged
1374	1374	noun.event	end
1377	1377	noun.time	year
1381	1381	verb.motion	meet
1384	1386	noun.artifact	hunting - lodge
1389	1390	verb.motion	go together
1393	1393	noun.person	king
1395	1395	noun.artifact	palace
1398	1398	noun.possession	gifts
1402	1402	verb.communication	bidding
1406	1406	noun.person	parents
1408	1408	noun.person	Isolde
1411	1412	verb.change	started off
1416	1416	noun.act	journeys
1418	1418	noun.person	Osric
1422	1422	noun.person	son
1424	1424	verb.motion	travelled
1426	1426	noun.location	city
1428	1428	noun.location	city
1431	1431	verb.motion	explored
1434	1434	noun.location	countries
1437	1437	verb.possession	finding
1442	1443	verb.emotion	take home
1452	1453	verb.social	given up
1455	1455	noun.feeling	hope
1458	1458	verb.perception	heard
1468	1468	noun.time	then
1469	1469	verb.stative	was
1472	1472	verb.stative	lived
1474	1474	noun.person	princess
1476	1476	verb.stative	possessed
1479	1479	noun.artifact	telescope
1482	1482	verb.stative	was
1488	1488	verb.perception	see
1492	1492	noun.object	world
1497	1497	noun.group	country
1498	1498	verb.stative	was
1507	1507	verb.perception	see
1509	1509	noun.location	town
1514	1514	noun.artifact	house
1516	1516	noun.plant	tree
1520	1520	noun.group	people
1522	1522	noun.animal	animals
1525	1525	noun.artifact	houses
1531	1531	verb.cognition	thought
1532	1532	noun.person	Osric
1538	1538	verb.possession	find
1544	1544	noun.artifact	thing
1547	1547	noun.substance	glass
1550	1550	noun.quantity	nothing
1560	1561	verb.motion	arrived at
1563	1563	noun.artifact	castle
1566	1566	noun.person	princess
1567	1567	verb.social	dwelt
