start_token	end_token	supersense_category	text
1	1	noun.food	BREAD
3	3	noun.person	DISCONTENT
5	5	noun.communication	Illustration
11	11	noun.person	baker
13	13	verb.possession	had
19	19	noun.feeling	temper
24	24	noun.group	batch
26	26	noun.food	bread
28	28	verb.change	spoiled
30	30	verb.change	flew
34	34	noun.feeling	rage
38	38	noun.person	wife
40	40	noun.person	daughters
43	44	verb.social	go near
48	48	noun.time	day
50	50	verb.change	happened
54	54	noun.food	bread
56	56	verb.change	burnt
62	62	verb.body	stamped
64	64	verb.emotion	raved
66	66	noun.feeling	anger
69	69	verb.contact	threw
71	71	noun.artifact	loaves
75	75	noun.artifact	floor
80	80	verb.change	burnt
84	84	noun.relation	rest
86	87	verb.motion	broke in
88	88	noun.quantity	half
94	94	verb.motion	crept
99	99	noun.person	man
105	105	noun.animal	eel
109	109	noun.body	arms
111	111	noun.body	legs
117	117	verb.creation	making
120	120	noun.state	fuss
123	124	noun.person	Master Baker
127	127	verb.communication	said
134	134	verb.possession	give
137	137	noun.location	home
140	140	noun.artifact	oven
143	143	verb.cognition	see
146	146	noun.act	baking
149	149	noun.food	bread
153	153	verb.communication	answer
160	160	verb.possession	have
165	165	noun.food	loaf
170	170	noun.communication	Illustration
176	176	verb.possession	give
179	179	noun.location	home
182	182	noun.artifact	oven
185	185	verb.cognition	see
188	188	noun.act	baking
191	191	noun.food	bread
195	195	verb.communication	answer
202	202	verb.possession	have
207	207	noun.food	loaf
216	216	verb.communication	pray
218	218	noun.cognition	sort
220	220	noun.food	bread
223	223	verb.stative	be
227	227	verb.stative	were
230	230	noun.artifact	oven
233	233	verb.social	helped
235	235	verb.consumption	bake
239	239	verb.communication	said
241	241	noun.person	baker
245	245	verb.cognition	think
247	247	noun.person	customers
250	250	verb.emotion	like
252	252	verb.consumption	eat
259	259	noun.relation	contrary
262	262	verb.communication	said
264	264	noun.person	imp
269	269	verb.emotion	like
279	279	verb.change	make
288	288	verb.emotion	hurt
295	295	verb.consumption	eat
304	304	verb.change	make
309	309	verb.communication	said
311	311	noun.person	baker
316	316	verb.stative	is
318	318	noun.food	bread
325	325	noun.state	harm
330	330	verb.stative	is
335	335	verb.possession	buy
342	342	verb.perception	taste
347	347	verb.communication	replied
349	349	noun.person	imp
355	355	verb.change	make
358	358	verb.consumption	eat
365	365	verb.cognition	think
371	371	verb.stative	are
380	380	verb.possession	do
383	383	noun.act	harm
387	387	verb.communication	promise
392	392	verb.possession	sell
397	397	verb.emotion	wish
401	401	verb.communication	Agreed
404	404	verb.communication	said
406	406	noun.person	baker
411	411	noun.person	imp
412	412	verb.motion	crept
415	415	noun.artifact	oven
417	417	verb.contact	curled
421	421	noun.state	darkness
426	426	noun.person	baker
427	427	verb.perception	saw
429	429	noun.quantity	more
435	435	noun.time	day
437	437	verb.creation	made
440	440	noun.group	batch
442	442	noun.food	bread
447	447	verb.cognition	took
449	449	noun.cognition	heed
452	452	noun.time	time
455	455	verb.contact	put
460	460	verb.contact	drew
467	467	verb.emotion	wanted
472	472	verb.social	done
485	485	noun.person	baker
486	486	verb.stative	was
489	490	noun.feeling	good humour
494	494	noun.person	person
496	496	verb.perception	tasted
498	498	noun.food	bread
499	499	verb.stative	was
502	502	noun.attribute	justice
505	505	verb.motion	came
508	508	noun.food	breakfast
517	517	verb.cognition	heard
521	521	noun.person	aunt
522	522	verb.stative	was
527	527	verb.possession	left
530	531	noun.quantity	great deal
533	533	noun.possession	money
537	537	verb.contact	kissed
539	539	noun.person	wife
541	541	verb.contact	chucked
543	543	noun.person	daughters
546	546	noun.body	chin
549	549	verb.communication	told
553	553	verb.possession	had
554	555	noun.communication	good news
559	561	noun.person	His old aunt
563	563	verb.possession	left
567	567	noun.quantity	pounds
570	570	noun.communication	will
575	575	noun.person	wife
576	576	verb.communication	clapped
578	578	noun.body	hands
580	580	noun.feeling	joy
584	584	noun.person	daughters
585	585	verb.motion	ran
589	589	verb.contact	kissed
593	593	verb.communication	begged
596	596	verb.social	let
598	598	verb.consumption	have
606	607	verb.motion	sat down
609	609	verb.consumption	breakfast
612	612	noun.feeling	glee
619	619	noun.person	justice
620	620	verb.consumption	tasted
622	622	noun.food	bread
625	625	noun.body	face
626	626	verb.motion	fell
630	630	verb.stative	is
632	632	noun.food	bread
636	636	verb.communication	said
638	638	verb.change	taking
641	641	noun.food	slice
645	645	verb.emotion	wish
648	648	verb.stative	were
655	655	verb.body	heaved
658	658	noun.communication	sigh
664	664	verb.communication	cried
666	666	noun.person	wife
672	672	verb.change	begun
674	674	verb.consumption	eat
678	678	noun.time	morning
681	681	verb.stative	am
686	686	noun.quantity	nothing
690	690	verb.communication	complain
698	698	verb.communication	said
700	700	noun.person	mayor
704	704	verb.stative	is
708	708	verb.possession	have
709	710	noun.quantity	twenty thousand
711	711	noun.quantity	pounds
714	714	verb.cognition	think
721	721	verb.stative	been
725	725	verb.stative	been
726	726	noun.quantity	thirty
734	734	verb.social	done
743	743	verb.stative	been
746	747	noun.quantity	five thousand
748	748	noun.quantity	pounds
760	760	noun.quantity	pounds
761	761	verb.stative	is
765	767	noun.possession	sum of money
770	771	noun.quantity	twenty thousand
772	772	noun.quantity	pounds
773	773	verb.stative	is
780	780	verb.stative	am
787	787	verb.stative	be
792	792	verb.possession	had
797	797	noun.communication	Nonsense
800	800	verb.communication	cried
802	802	noun.person	wife
807	807	verb.consumption	eating
809	809	noun.food	breakfast
814	814	verb.stative	are
824	824	noun.cognition	thing
827	827	verb.communication	say
832	832	verb.stative	been
838	838	verb.consumption	had
842	842	verb.stative	were
848	848	verb.consumption	enjoy
851	851	noun.possession	Money
852	852	verb.stative	is
855	855	noun.attribute	use
857	857	noun.group	people
860	862	noun.time	time of life
867	867	verb.stative	been
873	873	verb.consumption	had
876	876	noun.time	years
881	881	verb.stative	is
886	886	verb.communication	say
888	888	verb.emotion	care
895	895	verb.change	makes
899	899	verb.cognition	think
903	903	verb.possession	get
912	912	verb.communication	cried
914	914	noun.person	daughters
919	919	noun.state	case
926	926	verb.stative	been
930	930	verb.possession	have
937	937	verb.stative	are
943	943	verb.consumption	enjoy
950	950	verb.possession	given
959	959	verb.emotion	liked
965	965	verb.stative	been
970	970	noun.relation	rest
974	974	verb.stative	is
977	977	verb.stative	is
