start_token	end_token	supersense_category	text
1	2	noun.location	SELFISH GIANT
4	4	noun.time	afternoon
9	9	verb.motion	coming
11	11	noun.group	school
14	14	noun.person	children
17	17	verb.motion	go
19	19	verb.social	play
22	22	noun.person	Giant
24	24	noun.artifact	garden
27	27	verb.stative	was
31	31	noun.artifact	garden
36	36	noun.plant	grass
43	43	noun.plant	grass
44	44	verb.stative	stood
46	46	noun.plant	flowers
48	48	noun.object	stars
52	52	verb.stative	were
54	54	noun.plant	peach
56	56	noun.plant	trees
60	60	noun.time	spring
62	62	noun.time	time
63	64	verb.change	broke out
67	67	noun.plant	blossoms
69	69	noun.attribute	pink
71	71	noun.attribute	pearl
76	76	noun.time	autumn
77	77	verb.consumption	bore
79	79	noun.plant	fruit
82	82	noun.animal	birds
83	84	verb.contact	sat on
86	86	noun.plant	trees
88	88	verb.communication	sang
93	93	noun.person	children
96	96	verb.motion	stop
98	98	noun.act	games
102	102	verb.perception	listen
110	110	verb.stative	are
115	115	verb.communication	cried
121	121	noun.time	day
123	123	noun.person	Giant
124	125	verb.motion	came back
131	131	verb.social	visit
133	133	noun.person	friend
135	136	noun.person	Cornish ogre
140	140	verb.stative	stayed
145	145	noun.time	years
150	150	noun.time	years
151	151	verb.stative	were
155	155	verb.communication	said
161	161	verb.communication	say
165	165	noun.communication	conversation
166	166	verb.stative	was
171	171	verb.cognition	determined
173	173	verb.motion	return
177	177	noun.artifact	castle
181	181	verb.motion	arrived
183	183	verb.perception	saw
185	185	noun.person	children
186	186	verb.social	playing
189	189	noun.artifact	garden
195	195	verb.social	doing
200	200	verb.communication	cried
205	205	noun.attribute	voice
209	209	noun.person	children
210	211	verb.motion	ran away
216	216	noun.artifact	garden
217	217	verb.stative	is
220	220	noun.artifact	garden
223	223	verb.communication	said
225	225	noun.person	Giant
231	231	verb.cognition	understand
237	237	verb.social	allow
240	240	verb.competition	play
249	249	verb.creation	built
252	252	noun.artifact	wall
258	259	verb.contact	put up
261	263	noun.artifact	notice - board
265	265	noun.person	TRESPASSERS
270	270	verb.stative	was
274	274	noun.person	Giant
278	278	noun.person	children
283	283	verb.competition	play
286	286	verb.social	tried
288	288	verb.social	play
291	291	noun.artifact	road
295	295	noun.artifact	road
296	296	verb.stative	was
303	303	noun.substance	stones
309	309	verb.emotion	like
315	315	verb.motion	wander
319	319	noun.artifact	wall
322	322	noun.act	lessons
323	323	verb.stative	were
327	328	verb.communication	talk about
331	331	noun.artifact	garden
338	338	verb.stative	were
343	343	verb.communication	said
350	350	noun.time	Spring
351	351	verb.change	came
357	357	noun.location	country
359	359	verb.stative	were
361	361	noun.plant	blossoms
364	364	noun.animal	birds
369	369	noun.artifact	garden
372	373	noun.person	Selfish Giant
375	375	verb.stative	was
377	377	noun.time	winter
380	380	noun.animal	birds
383	383	verb.emotion	care
385	385	verb.creation	sing
390	390	verb.stative	were
392	392	noun.person	children
396	396	noun.plant	trees
397	397	verb.change	forgot
399	399	verb.change	blossom
404	404	noun.plant	flower
405	405	verb.contact	put
407	407	noun.body	head
411	411	noun.plant	grass
416	416	verb.perception	saw
418	418	noun.communication	notice
420	420	noun.artifact	board
422	422	verb.stative	was
427	427	noun.person	children
430	431	verb.motion	slipped back
434	434	noun.object	ground
438	439	verb.motion	went off
441	441	verb.body	sleep
445	445	noun.group	people
447	447	verb.stative	were
448	448	verb.emotion	pleased
449	449	verb.stative	were
451	451	noun.person	Snow
454	454	noun.person	Frost
457	457	noun.time	Spring
459	459	verb.cognition	forgotten
461	461	noun.artifact	garden
465	465	verb.communication	cried
471	471	verb.stative	live
475	475	noun.time	year
481	482	verb.change	covered up
484	484	noun.plant	grass
489	489	noun.body	cloak
494	494	verb.contact	painted
497	497	noun.plant	trees
498	498	noun.substance	silver
502	502	verb.communication	invited
504	505	noun.location	North Wind
507	507	verb.stative	stay
513	513	verb.motion	came
519	519	noun.substance	furs
523	523	verb.communication	roared
525	525	noun.time	day
528	528	noun.artifact	garden
531	531	verb.change	blew
533	533	noun.artifact	chimney
535	535	noun.artifact	pots
540	540	verb.stative	is
543	543	noun.location	spot
547	547	verb.communication	said
552	552	verb.communication	ask
554	554	noun.person	Hail
557	557	noun.act	visit
562	562	noun.act	Hail
563	563	verb.change	came
566	566	noun.time	day
569	569	noun.time	hours
571	571	verb.contact	rattled
574	574	noun.artifact	roof
577	577	noun.artifact	castle
580	580	verb.contact	broke
584	584	noun.substance	slates
589	589	verb.motion	ran
594	594	noun.artifact	garden
600	600	verb.motion	go
604	604	verb.body	dressed
606	606	noun.attribute	grey
610	610	noun.act	breath
611	611	verb.stative	was
613	613	noun.substance	ice
619	619	verb.cognition	understand
622	622	noun.time	Spring
623	623	verb.stative	is
627	627	verb.change	coming
630	630	verb.communication	said
632	633	noun.person	Selfish Giant
637	637	verb.contact	sat
640	640	noun.artifact	window
642	642	verb.perception	looked
648	648	noun.artifact	garden
652	652	verb.emotion	hope
657	657	noun.event	change
660	660	noun.phenomenon	weather
665	665	noun.object	Spring
667	667	verb.change	came
671	671	noun.time	Summer
674	674	noun.time	Autumn
675	675	verb.possession	gave
677	677	noun.plant	fruit
680	680	noun.artifact	garden
685	685	noun.person	Giant
687	687	noun.artifact	garden
689	689	verb.possession	gave
694	694	verb.stative	is
700	700	verb.communication	said
706	706	noun.time	Winter
711	712	noun.location	North Wind
716	716	noun.person	Hail
720	720	noun.person	Frost
724	724	noun.person	Snow
725	725	verb.motion	danced
729	729	noun.plant	trees
732	732	noun.time	morning
734	734	noun.person	Giant
739	739	noun.artifact	bed
742	742	verb.perception	heard
745	745	noun.communication	music
748	748	verb.perception	sounded
753	753	noun.body	ears
756	756	verb.cognition	thought
759	759	verb.stative	be
761	761	noun.person	King
763	763	noun.person	musicians
764	765	verb.motion	passing by
768	768	verb.stative	was
773	773	noun.animal	linnet
774	774	noun.act	singing
777	777	noun.artifact	window
781	781	verb.stative	was
787	787	verb.perception	heard
789	789	noun.animal	bird
790	790	verb.creation	sing
793	793	noun.artifact	garden
796	796	verb.perception	seemed
800	800	verb.stative	be
804	804	noun.communication	music
807	807	noun.object	world
812	812	verb.stative	stopped
813	813	verb.motion	dancing
816	816	noun.body	head
820	821	noun.location	North Wind
822	822	verb.change	ceased
823	823	verb.motion	roaring
828	828	noun.artifact	perfume
829	829	verb.motion	came
835	835	noun.artifact	casement
839	839	verb.cognition	believe
841	841	noun.location	Spring
843	843	verb.motion	come
848	848	verb.communication	said
850	850	noun.person	Giant
854	854	verb.motion	jumped
857	857	noun.artifact	bed
859	859	verb.perception	looked
865	865	verb.cognition	see
868	868	verb.perception	saw
872	872	noun.cognition	sight
877	877	noun.object	hole
880	880	noun.artifact	wall
882	882	noun.person	children
884	885	verb.motion	crept in
890	890	verb.contact	sitting
893	893	noun.plant	branches
896	896	noun.plant	trees
900	900	noun.plant	tree
904	904	verb.perception	see
906	906	verb.stative	was
909	909	noun.person	child
913	913	noun.plant	trees
914	914	verb.stative	were
918	918	verb.change	have
920	920	noun.person	children
926	926	verb.contact	covered
929	929	noun.plant	blossoms
933	933	verb.motion	waving
935	935	noun.body	arms
939	939	noun.person	children
941	941	noun.body	heads
944	944	noun.animal	birds
946	946	verb.motion	flying
949	949	verb.communication	twittering
951	951	noun.feeling	delight
955	955	noun.plant	flowers
957	957	verb.perception	looking
962	962	noun.plant	grass
964	964	verb.body	laughing
967	967	verb.stative	was
970	970	noun.location	scene
975	975	noun.location	corner
977	977	verb.stative	was
979	979	noun.time	winter
982	982	verb.stative	was
985	985	noun.location	corner
988	988	noun.artifact	garden
994	994	verb.contact	standing
997	997	noun.person	boy
1000	1000	verb.stative	was
1007	1007	verb.stative	reach
1011	1011	noun.plant	branches
1014	1014	noun.plant	tree
1019	1019	verb.motion	wandering
1024	1024	verb.body	crying
1029	1029	noun.plant	tree
1033	1033	verb.contact	covered
1035	1035	noun.substance	frost
1037	1037	noun.phenomenon	snow
1041	1042	noun.location	North Wind
1044	1044	verb.motion	blowing
1046	1046	verb.communication	roaring
1051	1051	verb.motion	Climb
1055	1055	noun.person	boy
1058	1058	verb.communication	said
1060	1060	noun.plant	Tree
1064	1064	verb.motion	bent
1066	1066	noun.plant	branches
1076	1076	noun.person	boy
1077	1077	verb.stative	was
1083	1083	noun.person	Giant
1085	1085	noun.body	heart
1086	1086	verb.change	melted
1089	1089	verb.perception	looked
1097	1097	verb.stative	been
