COREF	start_token	end_token	prop	cat	text
-1	2	3	NOM	FAC	HOME OR
-1	12	12	NOM	FAC	HOME
215	22	24	PROP	PER	DR . AIKIN
216	26	28	PROP	PER	MRS . BARBAULD
1	34	36	PROP	FAC	THE FIFTEENTH EDITION
217	38	44	PROP	PER	ILLUSTRATED WITH ENGRAVINGS AFTER HARVEY AND CHAPMAN
218	47	47	PROP	PER	ADAMS
219	55	57	PROP	PER	The Young Mouse
220	59	62	PROP	PER	The Wasp and Bee
-1	64	67	NOM	PER	The Goose and Horse
-1	69	72	NOM	PER	The Flying - Fish
221	74	76	PROP	PER	The Little Dog
2	78	80	PROP	FAC	Travellers ’ Wonders
-1	82	84	NOM	PER	The Discontented Squirrel
3	87	88	PROP	LOC	the Marten
219	90	90	PROP	PER	Mouse
222	95	95	PROP	PER	Monkey
-1	99	99	PRON	PER	their
223	105	105	PROP	PER	Nature
-1	107	109	NOM	FAC	The Farmyard Journal
-1	126	126	PRON	PER	his
-1	129	130	NOM	PER	The Kid
224	144	145	PROP	PER	Live Dolls
225	147	148	PROP	PER	The Hog
-1	150	151	NOM	PER	other Animals
-1	153	154	NOM	PER	The Bullies
4	156	158	PROP	FAC	The Travelled Ant
-1	160	161	NOM	PER	The Colonists
-1	166	166	PRON	PER	his
-1	166	167	NOM	PER	his Relations
-1	174	175	NOM	PER	a Cat
226	177	177	PROP	PER	Canute
-1	181	181	PRON	PER	his
-1	181	182	NOM	PER	his Courtiers
5	191	192	PROP	LOC	the Oak
227	194	194	PROP	PER	Alfred
6	200	201	PROP	FAC	Fir Tribe
7	209	210	PROP	FAC	The Rookery
-1	217	217	PRON	PER	their
351	224	224	PROP	GPE	Indur
9	226	229	PROP	FAC	The Swallow and Tortoise
10	231	239	PROP	FAC	The Grass - Tribe 119 A Tea - Lecture
-1	241	242	NOM	PER	The Kidnappers
11	248	251	PROP	FAC	the Art of Distinguishing
228	256	256	PROP	PER	Dove
-1	263	265	NOM	PER	The Two Robbers
-1	267	270	NOM	GPE	The Council of Quadrupeds
229	279	279	PROP	PER	Spirits
-1	281	282	NOM	PER	The Boy
-1	288	297	NOM	PER	a Crown ’s Worth 170 Trial 172 The Leguminous Plants
-1	303	304	NOM	FAC	the Streets
-1	306	310	NOM	FAC	The Compound - Flowered Plants
12	316	317	PROP	FAC	Phaeton Junior
-1	331	333	NOM	PER	The Little Philosopher
-1	351	361	NOM	PER	The Female Choice 232 On Metals 234 Eyes and No Eyes
13	364	365	PROP	LOC	the Earth
14	368	369	PROP	LOC	the Sun
15	371	373	PROP	FAC	The Umbelliferous Plants
-1	379	380	NOM	PER	the Cottagers
-1	406	408	NOM	GPE	The Native Village
16	417	417	PROP	GPE	Linnet
-1	425	426	NOM	GPE	Good Company
-1	428	429	NOM	PER	The Wanderer
-1	441	442	NOM	PER	The Landlord
-1	449	453	NOM	FAC	Ledyard ’s Praise of Women
-1	469	470	NOM	PER	Great Men
-1	472	474	NOM	PER	The Four Sisters
17	476	480	PROP	FAC	The Gain of a Loss
-1	482	483	NOM	PER	Wise Men
-1	485	486	NOM	PER	A Friend
-1	492	492	PRON	PER	her
-1	492	493	NOM	PER	her Children
18	495	507	PROP	FAC	A Secret Character Unveiled 359 A Globe - Lecture 367 Envy and Emulation
19	512	515	PROP	FAC	the Shipwreck 377 Epilogue
230	521	524	PROP	PER	THE YOUNG MOUSE.—A Fable
-1	526	528	NOM	PER	A young mouse
-1	538	538	PRON	PER	she
-1	560	560	PRON	PER	She
-1	567	568	NOM	PER	the family
-1	570	570	PRON	PER	they
-1	577	577	PRON	PER	she
-1	593	593	NOM	PER	nobody
-1	597	597	PRON	PER	her
-1	599	599	PRON	PER	She
-1	608	608	PRON	PER	she
-1	618	618	PRON	PER	she
-1	630	630	PRON	PER	she
-1	634	634	PRON	PER	her
-1	634	635	NOM	PER	her mother
-1	641	641	NOM	PER	Mother
-1	645	645	PRON	PER	she
-1	647	652	NOM	PER	12“the good people of this family
-1	655	655	PRON	PER	me
-1	656	657	NOM	FAC	a house
-1	668	668	PRON	PER	I
-1	674	674	PRON	PER	me
-1	677	677	PRON	FAC	it
-1	699	699	PRON	PER	I
-1	702	702	PRON	PER	they
-1	710	710	PRON	PER	me
-1	719	719	PRON	PER	me
-1	731	731	PRON	PER	me
-1	740	740	PRON	PER	they
-1	759	759	PRON	PER	I
-1	769	769	PRON	PER	my
-1	769	771	NOM	FAC	my new house
-1	774	774	PRON	PER	I
-1	776	776	PRON	PER	I
-1	779	779	PRON	PER	you
-1	783	783	PRON	PER	we
-1	790	790	NOM	PER	both
-1	801	801	PRON	PER	us
-1	806	806	PRON	PER	My
-1	806	808	NOM	PER	My dear child
-1	822	822	PRON	PER	you
-1	829	830	NOM	FAC	this house
-1	837	837	PRON	PER	you
-1	862	862	NOM	PER	man
-1	873	873	PRON	PER	he
-1	877	877	PRON	PER	our
-1	877	878	NOM	PER	our enemy
231	890	891	PROP	PER	BEE.—A Fable
-1	893	894	NOM	PER	A wasp
-1	902	902	PRON	PER	him
-1	908	908	PRON	PER	you
-1	910	910	PRON	PER	me
-1	916	916	NOM	PER	men
-1	923	923	PRON	PER	me
-1	926	926	PRON	PER	they
-1	931	931	PRON	PER	you
-1	933	933	PRON	PER	We
-1	947	947	PRON	PER	my
-1	950	950	PRON	PER	me
-1	954	954	PRON	PER	you
-1	957	957	PRON	PER	we
-1	963	963	PRON	PER	we
-1	969	969	PRON	PER	we
-1	972	972	NOM	PER	people
-1	974	974	PRON	PER	we
-1	979	979	NOM	PER	men
-1	982	982	PRON	PER	me
-1	987	987	PRON	PER	me
-1	990	990	PRON	PER	I
-1	996	996	PRON	PER	them
-1	998	998	PRON	PER	you
-1	1003	1003	PRON	PER	them
-1	1006	1006	PRON	PER	their
-1	1006	1007	NOM	FAC	their houses
-1	1011	1011	PRON	PER	their
-1	1019	1019	PRON	PER	their
-1	1023	1023	PRON	PER	you
-1	1033	1033	PRON	PER	them
-1	1036	1036	PRON	PER	they
-1	1038	1038	PRON	PER	you
-1	1039	1040	NOM	FAC	curious houses
-1	1052	1052	PRON	PER	you
-1	1065	1066	NOM	PER	The bee
-1	1071	1071	PRON	PER	you
-1	1074	1074	PRON	PER	them
-1	1092	1092	PRON	PER	they
-1	1098	1098	PRON	PER	you
-1	1101	1101	PRON	PER	they
-1	1104	1104	PRON	PER	I
-1	1115	1115	PRON	PER	You
-1	1119	1119	PRON	PER	them
-1	1136	1145	NOM	PER	A goose , who was plucking grass upon a common
-1	1148	1148	PRON	PER	herself
-1	1156	1156	PRON	PER	her
-1	1164	1164	PRON	PER	him
-1	1167	1167	PRON	PER	I
-1	1177	1177	PRON	PER	you
-1	1186	1186	PRON	PER	your
-1	1194	1194	PRON	PER	I
-1	1203	1203	PRON	PER	you
-1	1205	1205	PRON	PER	I
-1	1212	1212	PRON	PER	I
-1	1215	1215	PRON	PER	myself
-1	1222	1222	PRON	PER	I
-1	1225	1225	PRON	PER	I
-1	1229	1231	NOM	LOC	ponds and lakes
-1	1235	1235	PRON	PER	myself
-1	1237	1239	NOM	LOC	the cool waters
-1	1241	1241	PRON	PER	I
-1	1258	1259	NOM	PER	The horse
-1	1271	1271	PRON	PER	you
-1	1277	1277	PRON	PER	you
-1	1289	1289	PRON	PER	You
-1	1295	1295	PRON	PER	your
-1	1304	1304	PRON	PER	you
-1	1310	1310	PRON	PER	yourself
-1	1321	1321	PRON	PER	You
-1	1328	1329	NOM	LOC	the waters
-1	1332	1332	PRON	PER	you
-1	1342	1342	PRON	PER	you
-1	1346	1346	PRON	PER	your
-1	1364	1364	PRON	PER	you
-1	1376	1376	PRON	PER	your
-1	1381	1381	PRON	PER	your
-1	1389	1393	NOM	PER	every one who passes by
-1	1395	1395	PRON	PER	you
-1	1398	1398	PRON	PER	yourself
-1	1402	1403	NOM	PER	all beholders
-1	1405	1405	PRON	PER	I
-1	1408	1408	PRON	PER	I
-1	1422	1422	PRON	PER	my
-1	1428	1428	PRON	PER	my
-1	1434	1434	PRON	PER	my
-1	1440	1440	PRON	PER	my
-1	1445	1445	PRON	PER	my
-1	1448	1448	PRON	PER	I
232	1472	1475	PROP	PER	THE FLYING - FISH
-1	1500	1500	PRON	PER	she
-1	1507	1508	NOM	LOC	the waters
-1	1520	1520	PRON	PER	I
-1	1529	1529	PRON	PER	she
-1	1532	1532	PRON	PER	I
-1	1545	1545	PRON	PER	I
-1	1558	1558	PRON	PER	me
-1	1563	1563	PRON	PER	my
-1	1568	1568	PRON	PER	She
233	1571	1571	PROP	PER	Jupiter
-1	1580	1580	PRON	PER	she
-1	1582	1582	PRON	PER	her
-1	1594	1594	PRON	PER	her
-1	1615	1615	PRON	PER	She
-1	1622	1622	PRON	PER	her
-1	1635	1635	PRON	PER	her
-1	1635	1637	NOM	PER	her former companions
-1	1640	1640	PRON	PER	she
-1	1643	1643	PRON	PER	herself
-1	1655	1655	PRON	PER	she
-1	1671	1671	PRON	PER	she
-1	1674	1675	NOM	LOC	the water
-1	1677	1677	PRON	PER	she
-1	1682	1682	PRON	PER	her
-1	1686	1686	PRON	PER	she
-1	1695	1695	PRON	PER	her
-1	1695	1697	NOM	PER	her old enemies
-1	1708	1708	PRON	PER	she
233	1712	1712	PROP	PER	Jupiter
-1	1715	1715	PRON	PER	his
233	1719	1719	PROP	PER	Jupiter
-1	1722	1722	PRON	PER	her
-1	1726	1726	PRON	PER	I
-1	1728	1728	PRON	PER	you
-1	1729	1729	PRON	PER	your
-1	1732	1732	PRON	PER	I
-1	1742	1742	PRON	PER	your
-1	1756	1756	PRON	PER	you
-1	1776	1776	PRON	PER	I
-1	1781	1784	NOM	PER	a very little dog
-1	1788	1788	PRON	PER	his
-1	1788	1789	NOM	PER	his mother
-1	1794	1794	PRON	PER	my
-1	1797	1797	PRON	PER	our
-1	1797	1799	NOM	PER	our good master
-1	1803	1803	PRON	PER	myself
-1	1808	1808	PRON	PER	him
-1	1810	1810	PRON	PER	I
-1	1824	1824	PRON	PER	him
-1	1833	1833	PRON	PER	him
-1	1834	1834	PRON	PER	my
-1	1837	1837	PRON	PER	his
-1	1846	1846	PRON	PER	him
-1	1864	1864	PRON	PER	I
-1	1868	1868	PRON	PER	him
-1	1880	1880	PRON	PER	I
-1	1882	1882	PRON	PER	him
-1	1884	1884	NOM	PER	robbers
-1	1887	1887	PRON	PER	our
-1	1887	1888	NOM	PER	our relation
234	1889	1889	PROP	PER	Towzer
-1	1891	1891	PRON	PER	I
-1	1898	1898	PRON	PER	him
-1	1901	1901	PRON	PER	I
-1	1910	1910	PRON	PER	I
-1	1912	1922	NOM	PER	a poor insignificant creature , not worth the cost of keeping
-1	1925	1925	PRON	PER	I
