start_token	end_token	supersense_category	text
0	0	noun.person	MURDOCH
6	6	noun.communication	Footnote
14	14	noun.cognition	kind
16	16	noun.object	moat
19	19	noun.location	spot
21	21	verb.emotion	favoured
24	24	noun.person	fairies
27	27	noun.artifact	ditch
32	32	noun.substance	furze
34	34	noun.group	bushes
38	38	verb.stative	was
42	42	noun.person	boy
45	45	noun.location	Ireland
47	47	noun.person	Pat
53	53	noun.act	trade
60	60	verb.possession	had
66	66	noun.artifact	cradle
68	68	verb.cognition	learned
69	69	noun.quantity	nothing
72	72	noun.communication	blame
79	79	verb.communication	teach
87	87	verb.motion	came
89	89	noun.time	years
91	91	noun.state	discretion
94	94	verb.possession	earned
96	96	noun.possession	living
98	98	verb.possession	running
99	99	noun.communication	messages
102	102	noun.person	neighbours
105	105	noun.person	Pat
109	109	verb.social	trusted
111	111	verb.cognition	make
117	117	noun.communication	bargain
120	121	verb.creation	bring back
124	124	noun.event	change
128	128	verb.stative	was
130	130	noun.person	soul
132	132	noun.attribute	honesty
134	136	noun.attribute	good - nature
141	141	noun.event	wonder
146	146	verb.emotion	beloved
152	152	verb.possession	got
155	155	noun.act	work
159	159	verb.social	do
164	164	noun.possession	pay
167	167	verb.change	fitted
169	169	noun.act	work
174	174	verb.stative	been
185	185	verb.possession	got
189	189	verb.stative	kept
192	192	noun.artifact	shoe
194	194	noun.substance	leather
198	198	verb.social	making
200	200	noun.location	ends
201	201	verb.stative	meet
203	203	verb.body	wearing
205	205	noun.artifact	shoes
208	208	noun.artifact	pocket
213	213	verb.stative	was
216	216	noun.location	town
219	219	verb.communication	obliged
221	221	verb.perception	look
225	225	noun.possession	credit
228	228	noun.location	place
230	230	verb.motion	came
237	238	verb.change	going on
247	247	noun.act	market
249	249	noun.time	day
252	252	noun.act	business
259	259	noun.feeling	pleasure
261	261	verb.emotion	detained
265	265	noun.time	heel
268	268	noun.time	evening
272	272	noun.time	nightfall
276	276	verb.change	began
278	278	verb.change	make
280	280	noun.artifact	road
284	284	noun.attribute	earnest
291	291	verb.creation	rehearsing
293	293	noun.communication	messages
295	296	verb.social	make sure
299	299	verb.cognition	forgotten
300	300	noun.quantity	nothing
305	305	verb.cognition	bethought
308	309	verb.change	leave off
311	311	noun.artifact	brogues
314	314	verb.social	tramped
319	319	noun.artifact	shoe
321	321	noun.substance	leather
326	326	verb.contact	knocked
331	331	noun.person	king
333	333	noun.artifact	highway
337	337	verb.stative	was
342	342	verb.communication	saying
346	346	noun.quantity	dozen
347	347	noun.artifact	hanks
350	350	noun.artifact	yarn
352	353	noun.person	Mistress Murphy
357	357	noun.quantity	Three
358	358	noun.artifact	gross
361	361	noun.artifact	buttons
364	364	noun.person	tailor
368	368	noun.quantity	Half
370	370	noun.quantity	ounce
372	372	noun.body	throat
373	373	noun.substance	drops
375	376	noun.person	Father Andrew
380	380	noun.quantity	ounce
382	382	noun.substance	snuff
385	385	noun.person	housekeeper
394	394	verb.stative	were
397	398	verb.motion	went to
400	400	noun.location	town
402	402	verb.contact	fetch
406	406	verb.stative	was
412	412	noun.location	lot
415	415	verb.change	slipped
417	417	noun.cognition	memory
421	421	verb.cognition	knows
423	423	verb.stative	are
425	425	noun.artifact	ways
429	429	noun.location	town
435	435	verb.communication	meaning
438	438	noun.act	way
446	446	noun.person	grandmother
448	448	verb.communication	rest
450	450	noun.person	soul
453	453	verb.communication	said
458	458	noun.location	place
467	467	verb.communication	name
476	476	noun.act	way
482	482	verb.communication	said
487	487	noun.artifact	ways
491	491	noun.location	town
492	492	verb.stative	were
494	494	noun.artifact	highway
498	498	noun.artifact	way
500	500	noun.person	Murdoch
504	504	noun.location	Murdoch
506	506	noun.location	Rath
507	507	verb.stative	was
511	511	noun.location	spot
514	514	noun.time	daytime
519	519	noun.person	persons
520	520	verb.emotion	cared
522	523	verb.motion	go by
527	527	noun.object	sun
528	528	verb.stative	was
535	535	noun.time	years
536	536	noun.person	Pat
538	538	verb.motion	going
546	547	verb.motion	came home
553	553	noun.artifact	road
557	557	noun.time	evening
564	564	noun.location	place
568	568	noun.artifact	roads
569	569	verb.stative	part
577	577	verb.communication	say
583	583	noun.state	confusion
589	589	verb.communication	says
597	597	noun.person	uncle
599	599	verb.stative	been
601	601	noun.person	soldier
604	604	noun.person	Pat
605	605	verb.cognition	knew
607	609	noun.communication	word of command
616	616	noun.body	hand
617	617	noun.shape	turn
618	618	verb.stative	is
624	624	verb.communication	says
630	630	verb.motion	going
635	635	noun.artifact	road
641	641	verb.motion	go
646	646	verb.communication	bethought
654	654	verb.social	doing
658	658	verb.communication	says
662	662	verb.stative	was
664	665	noun.person	left hand
666	667	verb.motion	going to
668	668	noun.location	town
674	674	noun.communication	name
676	676	noun.attribute	fortune
682	683	verb.motion	going back
685	685	verb.cognition	considering
689	689	verb.motion	turned
697	698	verb.cognition	looked into
708	709	verb.motion	went off
715	715	noun.artifact	road
718	718	verb.motion	started
726	726	verb.motion	walked
730	730	verb.cognition	tell
738	738	noun.object	moon
739	740	verb.weather	shone out
744	744	noun.time	day
747	747	noun.person	Pat
748	748	verb.perception	found
751	751	noun.person	Murdoch
757	757	verb.stative	was
760	760	noun.relation	part
763	763	noun.feeling	wonder
767	767	noun.person	Rath
768	768	verb.stative	was
771	771	noun.person	fairies
774	774	noun.person	Pat
775	776	verb.motion	got in
779	780	verb.motion	dancing round
785	785	noun.body	feet
786	786	verb.motion	tingled
788	788	verb.perception	look
792	792	verb.stative	being
795	795	noun.person	dancer
801	801	verb.contact	sat
804	804	noun.location	side
807	807	noun.person	Rath
810	810	verb.contact	snapped
812	812	noun.body	fingers
814	814	verb.communication	mark
816	816	noun.time	time
819	819	noun.act	dancing
820	820	verb.change	stopped
825	825	noun.person	man
826	827	verb.change	comes up
832	832	noun.artifact	hat
835	835	noun.attribute	green
836	836	noun.artifact	coat
840	840	noun.artifact	stockings
844	844	noun.artifact	shoes
847	847	noun.body	feet
853	853	verb.social	take
855	855	noun.act	turn
859	859	noun.person	Pat
862	862	verb.communication	says
865	865	verb.motion	bowing
869	869	verb.contact	touched
871	871	noun.object	ground
882	882	verb.motion	go
886	886	verb.stative	was
889	889	noun.quantity	feet
895	895	verb.communication	say
899	899	noun.person	sir
902	902	verb.communication	says
903	903	noun.person	Pat
910	910	verb.stative	be
913	913	verb.motion	foot
915	915	noun.artifact	floor
924	925	verb.perception	look round
928	928	verb.stative	was
929	929	noun.person	Pat
932	932	noun.location	circle
933	934	verb.motion	dancing away
937	937	noun.time	life
942	942	noun.body	feet
943	943	verb.body	felt
945	945	noun.animal	feathers
947	947	noun.attribute	lightness
951	951	verb.perception	seemed
957	958	verb.stative	gone on
966	966	verb.change	grew
972	972	verb.emotion	liked
974	974	verb.motion	stop
978	978	noun.person	fairies
985	985	verb.motion	danced
990	990	noun.person	Pat
991	991	verb.social	tried
993	994	verb.cognition	think of
998	998	noun.communication	_
1000	1000	verb.communication	say
1005	1005	verb.social	free
1009	1009	noun.state	spell
1015	1016	verb.cognition	think of
1017	1017	verb.stative	was
1021	1021	noun.quantity	dozen
1022	1022	noun.artifact	hanks
1025	1025	noun.artifact	yarn
1027	1028	noun.person	Missis Murphy
1033	1033	noun.artifact	gross
1036	1036	noun.artifact	buttons
1039	1039	noun.person	tailor
1045	1045	noun.quantity	ounce
1047	1047	noun.body	throat
1048	1048	noun.substance	drops
1050	1051	noun.person	Father Andrew
1055	1055	noun.quantity	ounce
1057	1057	noun.substance	snuff
1060	1060	noun.person	housekeeper
1069	1069	verb.perception	seemed
1071	1071	noun.person	Pat
1074	1074	noun.object	moon
1075	1075	verb.stative	was
1079	1079	noun.location	side
1082	1082	noun.object	Rath
1085	1085	verb.change	began
