start_token	end_token	supersense_category	text
3	6	noun.person	DRAGONS E. Nesbit VI
9	10	noun.person	Dragon Tamers
12	12	verb.stative	was
18	18	noun.artifact	castle
21	21	verb.stative	was
26	26	noun.artifact	walls
28	28	noun.artifact	towers
30	30	noun.artifact	turrets
32	32	noun.artifact	gateways
34	34	noun.artifact	arches
36	36	verb.change	crumbled
38	38	noun.state	ruins
45	45	noun.attribute	splendor
47	47	verb.stative	were
51	51	noun.artifact	rooms
59	61	noun.person	John the blacksmith
63	64	verb.social	set up
66	66	noun.artifact	forge
69	69	verb.stative	was
73	73	verb.stative	live
77	77	noun.artifact	house
82	82	verb.communication	asked
84	84	noun.possession	rent
87	87	noun.artifact	rooms
90	90	noun.state	ruin
95	95	noun.person	lords
98	98	noun.artifact	castle
99	99	verb.stative	were
106	106	noun.time	year
110	110	noun.person	John
111	111	verb.change	blew
113	113	noun.artifact	bellows
115	115	verb.contact	hammered
117	117	noun.substance	iron
119	119	verb.social	did
122	122	noun.act	work
124	124	verb.change	came
126	126	noun.act	way
129	129	verb.stative	was
137	137	noun.act	trade
138	138	verb.change	went
141	141	noun.person	mayor
144	144	noun.group	town
147	147	verb.stative	was
150	150	noun.person	blacksmith
155	155	noun.attribute	way
157	157	noun.act	business
160	160	verb.possession	had
163	163	noun.artifact	forge
164	164	verb.stative	facing
166	166	noun.shape	square
169	169	noun.location	town
172	172	verb.possession	had
174	174	noun.person	apprentices
177	177	verb.contact	hammering
180	180	noun.object	nest
182	182	noun.animal	woodpeckers
186	186	noun.person	journeymen
188	188	verb.communication	order
190	190	noun.person	apprentices
195	195	noun.communication	patent
196	196	noun.artifact	forge
202	202	noun.artifact	hammer
205	205	noun.artifact	bellows
209	209	noun.cognition	things
218	218	noun.person	townspeople
222	222	verb.emotion	wanted
224	224	noun.animal	horse
228	228	noun.artifact	shaft
229	229	verb.change	mended
231	231	verb.motion	went
234	234	noun.person	mayor
236	238	noun.person	John the blacksmith
239	239	verb.social	struggled
250	250	noun.act	jobs
252	252	noun.person	travelers
254	254	noun.person	strangers
258	258	verb.cognition	know
262	262	noun.artifact	forge
264	264	noun.person	mayor
266	266	verb.stative	was
270	270	noun.artifact	rooms
271	271	verb.stative	were
285	285	noun.person	blacksmith
286	287	verb.social	got into
289	289	noun.act	way
291	291	verb.stative	keeping
294	294	noun.substance	iron
297	299	noun.act	odds and ends
302	302	noun.artifact	fagots
306	306	noun.quantity	twopence
307	307	noun.attribute	worth
309	309	noun.substance	coal
313	313	noun.artifact	dungeon
317	317	noun.artifact	castle
320	320	verb.stative	was
324	324	noun.artifact	dungeon
331	331	noun.artifact	roof
334	334	noun.substance	iron
335	335	noun.artifact	rings
337	337	noun.artifact	staples
339	339	verb.contact	built
342	342	noun.artifact	wall
349	349	verb.contact	tying
350	350	noun.person	captives
356	356	noun.location	end
357	357	verb.stative	was
360	360	noun.artifact	flight
363	363	noun.artifact	steps
364	364	verb.stative	leading
368	368	verb.cognition	knew
373	373	noun.person	lords
376	376	noun.artifact	castle
381	381	noun.time	times
384	384	verb.cognition	known
387	387	noun.artifact	steps
388	388	verb.stative	led
398	398	verb.contact	kick
400	400	noun.person	prisoner
403	403	noun.artifact	steps
409	409	noun.attribute	way
416	416	noun.person	prisoners
418	419	verb.motion	came back
422	422	noun.person	blacksmith
427	427	verb.stative	go
431	431	noun.act	step
441	441	verb.cognition	know
446	446	verb.social	did
448	448	verb.stative	was
451	451	noun.location	bottom
454	454	noun.artifact	stairs
456	458	noun.person	John the blacksmith
459	459	verb.possession	had
461	461	noun.person	wife
465	465	noun.person	baby
469	469	noun.person	wife
472	472	verb.social	doing
474	474	noun.act	housework
478	478	verb.body	nurse
480	480	noun.person	baby
482	482	verb.body	cry
484	484	verb.cognition	remembering
487	487	noun.time	days
490	490	verb.stative	lived
493	493	noun.person	father
496	496	verb.possession	kept
498	498	noun.animal	cows
500	500	verb.stative	lived
504	504	noun.location	country
508	508	noun.person	John
511	511	verb.motion	come
512	512	verb.social	courting
516	516	noun.time	summer
517	517	noun.time	evenings
526	526	noun.artifact	posy
529	529	noun.artifact	buttonhole
533	533	noun.person	John
535	535	noun.body	hair
537	537	verb.change	getting
542	542	verb.stative	was
547	547	verb.consumption	eat
552	552	noun.person	baby
555	555	verb.body	cried
557	558	noun.quantity	good deal
561	561	noun.event	times
565	565	noun.time	night
569	569	noun.person	mother
571	572	verb.motion	settled down
574	574	verb.body	sleep
579	579	verb.change	begin
581	581	verb.body	cry
594	594	verb.body	got
596	596	noun.act	rest
601	601	verb.change	made
607	607	noun.person	baby
609	610	verb.social	make up
614	614	noun.time	nights
617	617	noun.time	day
620	620	verb.emotion	liked
625	625	noun.person	mother
632	632	verb.possession	had
633	633	noun.quantity	nothing
635	635	verb.social	do
639	639	verb.motion	sit
641	641	verb.body	cry
649	649	noun.act	work
651	651	noun.feeling	worry
654	654	noun.time	evening
656	656	noun.person	blacksmith
657	657	verb.stative	was
661	661	noun.artifact	forge
665	665	verb.creation	making
667	667	noun.animal	goat
669	669	noun.artifact	shoe
672	672	noun.animal	goat
677	677	noun.person	lady
680	680	verb.emotion	wished
682	682	verb.cognition	see
685	685	noun.animal	goat
686	686	verb.consumption	liked
688	688	verb.social	shod
694	694	noun.artifact	shoe
696	696	verb.change	come
698	698	noun.quantity	fivepence
703	703	verb.communication	ordered
706	706	noun.group	set
709	709	verb.stative	was
712	712	noun.communication	order
713	713	noun.person	John
715	715	verb.possession	had
717	717	noun.time	week
722	722	verb.social	worked
724	724	noun.person	wife
725	725	verb.contact	sat
727	727	verb.social	nursed
729	729	noun.person	baby
735	735	noun.feeling	wonder
739	739	verb.body	crying
745	745	noun.event	noise
748	748	noun.artifact	bellows
752	752	noun.event	clank
755	755	noun.substance	iron
758	758	verb.change	came
760	760	noun.cognition	sound
763	763	noun.person	blacksmith
766	766	noun.person	wife
767	767	verb.perception	looked
774	774	verb.perception	heard
775	775	noun.quantity	nothing
778	778	verb.communication	said
787	787	verb.communication	said
792	792	noun.event	noise
793	793	verb.change	grew
799	799	verb.stative	were
804	804	verb.perception	hear
808	809	verb.contact	hammered away
812	812	noun.animal	goat
814	814	noun.artifact	shoe
820	820	verb.contact	hammered
823	823	noun.time	life
827	827	verb.change	began
829	829	verb.creation	sing
832	832	noun.animal	baby
835	835	noun.communication	thing
839	839	verb.possession	had
841	841	noun.cognition	heart
843	843	verb.social	do
845	845	noun.time	weeks
850	850	noun.event	blowing
852	852	noun.act	hammering
854	854	noun.communication	singing
856	856	noun.event	noise
857	857	verb.change	came
866	866	verb.social	tried
869	869	verb.perception	hear
873	873	noun.quantity	more
879	879	verb.stative	was
882	882	noun.event	noise
886	886	noun.Tops	creature
887	887	verb.communication	purring
889	889	verb.communication	purring
891	891	verb.communication	purring
895	895	noun.communication	reason
899	899	verb.emotion	want
901	901	verb.cognition	believe
904	904	verb.perception	heard
906	906	verb.stative	was
909	909	verb.stative	came
913	913	noun.artifact	dungeon
920	920	noun.substance	iron
921	921	verb.stative	was
925	925	noun.substance	firewood
928	928	noun.possession	twopence
929	929	noun.quantity	worth
931	931	noun.substance	coal
936	936	noun.artifact	steps
938	938	verb.stative	went
942	942	noun.state	dark
944	944	verb.stative	ended
947	947	verb.cognition	knew
954	954	verb.stative	be
958	958	noun.artifact	dungeon
961	961	verb.communication	said
963	963	noun.person	blacksmith
965	965	verb.contact	wiping
967	967	noun.body	face
976	977	verb.motion	go down
981	981	noun.substance	coals
984	984	noun.time	minute
989	989	verb.stative	is
1003	1003	verb.communication	said
1005	1005	noun.person	wife
1009	1009	verb.social	tried
1013	1013	verb.cognition	believe
1017	1017	verb.stative	be
1018	1018	noun.quantity	nothing
1026	1026	verb.cognition	believe
1031	1031	noun.person	blacksmith
1032	1032	verb.contact	took
1034	1034	noun.artifact	shovel
1037	1037	noun.body	hand
1041	1041	noun.artifact	hammer
1047	1047	verb.contact	hung
1050	1050	noun.artifact	stable
1051	1051	noun.artifact	lantern
1055	1055	noun.body	finger
1058	1059	verb.motion	went down
1061	1061	verb.contact	get
1063	1063	noun.artifact	coals
1069	1069	verb.possession	taking
1071	1071	noun.artifact	hammer
1074	1074	verb.cognition	think
1076	1076	verb.stative	is
1081	1081	verb.communication	said
1087	1087	verb.stative	is
1090	1090	verb.contact	breaking
1093	1093	noun.shape	lumps
1095	1095	noun.substance	coal
1101	1101	verb.cognition	understand
1104	1104	verb.communication	said
1106	1106	noun.person	wife
1110	1110	verb.contact	brought
1112	1112	noun.substance	coal
1116	1116	noun.artifact	apron
1119	1119	noun.time	afternoon
1122	1122	verb.cognition	knew
1125	1125	verb.stative	was
1127	1127	noun.substance	coal
1128	1128	noun.substance	dust
1132	1132	verb.motion	went
1136	1136	noun.artifact	stairs
1139	1139	noun.artifact	dungeon
1141	1141	verb.contact	stood
1144	1144	noun.location	bottom
1147	1147	noun.artifact	steps
1149	1149	verb.contact	holding
1151	1151	noun.artifact	lantern
1154	1154	noun.body	head
1157	1157	verb.cognition	see
1160	1160	noun.artifact	dungeon
1162	1162	verb.stative	was
1168	1168	noun.quantity	Half
1171	1171	verb.stative	was
1179	1180	noun.substance	old iron
1182	1184	noun.artifact	odds and ends
1188	1188	noun.substance	firewood
1191	1191	noun.substance	coals
1196	1196	noun.location	side
1197	1197	verb.stative	was
1202	1202	verb.stative	was
1209	1209	verb.stative	was
1212	1212	verb.stative	was
1213	1213	noun.animal	Dragon
1219	1220	verb.change	come up
1224	1224	noun.artifact	steps
1231	1231	verb.communication	said
1233	1233	noun.person	blacksmith
1237	1237	verb.body	trembling
1243	1243	verb.social	tried
1245	1245	verb.motion	creep
1250	1250	noun.artifact	stairs
1254	1254	noun.animal	dragon
1255	1255	verb.stative	was
1262	1263	verb.contact	put out
1266	1266	noun.animal	claw
1268	1268	verb.contact	caught
1272	1272	noun.body	leg
1277	1277	verb.motion	moved
1279	1279	verb.motion	rattled
1283	1283	noun.group	bunch
1285	1285	noun.artifact	keys
1290	1291	noun.substance	sheet iron
1293	1293	verb.creation	make
