COREF	start_token	end_token	prop	cat	text
6	0	2	NOM	FAC	The Fairies By
3	3	4	PROP	PER	William Allingham
7	6	8	NOM	LOC	the airy mountain
8	11	13	NOM	LOC	the rushy glen
9	15	15	PRON	PER	We
10	25	26	NOM	PER	little men
11	28	29	NOM	PER	Wee folk
12	31	46	NOM	PER	good folk , Trooping all together ; Green jacket , red cap , And white owl
13	52	54	NOM	LOC	the rocky shore
4	55	55	PROP	PER	Some
4	57	57	PRON	PER	their
4	60	60	PRON	PER	They
14	73	80	NOM	LOC	the reeds Of the black mountain - lake
15	76	80	NOM	LOC	the black mountain - lake
4	85	85	PRON	PER	their
16	94	97	NOM	LOC	the hill - top
17	98	100	NOM	PER	The old King
17	103	103	PRON	PER	He
17	110	110	PRON	PER	He
17	114	114	PRON	PER	his
18	118	123	NOM	FAC	a bridge of white mist Columbkill
17	124	124	PRON	PER	he
17	128	128	PRON	PER	his
1	132	132	PROP	GPE	Slieveleague
2	134	134	PROP	GPE	Rosses
19	150	156	NOM	GPE	the Queen Of the gay Northern Lights
20	153	156	NOM	GPE	the gay Northern Lights
21	158	158	PRON	PER	They
5	161	161	PROP	PER	Bridget
5	168	168	PRON	PER	she
5	172	172	PRON	PER	Her
22	172	173	NOM	PER	Her friends
21	178	178	PRON	PER	They
5	180	180	PRON	PER	her
21	190	190	PRON	PER	They
5	193	193	PRON	PER	she
5	199	199	PRON	PER	she
21	205	205	PRON	PER	They
5	208	208	PRON	PER	her
23	213	214	NOM	LOC	the lake
5	226	226	PRON	PER	she
24	230	232	NOM	LOC	the craggy hillside
21	239	239	PRON	PER	They
0	245	245	PRON	PER	my
21	259	259	PRON	PER	them
25	264	264	PRON	PER	He
21	267	267	PRON	PER	their
25	271	271	PRON	PER	his
7	277	279	NOM	LOC	the airy mountain
8	282	284	NOM	FAC	the rushy glen
28	286	286	PRON	PER	We
10	296	297	NOM	PER	little men
11	299	300	NOM	PER	Wee folk
31	302	303	NOM	PER	good folk
