COREF	start_token	end_token	prop	cat	text
-1	0	2	NOM	FAC	THE HAPPY PRINCE
-1	5	6	NOM	GPE	the city
-1	17	19	NOM	PER	the Happy Prince
-1	21	21	PRON	PER	He
-1	35	35	PRON	PER	he
-1	48	48	PRON	PER	his
-1	53	53	PRON	PER	He
-1	61	61	PRON	PER	He
-1	73	85	NOM	PER	the Town Councillors who wished to gain a reputation for having artistic tastes
-1	95	95	PRON	PER	he
-1	100	100	NOM	PER	people
-1	103	103	PRON	PER	him
-1	107	107	PRON	PER	he
-1	116	116	PRON	PER	you
-1	119	121	NOM	PER	the Happy Prince
-1	125	137	NOM	PER	a sensible mother of her little boy who was crying for the moon
-1	129	129	PRON	PER	her
-1	129	131	NOM	PER	her little boy
9	140	142	PROP	PER	The Happy Prince
-1	152	152	PRON	PER	I
-1	160	161	NOM	LOC	the world
-1	169	171	NOM	PER	a disappointed man
-1	173	173	PRON	PER	he
-1	181	181	PRON	PER	He
-1	185	186	NOM	PER	an angel
-1	190	192	NOM	PER	the Charity Children
-1	194	194	PRON	PER	they
-1	198	199	NOM	FAC	the cathedral
-1	201	201	PRON	PER	their
-1	206	206	PRON	PER	their
-1	214	214	PRON	PER	you
-1	219	221	NOM	PER	the Mathematical Master
-1	224	224	PRON	PER	you
-1	235	235	PRON	PER	we
-1	239	239	PRON	PER	our
-1	244	245	NOM	PER	the children
-1	248	250	NOM	PER	the Mathematical Master
-1	258	258	PRON	PER	he
-1	263	264	NOM	PER	children dreaming
-1	271	272	NOM	GPE	the city
-1	277	277	PRON	PER	His
-1	277	278	NOM	PER	His friends
1	283	283	PROP	GPE	Egypt
-1	289	289	PRON	PER	he
-1	295	295	PRON	PER	he
10	300	303	PROP	PER	the most beautiful Reed
-1	305	305	PRON	PER	He
-1	308	308	PRON	PER	her
-1	314	314	PRON	PER	he
-1	318	319	NOM	LOC	the river
-1	332	332	PRON	PER	her
-1	336	336	PRON	PER	he
-1	342	342	PRON	PER	her
-1	346	346	PRON	PER	I
-1	348	348	PRON	PER	you
10	366	367	PROP	PER	the Reed
-1	369	369	PRON	PER	him
-1	375	375	PRON	PER	he
-1	380	380	PRON	PER	her
-1	383	384	NOM	LOC	the water
-1	386	386	PRON	PER	his
-1	396	396	PRON	PER	his
-1	416	418	NOM	PER	the other Swallows
-1	421	421	PRON	PER	she
-1	435	436	NOM	LOC	the river
11	441	441	PROP	PER	Reeds
-1	449	449	PRON	PER	they
-1	455	455	PRON	PER	they
-1	458	458	PRON	PER	he
-1	467	467	PRON	PER	his
-1	467	468	NOM	PER	his lady
-1	473	473	PRON	PER	She
-1	479	479	PRON	PER	he
-1	484	484	PRON	PER	I
-1	488	488	PRON	PER	she
-1	490	491	NOM	PER	a coquette
-1	494	494	PRON	PER	she
10	511	512	PROP	PER	the Reed
-1	520	520	PRON	PER	I
-1	523	523	PRON	PER	she
-1	528	528	PRON	PER	he
-1	533	533	PRON	PER	I
-1	538	538	PRON	PER	my
-1	538	539	NOM	PER	my wife
-1	551	551	PRON	PER	you
-1	555	555	PRON	PER	me
-1	558	558	PRON	PER	he
-1	562	562	PRON	PER	her
10	565	566	PROP	PER	the Reed
-1	568	568	PRON	PER	her
-1	571	571	PRON	PER	she
-1	576	576	PRON	PER	her
-1	576	577	NOM	FAC	her home
-1	580	580	PRON	PER	You
-1	585	585	PRON	PER	me
-1	588	588	PRON	PER	he
-1	592	592	PRON	PER	I
2	596	597	PROP	LOC	the Pyramids
-1	605	605	PRON	PER	he
-1	612	612	PRON	PER	he
-1	620	620	PRON	PER	he
-1	623	624	NOM	GPE	the city
-1	629	629	PRON	PER	I
-1	634	634	PRON	PER	he
-1	638	638	PRON	PER	I
-1	640	641	NOM	GPE	the town
-1	648	648	PRON	PER	he
-1	658	658	PRON	PER	I
-1	665	665	PRON	PER	he
-1	683	683	PRON	PER	he
-1	690	692	NOM	PER	the Happy Prince
-1	695	695	PRON	PER	I
-1	697	699	NOM	FAC	a golden bedroom
-1	702	702	PRON	PER	he
-1	706	706	PRON	PER	himself
-1	708	708	PRON	PER	he
-1	713	713	PRON	PER	he
-1	723	723	PRON	PER	he
-1	726	726	PRON	PER	his
-1	729	729	PRON	PER	his
-1	738	738	PRON	PER	him
-1	747	747	PRON	PER	he
-1	778	781	NOM	LOC	the north of Europe
3	781	781	PROP	GPE	Europe
10	786	787	PROP	PER	The Reed
-1	798	798	PRON	PER	her
-1	825	825	PRON	PER	he
-1	829	829	PRON	PER	I
-1	841	841	PRON	PER	he
-1	849	849	PRON	PER	he
-1	852	852	PRON	PER	his
-1	861	861	PRON	PER	he
-1	872	872	PRON	PER	he
-1	878	880	NOM	PER	the Happy Prince
-1	891	891	PRON	PER	his
-1	895	895	PRON	PER	His
-1	904	906	NOM	PER	the little Swallow
-1	915	915	PRON	PER	you
-1	918	918	PRON	PER	he
-1	922	922	PRON	PER	I
