start_token	end_token	supersense_category	text
1	2	noun.person	DEVOTED FRIEND
4	4	noun.time	morning
7	8	noun.person	Water -
9	9	noun.animal	rat
10	10	verb.contact	put
12	12	noun.body	head
16	16	noun.object	hole
19	19	verb.stative	had
22	22	noun.body	eyes
26	26	noun.body	whiskers
29	29	noun.animal	tail
30	30	verb.stative	was
34	34	noun.object	bit
37	37	noun.food	india
39	39	noun.substance	rubber
43	43	noun.animal	ducks
45	45	verb.motion	swimming
49	49	noun.object	pond
51	51	verb.perception	looking
58	58	noun.person	canaries
62	62	noun.person	mother
65	65	verb.stative	was
71	71	noun.body	legs
74	74	verb.social	trying
76	76	verb.communication	teach
80	81	verb.contact	stand on
83	83	noun.body	heads
86	86	noun.substance	water
92	92	verb.stative	be
96	96	noun.group	society
100	101	verb.contact	stand on
103	103	noun.body	heads
107	107	verb.stative	kept
108	108	verb.communication	saying
118	118	verb.communication	showed
128	128	noun.animal	ducks
129	129	verb.communication	paid
131	131	noun.cognition	attention
136	136	verb.stative	were
143	143	verb.cognition	know
146	146	noun.attribute	advantage
148	148	verb.stative	is
150	150	verb.stative	be
152	152	noun.group	society
159	159	noun.person	children
162	162	verb.communication	cried
165	166	noun.person	Water -
167	167	noun.animal	rat
172	172	verb.stative	deserve
175	175	verb.contact	drowned
179	179	noun.quantity	Nothing
182	182	noun.cognition	kind
185	185	verb.communication	answered
187	187	noun.animal	Duck
193	193	verb.creation	make
195	195	noun.event	beginning
198	198	noun.person	parents
201	201	verb.stative	be
210	210	verb.cognition	know
214	214	noun.feeling	feelings
216	216	noun.person	parents
219	219	verb.communication	said
221	222	noun.person	Water -
223	223	noun.animal	rat
227	227	verb.stative	am
230	231	noun.person	family man
245	245	verb.cognition	intend
247	247	verb.social	be
249	249	noun.feeling	Love
250	250	verb.stative	is
256	256	noun.attribute	way
259	259	noun.state	friendship
260	260	verb.stative	is
267	267	verb.cognition	know
269	269	noun.quantity	nothing
272	272	noun.group	world
274	274	verb.stative	is
282	282	noun.state	friendship
291	291	verb.stative	is
293	293	noun.cognition	idea
296	296	noun.act	duties
300	300	noun.person	friend
303	303	verb.communication	asked
305	306	noun.person	Green Linnet
310	310	verb.contact	sitting
313	313	noun.plant	willow
315	315	noun.plant	tree
321	321	verb.perception	overheard
323	323	noun.communication	conversation
329	329	verb.stative	is
335	335	verb.cognition	know
338	338	verb.communication	said
340	340	noun.person	Duck
344	345	verb.motion	swam away
348	348	noun.location	end
351	351	noun.object	pond
354	354	verb.contact	stood
357	357	noun.body	head
362	362	verb.communication	give
364	364	noun.person	children
367	367	noun.cognition	example
373	373	noun.communication	question
376	376	verb.communication	cried
378	379	noun.person	Water -
380	380	noun.animal	rat
385	385	verb.cognition	expect
388	388	noun.person	friend
390	390	verb.stative	be
404	404	verb.creation	do
409	409	verb.communication	said
412	412	noun.animal	bird
414	414	verb.motion	swinging
418	418	noun.substance	spray
421	421	verb.contact	flapping
424	424	noun.animal	wings
430	430	verb.cognition	understand
434	434	verb.communication	answered
436	437	noun.person	Water -
438	438	noun.animal	rat
441	441	verb.social	Let
443	443	verb.communication	tell
446	446	noun.communication	story
