start_token	end_token	supersense_category	text
3	5	noun.person	DRAGONS E. Nesbit
8	10	noun.person	Book of Beasts
15	15	verb.creation	building
17	17	noun.location	Palace
20	20	noun.communication	news
21	21	verb.change	came
25	25	verb.possession	left
28	28	noun.substance	bricks
29	29	verb.contact	kicking
32	32	noun.artifact	floor
34	34	noun.person	Nurse
36	37	verb.communication	clear up
42	42	noun.communication	news
43	43	verb.stative	was
46	46	noun.communication	news
54	54	noun.event	knock
57	58	noun.artifact	front door
60	60	noun.communication	voices
61	61	verb.communication	talking
65	65	noun.person	Lionel
66	66	verb.cognition	thought
68	68	verb.stative	was
70	70	noun.person	man
71	71	verb.motion	come
73	74	verb.social	see about
76	76	noun.substance	gas
82	82	verb.social	allowed
85	85	verb.weather	lighted
88	88	noun.time	day
90	90	noun.person	Lionel
91	91	verb.social	made
93	93	noun.act	swing
95	95	verb.contact	tying
97	97	verb.motion	skipping
98	98	noun.artifact	rope
101	102	noun.artifact	gas bracket
110	110	noun.person	Nurse
111	112	verb.motion	came in
114	114	verb.communication	said
117	118	noun.person	Master Lionel
124	124	verb.motion	come
126	126	verb.communication	fetch
129	130	verb.motion	go and
131	131	verb.stative	be
132	132	noun.person	King
137	137	verb.social	made
138	138	noun.attribute	haste
140	140	verb.change	change
142	142	noun.artifact	smock
145	145	verb.body	wash
147	147	noun.body	face
149	149	noun.body	hands
151	151	verb.contact	brush
153	153	noun.body	hair
158	158	noun.event	time
161	161	verb.social	doing
163	163	noun.person	Lionel
164	164	verb.stative	kept
165	165	verb.body	wriggling
167	167	verb.body	fidgeting
169	169	verb.communication	saying
177	177	noun.person	Nurse
187	187	noun.body	ears
188	188	verb.stative	are
199	199	noun.body	hair
218	219	verb.motion	going on
226	226	verb.stative	be
228	228	noun.animal	eel
232	232	noun.person	King
235	235	verb.communication	said
236	236	noun.person	Nurse
239	239	noun.time	minute
240	240	noun.person	Nurse
241	242	verb.motion	let go
245	245	noun.time	moment
246	246	noun.person	Lionel
247	248	verb.motion	bolted off
250	250	verb.cognition	waiting
254	254	noun.artifact	handkerchief
259	260	noun.artifact	drawing room
262	262	verb.stative	were
268	268	noun.person	gentlemen
271	271	noun.artifact	robes
273	273	noun.substance	fur
276	276	noun.attribute	gold
277	277	noun.artifact	coronets
279	279	noun.artifact	velvet
280	281	verb.stative	sticking up
285	285	noun.location	middle
288	288	noun.food	cream
293	294	noun.artifact	jam tarts
297	297	verb.communication	bowed
300	300	noun.person	Lionel
306	306	verb.communication	said
309	309	noun.person	Sire
320	322	noun.person	great - grandfather
325	325	noun.person	King
328	328	noun.location	country
330	330	verb.stative	is
339	339	verb.motion	come
341	341	verb.social	be
342	342	noun.person	King
350	350	noun.person	sir
353	353	verb.communication	said
354	354	noun.person	Lionel
360	360	verb.change	begin
367	367	verb.social	crowned
369	369	noun.time	afternoon
372	372	verb.communication	said
375	375	noun.person	gentleman
377	377	verb.stative	was
391	391	verb.emotion	like
394	394	verb.contact	bring
395	395	noun.person	Nurse
399	399	noun.time	time
402	402	verb.emotion	like
406	406	verb.possession	fetched
413	414	verb.body	put on
416	416	noun.artifact	velvet
417	417	noun.artifact	suit
420	420	noun.artifact	lace
421	421	noun.artifact	collar
424	424	verb.communication	said
425	425	noun.person	Lionel
433	433	noun.food	tea
437	437	noun.person	Nurse
440	440	verb.motion	removed
443	443	noun.group	Palace
451	451	verb.change	changing
453	453	noun.artifact	suit
457	457	noun.artifact	robes
459	459	verb.change	cover
467	467	noun.person	gentlemen
468	468	verb.motion	led
470	470	noun.artifact	way
473	473	noun.artifact	coach
477	477	noun.animal	horses
481	482	verb.creation	drawn up
487	487	noun.artifact	house
489	489	noun.person	Lionel
490	490	verb.stative	lived
493	493	verb.stative	was
503	503	noun.location	side
506	506	noun.artifact	street
509	510	verb.motion	go up
512	512	noun.person	Lionel
513	513	verb.motion	ran
518	518	noun.time	minute
522	522	verb.contact	kissed
523	523	noun.person	Nurse
525	525	verb.communication	said
528	529	noun.communication	Thank you
531	531	verb.contact	washing
535	535	verb.communication	wish
538	538	verb.social	let
540	540	verb.creation	do
543	543	noun.body	ear
545	545	noun.communication	No
550	550	noun.time	time
553	553	verb.possession	Give
556	556	noun.artifact	hanky
562	562	noun.person	Nurse
566	568	noun.communication	Good - bye
570	570	noun.person	ducky
573	573	verb.communication	said
574	574	noun.person	Nurse
581	581	noun.person	King
585	585	verb.communication	say
591	592	noun.communication	thank you
596	596	verb.cognition	remember
598	598	verb.possession	pass
600	600	noun.artifact	cake
604	604	noun.person	girls
609	609	verb.possession	have
613	613	noun.artifact	helps
620	620	verb.motion	went
621	621	noun.person	Lionel
624	624	verb.social	made
626	626	noun.person	King
631	631	verb.cognition	expected
633	633	verb.stative	be
635	635	noun.person	King
644	644	verb.stative	was
658	659	verb.cognition	thought of
665	665	noun.artifact	coach
666	666	verb.motion	went
669	669	noun.location	town
673	673	verb.contact	bite
675	675	noun.body	tongue
681	681	verb.stative	was
687	687	noun.body	tongue
688	688	verb.stative	was
691	691	verb.perception	showed
695	695	verb.creation	dreaming
699	699	noun.time	hour
704	704	verb.contact	building
706	706	noun.substance	bricks
709	709	noun.artifact	nursery
715	715	noun.artifact	streets
718	718	verb.contact	fluttering
720	720	noun.artifact	flags
723	723	noun.artifact	window
727	727	noun.group	people
728	728	verb.motion	waving
729	729	noun.artifact	handkerchiefs
731	731	verb.contact	scattering
732	732	noun.plant	flowers
735	735	verb.stative	were
737	737	noun.artifact	soldiers
741	741	noun.artifact	pavements
746	746	noun.artifact	bells
750	750	noun.artifact	churches
752	752	verb.change	ringing
760	760	noun.communication	song
763	763	noun.communication	music
766	766	noun.event	ringing
768	768	verb.perception	heard
769	769	noun.quantity	thousands
771	771	noun.group	people
772	772	verb.communication	shouting
777	777	noun.person	Lionel
780	780	verb.social	live
783	783	noun.person	King
787	787	verb.stative	was
797	798	verb.body	put on
801	801	noun.artifact	clothes
806	806	verb.cognition	forgot
808	809	verb.cognition	think about
815	815	verb.stative	been
817	817	noun.person	girl
823	823	verb.communication	bothered
828	828	noun.event	time
832	833	verb.motion	went along
837	837	noun.person	gentlemen
840	840	verb.stative	were
842	842	noun.person	Chancellor
845	846	noun.person	Prime Minister
848	848	verb.communication	explained
850	850	noun.communication	things
852	852	noun.person	Lionel
855	855	verb.cognition	understand
859	859	verb.cognition	thought
861	861	verb.stative	were
863	863	noun.group	Republic
866	866	verb.communication	said
867	867	noun.person	Lionel
871	871	verb.stative	'm
876	876	verb.stative	been
878	878	noun.person	King
881	881	noun.time	time
885	885	noun.person	Sire
898	898	noun.person	grandfather
900	900	noun.event	death
901	901	verb.change	happened
904	904	noun.person	grandfather
905	905	verb.stative	was
908	908	noun.person	boy
911	911	verb.communication	said
913	914	noun.person	Prime Minister
922	922	noun.group	people
925	926	verb.cognition	saving up
928	928	verb.possession	buy
931	931	noun.communication	crown
936	936	noun.time	week
939	939	verb.cognition	know
943	943	noun.group	people
945	945	noun.communication	means
947	947	noun.possession	sixpence
949	949	noun.time	week
953	953	verb.possession	have
956	956	noun.possession	rate
957	958	noun.possession	pocket money
963	963	noun.quantity	halfpenny
965	965	noun.time	week
975	975	verb.cognition	know
979	979	noun.cognition	rule
982	982	noun.communication	crown
985	985	verb.possession	paid
989	989	noun.group	people
1007	1007	verb.stative	is
1009	1009	noun.person	grandfather
1011	1011	noun.communication	crown
1019	1019	verb.motion	sent
1023	1024	verb.creation	tinned over
1027	1027	noun.feeling	fear
1029	1029	noun.feeling	vanity
1037	1037	noun.possession	jewels
1038	1039	verb.contact	taken out
1042	1042	verb.possession	sold
1045	1045	verb.possession	buy
1046	1046	noun.communication	books
1049	1049	verb.stative	was
1052	1052	noun.person	man
1057	1057	noun.person	King
1059	1059	verb.stative	was
1063	1063	verb.possession	had
1065	1065	noun.feeling	faults
1068	1068	verb.stative	was
1071	1071	noun.artifact	books
1079	1079	verb.communication	sent
1081	1081	noun.communication	crown
1084	1084	verb.change	tinned
1089	1089	verb.stative	lived
1091	1091	verb.possession	pay
1093	1093	noun.person	tinsmith
1095	1095	noun.communication	bill
1100	1101	noun.person	Prime Minister
1102	1103	verb.contact	wiped away
1105	1105	noun.body	tear
1111	1111	noun.artifact	carriage
1112	1112	verb.motion	stopped
1114	1114	noun.person	Lionel
1116	1117	verb.motion	taken out
1120	1120	noun.artifact	carriage
1123	1123	verb.social	crowned
1126	1126	verb.social	crowned
1127	1127	verb.stative	is
1131	1131	noun.act	work
1135	1135	verb.cognition	suppose
1142	1142	verb.stative	was
1146	1146	noun.person	Lionel
1148	1148	verb.body	worn
1151	1151	noun.artifact	robes
1154	1154	noun.time	hour
1161	1161	noun.body	hand
1162	1162	verb.contact	kissed
1166	1166	noun.act	business
1170	1170	verb.social	do
1174	1174	verb.stative	was
1176	1177	verb.body	worn out
1180	1180	verb.stative	was
1184	1185	verb.motion	get into
1187	1187	noun.location	Palace
1188	1188	noun.artifact	nursery
1190	1190	noun.person	Nurse
1191	1191	verb.stative	was
1195	1195	noun.food	tea
1196	1196	verb.stative	was
1199	1199	noun.plant	seedy
1200	1200	noun.food	cake
1202	1202	noun.substance	plummy
1203	1203	noun.food	cake
1206	1206	noun.food	jam
1210	1210	noun.food	toast
1215	1215	noun.artifact	china
1219	1219	noun.substance	gold
1222	1222	noun.plant	flowers
1228	1228	noun.food	tea
1233	1233	noun.artifact	cups
1238	1238	verb.emotion	liked
1241	1241	noun.food	tea
1242	1242	noun.person	Lionel
1243	1243	verb.communication	said
1247	1247	verb.cognition	think
1250	1250	verb.emotion	like
1252	1252	noun.communication	book
1256	1256	verb.possession	get
1260	1260	noun.person	Nurse
1264	1264	verb.communication	Bless
1266	1266	noun.person	child
1269	1269	verb.communication	said
1270	1270	noun.person	Nurse
1276	1276	verb.cognition	suppose
1279	1279	verb.possession	lost
1281	1281	noun.act	use
