start_token	end_token	supersense_category	text
1	1	noun.person	WANDERINGS
3	3	noun.person	ARASMON
5	5	noun.communication	Illustration
10	10	verb.stative	lived
13	13	noun.person	musician
16	16	noun.person	wife
19	19	noun.communication	names
20	20	verb.stative	were
21	21	noun.person	Arasmon
23	23	noun.person	Chrysea
25	25	noun.person	Arasmon
26	26	verb.creation	played
29	29	noun.substance	lute
32	32	noun.person	Chrysea
33	33	verb.creation	sang
37	37	noun.communication	music
38	38	verb.stative	was
42	42	noun.group	people
43	43	verb.motion	followed
46	46	noun.group	crowds
48	48	verb.possession	gave
52	52	noun.possession	money
55	55	verb.consumption	wanted
58	58	noun.person	Arasmon
59	59	verb.creation	played
62	62	verb.perception	heard
64	64	verb.stative	were
67	67	noun.feeling	wonder
69	69	noun.feeling	admiration
73	73	noun.person	Chrysea
74	74	verb.communication	sang
78	78	verb.social	refrain
80	80	verb.body	weeping
84	84	noun.attribute	voice
85	85	verb.stative	was
93	93	verb.perception	heard
97	97	verb.stative	were
103	103	verb.stative	were
108	108	noun.time	day
109	109	verb.stative	was
114	114	verb.emotion	loved
121	121	verb.motion	wandering
123	123	verb.perception	seeing
125	125	noun.location	countries
127	127	noun.group	people
129	129	verb.creation	making
131	131	noun.communication	music
134	135	verb.motion	went to
137	137	noun.cognition	sorts
139	139	noun.location	places
144	144	noun.location	cities
149	149	noun.location	villages
154	154	noun.artifact	cottages
157	157	noun.object	sea
159	159	noun.object	shore
164	164	verb.motion	strolled
167	168	noun.location	green lanes
170	170	noun.location	fields
172	172	verb.communication	singing
174	174	verb.creation	playing
181	181	noun.animal	birds
182	182	verb.motion	flew
186	186	noun.plant	trees
188	188	verb.perception	listen
193	193	noun.time	day
195	195	verb.motion	crossed
198	198	noun.shape	line
200	200	noun.object	hills
203	204	verb.change	came out
208	208	noun.object	moorland
209	209	noun.location	country
215	215	verb.stative	been
220	220	noun.location	side
223	223	noun.object	hill
225	225	verb.perception	saw
228	228	noun.group	village
233	233	verb.motion	turned
240	241	verb.motion	drew near
242	242	noun.person	Chrysea
243	243	verb.communication	said
248	248	noun.location	place
252	252	verb.perception	See
258	258	verb.perception	looks
262	262	noun.communication	Illustration
269	269	noun.person	villagers
270	271	verb.motion	came out
274	274	noun.artifact	cottages
277	277	verb.contact	gathered
281	281	verb.perception	listen
288	288	verb.social	Let
290	290	verb.social	try
292	292	verb.emotion	cheer
296	296	noun.communication	music
299	299	verb.communication	said
300	300	noun.person	Arasmon
303	303	verb.change	began
305	305	verb.creation	play
308	308	noun.artifact	lute
311	311	noun.person	Chrysea
312	312	verb.creation	sang
318	318	noun.person	villagers
319	320	verb.motion	came out
323	323	noun.artifact	cottages
325	325	verb.contact	gathered
329	329	verb.perception	listen
332	332	noun.person	Chrysea
333	333	verb.cognition	thought
338	338	verb.perception	seen
343	343	noun.group	people
346	346	verb.stative	were
352	352	noun.body	faces
353	353	verb.stative	were
360	360	noun.artifact	clothes
361	361	verb.perception	looked
369	369	noun.location	places
371	371	verb.body	worn
373	373	noun.object	holes
377	377	verb.motion	crowded
379	379	noun.person	Arasmon
381	381	noun.person	Chrysea
384	384	verb.communication	begged
387	388	verb.stative	go on
389	389	noun.act	playing
391	391	noun.act	singing
396	396	verb.perception	listened
398	398	noun.person	women
399	399	verb.body	shed
400	400	noun.state	tears
404	404	noun.person	men
405	405	verb.perception	hid
407	407	noun.body	faces
409	409	verb.stative	were
414	414	verb.motion	stopped
417	417	noun.group	people
418	418	verb.change	began
420	420	verb.perception	feel
423	423	noun.body	pockets
427	427	verb.possession	find
429	429	noun.possession	coins
432	432	noun.person	Arasmon
433	433	verb.communication	cried
439	439	noun.person	friends
441	441	verb.stative	keep
443	443	noun.possession	money
448	448	verb.stative	have
456	456	verb.cognition	judge
459	459	noun.attribute	looks
462	462	verb.social	let
464	464	verb.stative	stay
470	470	noun.time	night
473	473	verb.possession	give
475	475	noun.food	food
477	477	noun.artifact	lodging
482	482	verb.cognition	think
489	489	verb.creation	play
491	491	verb.creation	sing
498	498	verb.emotion	like
502	502	verb.stative	Stay
511	511	verb.change	stay
517	517	verb.communication	begged
519	519	noun.group	people
524	524	verb.emotion	entreated
527	527	verb.social	allowed
529	529	verb.possession	receive
531	531	noun.person	strangers
533	533	verb.possession	give
538	538	verb.possession	had
541	541	noun.person	Arasmon
543	543	noun.person	Chrysea
544	544	verb.creation	played
546	546	verb.communication	sang
551	551	verb.stative	were
552	552	verb.body	tired
561	561	noun.phenomenon	rain
562	562	verb.change	began
564	564	verb.motion	fall
567	567	verb.motion	turned
570	570	noun.group	village
575	575	verb.motion	passed
579	579	noun.artifact	streets
581	581	verb.cognition	thought
583	583	noun.location	place
585	585	verb.perception	looked
590	590	noun.location	inmates
593	593	noun.artifact	houses
594	594	verb.stative	were
597	597	verb.creation	built
600	600	verb.perception	seemed
604	604	verb.motion	tumbling
608	608	noun.artifact	streets
609	609	verb.stative	were
613	613	verb.contact	kept
617	617	noun.artifact	gardens
619	619	verb.perception	saw
621	621	noun.plant	flowers
626	626	noun.plant	weeds
629	630	verb.motion	went into
632	632	noun.artifact	cottage
635	635	noun.group	people
636	637	verb.communication	pointed out
642	642	noun.person	Arasmon
643	644	verb.motion	lay down
647	647	noun.artifact	fire
649	649	verb.communication	calling
