start_token	end_token	supersense_category	text
7	9	noun.person	JOSEPH JACOBS EDITOR
17	19	noun.person	JOHN D. BATTEN
26	26	noun.communication	Copies
29	29	noun.communication	Edition
33	33	noun.substance	Paper
36	36	verb.creation	printed
43	43	noun.quantity	Fifty
44	44	verb.stative	are
49	49	noun.communication	Illustrations
52	52	noun.communication	Book
54	54	verb.creation	coloured
58	60	noun.person	Miss Gloria Cardew
73	73	noun.communication	Contents
91	92	noun.group	PRINCESS LABAM
105	106	noun.group	BROKEN POT
111	112	noun.group	MAGIC FIDDLE
114	114	noun.quantity	VII
132	132	noun.person	BRAHMAN
140	140	noun.person	SOOTHSAYER
142	142	noun.person	SON
144	144	noun.quantity	XI
146	146	noun.person	HARISARMAN
180	180	noun.communication	XVI
186	187	noun.person	QUEENS 115
268	268	noun.body	HAIR
273	274	noun.location	IVORY CITY
312	312	noun.communication	REFERENCES
319	319	noun.communication	page
330	330	verb.communication	face
331	331	noun.communication	page
336	337	noun.person	LOVING LAILI
352	353	noun.person	RAJA RASALU
370	370	noun.communication	Plates
372	372	noun.artifact	vignettes
374	374	noun.communication	initials
377	377	noun.artifact	cuts
378	378	verb.stative	are
381	381	noun.act	process
383	383	noun.artifact	blocks
384	384	verb.possession	supplied
386	389	noun.person	Messrs. J. C. Drummond
391	394	noun.group	Co. of Covent Garden
408	408	verb.stative	was
411	411	noun.event	time
415	415	noun.location	region
417	417	noun.location	Himavanta
421	421	noun.animal	crane
424	424	noun.person	Brahmadatta
428	428	noun.event	time
429	429	verb.social	reigning
431	431	noun.location	Benares
435	435	verb.cognition	chanced
439	439	noun.animal	lion
441	441	verb.consumption	eating
442	442	noun.food	meat
444	444	noun.animal	bone
445	445	verb.contact	stuck
448	448	noun.body	throat
451	451	noun.body	throat
452	452	verb.change	became
458	458	verb.consumption	take
459	459	noun.food	food
462	462	noun.state	suffering
463	463	verb.stative	was
467	467	noun.person	crane
468	468	verb.perception	seeing
474	474	verb.contact	perched
477	477	noun.plant	tree
478	479	verb.contact	looking for
480	480	noun.food	food
482	482	verb.communication	asked
486	486	verb.emotion	ails
489	489	noun.person	friend
493	493	verb.communication	told
500	500	verb.contact	free
504	504	noun.substance	bone
506	506	noun.person	friend
511	511	verb.motion	enter
513	513	noun.body	mouth
515	515	noun.feeling	fear
518	518	verb.consumption	eat
525	525	verb.stative	be
528	528	noun.person	friend
533	533	verb.consumption	eat
537	537	verb.social	save
539	539	noun.state	life
547	547	verb.communication	says
551	551	verb.creation	caused
554	555	verb.motion	lie down
559	559	noun.location	side
562	562	verb.cognition	thinking
568	568	verb.cognition	knows
571	571	noun.person	fellow
573	573	verb.social	do
577	577	verb.contact	placed
580	580	noun.artifact	stick
585	585	noun.body	jaws
590	590	verb.contact	close
592	592	noun.body	mouth
595	595	verb.contact	inserting
597	597	noun.body	head
600	600	noun.body	mouth
601	601	verb.contact	struck
603	603	noun.location	end
606	606	noun.substance	bone
609	609	noun.animal	beak
613	613	noun.body	bone
614	614	verb.motion	dropped
616	617	verb.change	fell out
624	624	verb.communication	caused
626	626	noun.body	bone
628	628	verb.motion	fall
631	632	verb.motion	got out
635	635	noun.animal	lion
637	637	noun.body	mouth
639	639	verb.contact	striking
641	641	noun.artifact	stick
644	644	noun.body	beak
648	649	verb.change	fell out
657	657	noun.plant	branch
660	660	noun.animal	lion
661	661	verb.body	gets
666	666	noun.time	day
668	668	verb.consumption	eating
670	670	noun.animal	buffalo
673	673	verb.contact	killed
676	676	noun.person	crane
677	677	verb.cognition	thinking
681	681	verb.perception	sound
685	685	verb.motion	settled
688	688	noun.plant	branch
695	695	noun.communication	conversation
696	696	verb.communication	spoke
699	699	noun.communication	verse
703	703	noun.act	service
706	706	verb.social	done
713	713	noun.attribute	ability
715	718	noun.person	King of the Beasts
724	724	noun.communication	return
727	727	verb.possession	get
733	733	noun.communication	reply
735	735	noun.person	Lion
736	736	verb.communication	spoke
739	739	noun.communication	verse
744	744	verb.consumption	feed
746	746	noun.body	blood
750	750	verb.competition	hunt
756	756	noun.quantity	much
759	759	verb.stative	art
764	764	verb.stative	been
767	767	noun.body	teeth
772	772	noun.communication	reply
774	774	noun.person	crane
775	775	verb.communication	said
779	779	noun.communication	verses
784	784	verb.social	doing
786	786	noun.attribute	good
789	789	verb.social	doing
794	794	verb.social	done
800	800	verb.stative	is
802	802	noun.feeling	gratitude
805	805	verb.social	serve
807	807	verb.stative	is
812	812	noun.state	friendship
815	815	verb.possession	won
819	820	noun.communication	good deed
824	824	verb.social	withdraw
829	829	verb.emotion	envying
831	831	verb.communication	abusing
837	837	verb.communication	spoken
839	839	noun.animal	crane
840	841	verb.motion	flew away
847	847	noun.person	Teacher
849	851	noun.person	Gautama the Buddha
853	853	verb.communication	told
855	855	noun.communication	tale
860	860	verb.communication	add
866	866	noun.time	time
868	868	noun.animal	lion
869	869	verb.stative	was
870	870	noun.person	Devadatta
872	872	noun.person	Traitor
876	877	noun.person	white crane
878	878	verb.stative	was
887	889	noun.person	CRANE THE LION
891	892	noun.person	THE CRANE
898	898	noun.person	Raja
901	901	verb.competition	won
903	904	noun.person	Princess Labam
908	908	noun.location	country
910	910	verb.stative	was
912	912	noun.person	Raja
914	914	verb.possession	had
917	917	noun.person	son
921	922	verb.motion	went out
924	924	verb.communication	hunt
927	927	noun.time	day
929	929	noun.person	Rani
932	932	noun.person	mother
934	934	verb.communication	said
941	941	verb.contact	hunt
944	944	verb.emotion	like
948	948	noun.location	sides
954	955	verb.motion	go to
958	958	noun.location	side
963	963	verb.communication	said
966	966	verb.cognition	knew
969	970	verb.motion	went on
973	973	noun.location	side
976	977	verb.cognition	hear of
980	981	noun.person	Princess Labam
988	988	verb.motion	leave
990	990	noun.person	father
992	992	noun.person	mother
994	995	verb.contact	seek for
997	997	noun.person	princess
1001	1001	noun.person	prince
1002	1002	verb.perception	listened
1005	1005	noun.person	mother
1008	1008	verb.social	obeyed
1012	1012	noun.time	time
1016	1016	noun.time	day
1021	1021	verb.contact	hunting
1025	1025	noun.location	sides
1029	1029	verb.communication	allowed
1031	1031	verb.motion	go
1034	1034	verb.cognition	remembered
1038	1038	verb.communication	said
1044	1044	noun.location	side
1048	1048	verb.cognition	determined
1050	1050	verb.motion	go
1052	1052	verb.communication	see
1056	1056	verb.communication	forbidden
1059	1059	verb.contact	hunt
1062	1062	noun.location	side
1066	1066	verb.motion	got
1070	1070	verb.perception	found
1074	1074	noun.object	jungle
1077	1077	noun.quantity	nothing
1080	1080	noun.object	jungle
1083	1083	noun.attribute	quantity
1085	1085	noun.animal	parrots
1088	1088	verb.stative	lived
1094	1094	noun.person	Raja
1095	1095	verb.competition	shot
1106	1107	verb.motion	flew away
1111	1111	noun.object	sky
1123	1123	verb.stative	was
1125	1125	noun.person	Raja
1129	1129	verb.communication	called
1130	1131	noun.person	Hiraman parrot.[4
1134	1135	noun.person	Hiraman parrot
1136	1136	verb.perception	found
1138	1138	verb.stative	left
1142	1143	verb.communication	called out
1147	1147	noun.animal	parrots
1152	1153	verb.motion	fly away
1155	1155	verb.motion	leave
1160	1160	noun.person	Raja
1162	1162	noun.person	son
1163	1163	verb.competition	shoots
1167	1167	verb.social	desert
1174	1174	verb.communication	tell
1176	1177	noun.person	Princess Labam
1182	1182	noun.animal	parrots
1184	1185	verb.motion	flew back
1188	1188	noun.person	Raja
1190	1190	verb.communication	chattering
1193	1193	noun.person	prince
1199	1199	verb.communication	said
1205	1205	noun.animal	birds
1207	1207	verb.communication	talk
1212	1212	verb.communication	said
1215	1215	noun.animal	parrots
1219	1219	verb.stative	is
1221	1222	noun.person	Princess Labam
1227	1227	verb.stative	live
1232	1232	noun.animal	parrots
1235	1235	verb.communication	tell
1239	1239	verb.stative	lived
1245	1246	verb.motion	get to
1248	1249	noun.person	Princess Labam
1251	1251	noun.location	country
1255	1255	verb.stative	is
1259	1259	verb.communication	say
1262	1262	noun.person	prince
1263	1263	verb.change	grew
1270	1270	verb.communication	tell
1277	1277	verb.possession	threw
1279	1279	noun.artifact	gun
1283	1284	verb.motion	went home
1288	1289	verb.motion	got home
1294	1294	verb.communication	speak
1296	1296	verb.consumption	eat
1299	1299	verb.contact	lay
1302	1302	noun.artifact	bed
1307	1307	noun.time	days
1310	1310	verb.perception	seemed
1317	1317	verb.communication	told
1319	1319	noun.person	father
1321	1321	noun.person	mother
1326	1326	verb.motion	go
1328	1328	verb.perception	see
1330	1331	noun.person	Princess Labam
1336	1336	verb.motion	go
1340	1340	verb.communication	said
1345	1345	verb.perception	see
1348	1348	verb.stative	is
1351	1351	verb.communication	Tell
1355	1355	noun.location	country
1356	1356	verb.stative	is
1363	1363	verb.cognition	know
1366	1366	verb.stative	is
1369	1369	verb.communication	answered
1371	1371	noun.person	father
1373	1373	noun.person	mother
1379	1379	verb.motion	go
1381	1382	verb.contact	look for
1386	1386	verb.communication	said
1388	1388	noun.person	prince
1391	1391	noun.communication	No
1393	1393	noun.communication	no
1397	1397	verb.communication	said
1403	1403	verb.motion	leave
1407	1407	verb.stative	are
1410	1410	noun.person	son
1412	1412	verb.motion	Stay
1419	1419	verb.possession	find
1421	1422	noun.person	Princess Labam
1428	1428	verb.social	try
1430	1430	verb.possession	find
1434	1434	verb.communication	said
1436	1436	noun.person	prince
1440	1440	noun.person	God
1442	1442	verb.communication	show
1445	1445	noun.act	way
1449	1449	verb.stative	live
1452	1452	verb.possession	find
1457	1458	verb.motion	come back
1466	1466	verb.change	die
1473	1473	verb.perception	see
1480	1480	verb.motion	go
1487	1487	verb.social	let
1489	1489	verb.motion	go
1493	1493	verb.body	cried
1502	1502	noun.person	father
1503	1503	verb.possession	gave
1506	1506	noun.artifact	clothes
1508	1508	verb.body	wear
1513	1513	noun.animal	horse
1517	1517	verb.possession	took
1519	1519	noun.artifact	gun
1523	1523	noun.artifact	bow
1525	1525	noun.artifact	arrows
1532	1532	noun.artifact	weapons
1540	1540	verb.communication	said
1545	1545	verb.consumption	want
1550	1550	noun.person	father
1554	1554	verb.possession	gave
1556	1556	noun.quantity	plenty
1558	1558	noun.possession	rupees
1563	1563	verb.change	got
1565	1565	noun.animal	horse
1570	1570	noun.act	journey
1574	1574	verb.communication	said
1575	1577	noun.communication	good - bye
1580	1580	noun.person	father
1582	1582	noun.person	mother
1586	1586	noun.person	mother
1587	1587	verb.contact	took
1589	1589	noun.artifact	handkerchief
1591	1591	verb.contact	wrapped
1593	1593	noun.plant	sweetmeats
1598	1598	verb.possession	gave
1602	1602	noun.person	son
1606	1606	noun.person	child
1610	1610	verb.communication	said
1619	1619	verb.consumption	eat
1623	1623	noun.food	sweetmeats
1628	1629	verb.motion	set out
1632	1632	noun.act	journey
1635	1636	verb.motion	rode on
1641	1641	verb.motion	came
1644	1644	noun.object	jungle
1647	1647	verb.stative	were
1649	1649	noun.artifact	tank
1652	1652	noun.plant	trees
1655	1655	verb.body	bathed
1659	1659	noun.animal	horse
1662	1662	noun.artifact	tank
1666	1667	verb.motion	sat down
1670	1670	noun.plant	tree
1677	1677	verb.communication	said
1684	1684	verb.consumption	eat
1688	1688	noun.food	sweetmeats
1690	1690	noun.person	mother
1691	1691	verb.possession	gave
1697	1697	verb.consumption	drink
1699	1699	noun.substance	water
1705	1705	verb.stative	continue
1707	1707	noun.act	journey
1711	1711	verb.contact	opened
1713	1713	noun.artifact	handkerchief
1716	1717	verb.contact	took out
1719	1719	noun.food	sweetmeat
1722	1722	verb.possession	found
1724	1724	noun.animal	ant
1729	1730	verb.possession	took out
1734	1734	verb.stative	was
1736	1736	noun.animal	ant
1744	1744	verb.contact	laid
1747	1747	noun.plant	sweetmeats
1750	1750	noun.object	ground
1754	1755	verb.contact	took out
1767	1767	verb.motion	taken
1776	1776	verb.possession	found
1778	1778	noun.animal	ant
1786	1786	verb.communication	said
1792	1792	verb.consumption	eat
1794	1794	noun.plant	sweetmeats
1797	1797	noun.animal	ants
1799	1799	verb.consumption	eat
1805	1805	noun.person	Ant
1807	1807	noun.person	Raja
1808	1808	verb.motion	came
1810	1810	verb.contact	stood
1814	1814	verb.communication	said
1819	1819	verb.stative	been
1827	1827	verb.stative	are
1831	1832	verb.cognition	think of
1837	1837	verb.motion	come
1843	1843	noun.person	Raja
1845	1845	noun.person	son
1846	1846	verb.communication	thanked
1849	1849	verb.contact	mounted
1851	1851	noun.animal	horse
1853	1853	verb.motion	continued
1855	1855	noun.act	journey
1858	1858	verb.motion	rode
1864	1864	verb.motion	came
1867	1867	noun.object	jungle
1872	1872	verb.perception	saw
1874	1874	noun.animal	tiger
1876	1876	verb.possession	had
1878	1878	noun.cognition	thorn
1881	1881	noun.body	foot
1885	1885	verb.communication	roaring
1889	1889	noun.feeling	pain
1895	1895	verb.communication	roar
1900	1900	verb.communication	said
1903	1903	noun.person	Raja
1907	1907	verb.stative	is
1917	1917	verb.body	had
1919	1919	noun.body	thorn
1922	1922	noun.body	foot
1925	1925	noun.time	years
1928	1928	verb.communication	answered
1930	1930	noun.person	tiger
1935	1935	verb.emotion	hurts
1940	1940	verb.stative	is
1943	1943	verb.communication	roar
1950	1950	verb.communication	said
1952	1952	noun.person	Raja
1954	1954	noun.person	son
1959	1959	verb.cognition	take
1970	1970	verb.stative	are
1972	1972	noun.animal	tiger
1977	1977	verb.change	made
1983	1983	verb.consumption	eat
1993	1993	verb.communication	said
1995	1995	noun.person	tiger
2001	2001	verb.consumption	eat
2005	2005	verb.change	make
2012	2012	noun.person	prince
2013	2013	verb.contact	took
2016	2016	noun.artifact	knife
2019	2019	noun.artifact	pocket
2022	2022	verb.contact	cut
2024	2024	noun.body	thorn
2028	2028	noun.animal	tiger
2030	2030	noun.body	foot
2035	2035	verb.contact	cut
2038	2038	noun.animal	tiger
2039	2039	verb.communication	roared
2048	2048	noun.person	wife
2049	2049	verb.perception	heard
2054	2054	noun.object	jungle
2057	2057	verb.motion	came
2058	2058	verb.motion	bounding
2061	2061	verb.communication	see
2063	2063	verb.stative	was
2068	2068	noun.person	tiger
2069	2069	verb.perception	saw
2071	2071	verb.motion	coming
2074	2074	verb.possession	hid
