start_token	end_token	supersense_category	text
3	6	noun.person	DRAGONS E. Nesbit III
9	9	noun.person	Deliverers
15	15	verb.change	began
17	17	noun.person	Effie
19	19	verb.possession	getting
23	23	noun.body	eye
26	26	verb.emotion	hurt
33	33	verb.body	felt
40	40	noun.event	spark
44	44	verb.perception	seemed
46	46	verb.stative	have
47	47	noun.body	legs
52	52	noun.animal	wings
55	55	noun.animal	fly
57	57	noun.person	Effie
58	58	verb.body	rubbed
60	60	verb.communication	cried
64	64	noun.act	crying
68	68	noun.cognition	kind
70	70	noun.body	eye
71	71	verb.creation	does
77	77	verb.stative	being
81	81	noun.cognition	mind
86	87	verb.motion	went to
89	89	noun.person	father
91	91	verb.possession	have
93	93	noun.artifact	thing
96	96	noun.body	eye
97	98	verb.change	taken out
100	100	noun.person	Effie
102	102	noun.person	father
103	103	verb.stative	was
105	105	noun.person	doctor
111	111	verb.cognition	knew
114	114	verb.contact	take
115	115	noun.artifact	things
118	118	noun.body	eyes
128	128	noun.artifact	paintbrush
129	129	verb.change	dipped
131	132	noun.substance	castor oil
137	137	verb.possession	gotten
139	139	noun.artifact	thing
143	143	verb.communication	said
147	147	verb.stative	is
152	152	noun.person	Effie
155	155	verb.possession	got
156	156	noun.artifact	things
159	159	noun.body	eye
164	164	noun.person	father
167	167	verb.perception	seemed
169	169	verb.cognition	think
171	171	verb.stative	was
188	188	verb.cognition	thought
192	192	noun.person	Effie
193	193	verb.contact	stood
194	194	verb.contact	holding
196	196	noun.artifact	handkerchief
199	199	noun.body	eye
202	202	verb.communication	said
208	208	verb.cognition	believe
214	214	noun.group	People
216	216	verb.communication	say
225	225	noun.body	eyes
237	237	verb.communication	said
239	239	noun.person	doctor
244	244	verb.stative	is
248	248	noun.artifact	brush
251	251	verb.stative	is
256	256	noun.person	Effie
259	259	verb.perception	heard
261	261	noun.person	father
262	262	verb.communication	say
268	268	verb.possession	had
270	270	noun.possession	share
274	274	verb.communication	said
281	281	noun.person	doctor
282	282	verb.contact	carried
284	284	noun.artifact	brush
289	289	noun.artifact	room
292	292	verb.contact	held
294	294	noun.artifact	point
299	299	noun.artifact	microscope
303	303	verb.contact	twisted
305	305	noun.substance	brass
306	306	noun.artifact	screws
309	309	noun.artifact	microscope
312	312	verb.perception	looked
315	315	noun.location	top
318	318	noun.body	eye
326	326	verb.communication	said
329	329	noun.person	Dear
338	338	noun.body	limbs
343	343	noun.body	appendage
346	346	noun.body	toes
350	350	noun.attribute	lengths
358	358	noun.animal	Lacertidae
363	363	verb.stative	are
364	364	noun.communication	traces
366	366	noun.animal	wings
370	370	noun.Tops	creature
373	373	noun.body	eye
374	374	verb.body	wriggled
379	379	noun.substance	castor
380	380	noun.substance	oil
384	385	verb.communication	went on
392	392	noun.animal	wing
396	396	noun.cognition	specimen
400	400	noun.person	Effie
402	402	verb.motion	run
406	406	noun.person	professor
408	408	verb.communication	ask
411	411	verb.stative	be
415	416	verb.motion	step in
420	420	noun.time	minutes
426	426	verb.possession	give
428	428	noun.quantity	sixpence
430	430	noun.person	Daddy
433	433	verb.communication	said
434	434	noun.person	Effie
440	440	verb.contact	bring
444	444	noun.cognition	specimen
447	447	verb.social	took
454	454	noun.body	eye
458	458	noun.body	eye
462	462	verb.body	hurt
466	466	noun.person	doctor
467	467	verb.stative	was
473	473	noun.cognition	specimen
476	476	verb.possession	gave
477	477	noun.person	Effie
479	479	noun.quantity	shilling
484	484	noun.person	professor
485	485	verb.motion	stepped
489	489	verb.stative	stayed
491	491	noun.food	lunch
497	497	noun.person	doctor
503	503	noun.time	afternoon
506	506	noun.communication	name
509	509	noun.group	family
512	512	noun.artifact	thing
515	516	verb.change	come out
518	518	noun.person	Effie
520	520	noun.body	eye
524	524	noun.time	teatime
526	526	noun.event	thing
527	527	verb.change	happened
529	529	noun.person	Effie
531	531	noun.person	brother
532	532	noun.person	Harry
533	533	verb.contact	fished
538	538	noun.food	tea
542	542	verb.cognition	thought
545	545	verb.stative	was
547	547	noun.animal	earwig
552	552	verb.change	getting
555	555	verb.motion	drop
559	559	noun.artifact	floor
562	562	verb.change	end
564	564	noun.state	life
568	568	noun.attribute	way
572	572	verb.motion	shook
576	576	noun.artifact	spoon
578	578	verb.contact	spread
581	581	noun.animal	wings
584	584	verb.contact	flopped
587	587	noun.artifact	tablecloth
591	591	verb.contact	sat
593	593	verb.contact	stroking
597	597	noun.body	feet
599	599	verb.body	stretching
601	601	noun.animal	wings
604	604	noun.person	Harry
605	605	verb.communication	said
614	614	noun.animal	newt
618	618	noun.person	professor
619	619	verb.motion	leaned
623	623	noun.person	doctor
625	625	verb.communication	say
627	627	noun.communication	word
632	632	verb.possession	give
634	634	noun.quantity	half
636	636	noun.communication	crown
640	640	noun.person	Harry
643	643	noun.person	lad
647	647	verb.communication	said
649	649	verb.communication	speaking
656	656	verb.contact	picked
662	662	noun.artifact	handkerchief
666	666	verb.stative	is
669	669	noun.cognition	specimen
673	673	verb.communication	said
681	681	noun.person	Doctor
685	685	verb.stative	was
688	688	noun.animal	lizard
693	693	noun.quantity	inch
697	697	noun.animal	scales
699	699	noun.animal	wings
704	704	noun.person	doctor
707	707	noun.person	professor
709	709	verb.possession	had
711	711	noun.cognition	specimen
715	715	verb.stative	were
724	724	noun.artifact	specimens
725	725	verb.change	began
727	727	verb.perception	seem
734	734	noun.time	morning
738	738	noun.artifact	knife
740	740	noun.person	boy
742	742	verb.contact	cleaning
744	744	noun.person	doctor
746	746	noun.artifact	boots
750	750	verb.motion	dropped
752	752	noun.artifact	brushes
755	755	noun.artifact	boot
758	758	noun.substance	blacking
761	762	verb.communication	screamed out
772	772	noun.artifact	boot
773	773	verb.motion	came
774	774	verb.motion	crawling
776	776	noun.animal	lizard
781	781	noun.animal	kitten
787	787	noun.animal	wings
793	793	verb.communication	said
794	794	noun.person	Effie
798	798	verb.cognition	know
801	801	verb.stative	is
804	804	verb.stative	is
806	806	noun.animal	dragon
810	811	noun.person	St. George
812	812	verb.contact	killed
816	816	noun.person	Effie
817	817	verb.stative	was
821	821	noun.time	afternoon
822	822	noun.person	Towser
824	824	verb.contact	bitten
827	827	noun.artifact	garden
830	830	noun.animal	dragon
833	833	noun.attribute	size
836	836	noun.animal	rabbit
841	841	verb.social	tried
843	843	verb.motion	chase
848	848	noun.time	morning
851	851	noun.communication	papers
852	852	verb.stative	were
859	859	noun.animal	lizards
863	863	verb.change	appearing
867	867	noun.location	country
870	870	noun.communication	papers
873	873	verb.communication	call
875	875	noun.animal	dragons
884	885	verb.cognition	believes in
886	886	noun.animal	dragons
894	894	noun.communication	papers
899	899	verb.stative	be
904	905	verb.cognition	believe in
906	907	noun.communication	fairy stories
912	912	verb.stative	were
920	920	noun.time	week
924	924	noun.location	country
927	927	verb.motion	running
930	930	noun.animal	dragons
933	933	noun.attribute	sizes
938	938	noun.substance	air
942	942	verb.perception	see
948	948	noun.group	swarm
950	950	noun.animal	bees
954	954	verb.perception	looked
959	959	noun.attribute	size
962	962	verb.stative	were
965	965	noun.animal	scales
969	969	verb.stative	had
971	971	noun.body	legs
975	975	noun.animal	tail
978	978	noun.animal	wings
980	980	noun.animal	bats
982	982	noun.animal	wings
986	986	noun.animal	wings
987	987	verb.stative	were
998	998	noun.artifact	gear
1000	1000	noun.artifact	boxes
1002	1002	noun.artifact	bicycles
1005	1005	verb.consumption	breathed
1006	1006	noun.substance	fire
1008	1008	noun.phenomenon	smoke
1013	1013	noun.animal	dragons
1019	1019	noun.artifact	newspapers
1020	1021	verb.communication	went on
1022	1022	verb.cognition	pretending
1024	1024	verb.stative	were
1025	1025	noun.animal	lizards
1029	1029	noun.person	editor
1033	1034	noun.group	Standard _
1036	1037	verb.contact	picked up
1039	1040	verb.contact	carried away
1051	1051	noun.communication	newspaper
1052	1052	noun.group	people
1053	1053	verb.possession	had
1058	1058	verb.communication	tell
1065	1065	verb.cognition	believe
1071	1071	noun.animal	elephant
1074	1074	noun.location	Zoo
1076	1077	verb.contact	carried off
1080	1080	noun.animal	dragon
1083	1083	noun.communication	papers
1084	1085	verb.communication	gave up
1089	1089	verb.contact	put
