COREF	start_token	end_token	prop	cat	text
24	11	12	PROP	PER	Tom Hood
25	24	26	PROP	PER	THE SLEEPING BEAUTY
26	28	31	PROP	PER	LITTLE RED RIDING HOOD
27	33	35	PROP	PER	PUSS IN BOOTS
0	41	41	PRON	PER	MY
-1	48	61	NOM	LOC	that strange region , dim and grey , Which lies so very far away
-1	80	87	NOM	LOC	a land where silence reigned So deep,—the ear
-1	102	102	PRON	PER	he
-1	107	107	PRON	PER	we
-1	112	112	PRON	PER	you
0	172	172	PRON	PER	I
-1	175	175	PRON	PER	you
-1	195	195	PRON	PER	They
-1	202	202	NOM	PER	sages
-1	205	207	NOM	PER	hundreds of cooks
-1	212	212	PRON	PER	their
-1	215	215	PRON	PER	They
28	232	232	PROP	PER	Hobbes
0	238	238	PRON	PER	I
29	243	243	PROP	PER	Kitchener
-1	268	268	PRON	PER	them
-1	269	273	NOM	PER	a man of some parts
-1	290	294	NOM	PER	The veracious voracious will own
-1	300	300	PRON	PER	you
30	323	323	PROP	PER	Maccaroni
0	427	427	PRON	PER	I
-1	441	441	NOM	PER	beginners
-1	450	451	NOM	FAC	the square
-1	458	459	NOM	PER	Lord Mayor
-1	469	471	NOM	PER	The invited guests
-1	477	477	NOM	PER	nobles
-1	479	479	NOM	PER	courtiers
-1	485	485	PRON	PER	They
31	506	506	PROP	PER	Precedence
-1	517	517	PRON	PER	they
-1	519	521	NOM	PER	none of them
-1	521	521	PRON	PER	them
-1	530	534	NOM	FAC	the grave Major - Domo
32	537	538	PROP	PER	the Babel
-1	545	546	NOM	PER	the King
-1	545	548	NOM	PER	the King 's Musqueteers
-1	551	551	PRON	PER	he
-1	557	557	PRON	PER	him
-1	558	558	PRON	PER	his
-1	573	576	NOM	PER	The twelve fairy godmothers
-1	586	589	NOM	PER	a bray Of trumpets
-1	594	594	PRON	PER	His
-1	594	595	NOM	PER	His Majesty
-1	604	604	PRON	PER	his
-1	604	605	NOM	PER	his Ministers
-1	608	608	PRON	PER	their
-1	613	617	NOM	PER	the Lords of his Council
-1	616	616	PRON	PER	his
-1	624	625	NOM	PER	the Queen
-1	637	637	PRON	PER	her
0	651	651	PRON	PER	I
0	661	661	PRON	PER	I
-1	677	678	NOM	PER	the Musqueteers
-1	683	687	NOM	FAC	the top of the hall
-1	686	687	NOM	FAC	the hall
-1	690	691	NOM	PER	the visitors
-1	699	700	NOM	FAC	the place
-1	712	713	NOM	PER	short folks
-1	727	727	PRON	PER	They
-1	729	749	NOM	PER	the squeeze , bawl , brawl , haul , maul , squall , call , fall , crawl , and sprawl
33	750	751	PROP	PER	The King
-1	774	774	PRON	PER	his
-1	774	775	NOM	PER	his daughter
-1	781	782	NOM	PER	the fairies
-1	785	789	NOM	PER	A fay for a sponsor
-1	799	799	NOM	PER	fairies
-1	801	801	PRON	PER	we
-1	819	819	NOM	PER	One
-1	821	823	NOM	PER	the babe beauty
-1	825	825	NOM	PER	Another
-1	853	853	PRON	PER	their
34	858	858	PROP	PER	Eleven
-1	861	861	PRON	PER	her
-1	871	871	PRON	PER	I
-1	879	879	PRON	PER	her
-1	881	882	NOM	PER	dear cousin
-1	885	886	NOM	PER	the Queen
-1	894	894	PRON	PER	I
-1	900	900	PRON	PER	I
-1	909	909	PRON	PER	your
-1	913	913	PRON	PER	I
-1	922	922	PRON	PER	I
-1	928	928	PRON	PER	you
-1	933	934	NOM	PER	The King
-1	942	942	PRON	PER	him
-1	943	944	NOM	PER	the Queen
-1	946	946	PRON	PER	her
-1	951	953	NOM	PER	Each fairy godmother
0	960	960	PRON	PER	my
-1	960	961	NOM	PER	my lord
35	962	963	PROP	PER	the Archbishop
-1	972	973	NOM	PER	a cook
-1	985	985	PRON	PER	he
-1	988	989	NOM	FAC	the hall
-1	995	995	PRON	PER	your
-1	995	996	NOM	PER	your Majesty
-1	998	1003	NOM	PER	somebody 's fell down the chimbley
-1	1009	1010	NOM	FAC	the hall
-1	1065	1066	NOM	PER	the guests
-1	1098	1098	NOM	PER	sir
-1	1103	1103	PRON	PER	I
36	1113	1115	PROP	PER	old Fairy Spite
-1	1118	1118	PRON	PER	they
-1	1125	1125	PRON	PER	her
-1	1133	1133	PRON	PER	She
-1	1151	1151	PRON	PER	she
-1	1164	1164	PRON	PER	Her
-1	1174	1174	PRON	PER	her
-1	1175	1175	PRON	PER	His
-1	1175	1176	NOM	PER	His Majesty
-1	1186	1186	PRON	PER	They
-1	1192	1192	PRON	PER	her
-1	1202	1202	PRON	PER	they
-1	1209	1209	PRON	PER	she
37	1215	1216	PROP	PER	Shrieked Spite
-1	1221	1221	NOM	PER	gaby
-1	1227	1228	NOM	PER	the baby
-1	1231	1232	NOM	PER	The Queen
-1	1238	1238	PRON	PER	Her
-1	1247	1248	NOM	PER	the darling
-1	1251	1251	PRON	PER	she
-1	1255	1255	PRON	PER	You
-1	1263	1263	PRON	PER	her
-1	1270	1270	PRON	PER	her
-1	1272	1272	PRON	PER	She
37	1281	1281	PROP	PER	Spite
-1	1285	1285	PRON	PER	she
0	1288	1288	PRON	PER	I
-1	1291	1291	PRON	PER	her
-1	1295	1295	NOM	PER	ma'am
-1	1310	1310	PRON	PER	she
-1	1315	1315	PRON	PER	she
-1	1322	1322	PRON	PER	she
-1	1331	1331	PRON	PER	your
-1	1331	1333	NOM	FAC	your palace creep
-1	1336	1336	PRON	PER	you
-1	1339	1339	PRON	PER	your
-1	1339	1341	NOM	PER	your whole court
-1	1361	1361	PRON	PER	we
-1	1368	1368	PRON	PER	Her
37	1380	1380	PROP	PER	Spite
-1	1386	1387	NOM	PER	a prince
