COREF	start_token	end_token	prop	cat	text
0	3	6	PROP	PER	PRINCESS JOAN [ Illustration
-1	15	15	NOM	PER	fairies
-1	19	20	NOM	PER	a King
-1	22	22	NOM	PER	Queen
-1	31	32	NOM	PER	the Queen
-1	34	38	NOM	PER	a proud , haughty woman
-1	42	47	NOM	PER	every one more powerful than herself
-1	47	47	PRON	PER	herself
-1	54	54	PRON	PER	she
-1	56	58	NOM	PER	the fairy folk
-1	64	64	PRON	PER	them
-1	68	75	NOM	FAC	the castle where she and the King dwelt
-1	71	71	PRON	PER	she
-1	73	74	NOM	PER	the King
-1	81	82	NOM	PER	the Queen
-1	84	91	NOM	PER	a little baby,--a daughter whom they called Joan
-1	89	89	PRON	PER	they
0	91	91	PROP	PER	Joan
-1	106	107	NOM	LOC	the country
-1	110	111	NOM	PER	the King
-1	113	113	NOM	PER	Queen
-1	125	126	NOM	PER	the Queen
-1	132	134	NOM	PER	the little Princess
-1	139	139	PRON	PER	she
-1	143	143	PRON	PER	My
-1	143	145	NOM	PER	My pretty babe
-1	148	148	PRON	PER	you
-1	153	154	NOM	PER	a woman
-1	155	155	PRON	PER	you
-1	163	163	PRON	PER	you
-1	166	168	NOM	PER	some young Prince
-1	173	173	PRON	PER	you
-1	179	179	PRON	PER	your
-1	182	182	NOM	PER	Queen
-1	186	188	NOM	FAC	a fine palace
-1	196	196	PRON	PER	your
-1	204	204	PRON	PER	she
-1	208	208	PRON	PER	she
-1	214	214	PRON	PER	her
-1	222	238	NOM	PER	a woman dressed in yellow from head to foot standing on the other side of the cradle
-1	240	240	PRON	PER	She
-1	248	248	PRON	PER	her
-1	260	260	PRON	PER	her
-1	272	272	PRON	PER	her
-1	279	279	PRON	PER	you
-1	282	282	NOM	PER	Queen
-1	285	285	PRON	PER	your
-1	285	286	NOM	PER	your child
-1	295	295	PRON	PER	you
-1	299	299	PRON	PER	her
-1	307	309	NOM	PER	the strange woman
-1	312	312	PRON	PER	I
-1	315	316	NOM	PER	no one
-1	322	323	NOM	PER	the Queen
-1	328	328	PRON	PER	I
-1	330	333	NOM	PER	Queen of the land
-1	332	333	NOM	LOC	the land
-1	339	339	PRON	PER	I
-1	343	345	NOM	PER	The yellow woman
-1	358	359	NOM	PER	proud Queen
-1	373	374	NOM	PER	the Princess
-1	384	384	PRON	PER	her
-1	389	389	PRON	PER	her
-1	393	394	NOM	PER	No thief
-1	398	398	PRON	PER	her
-1	402	403	NOM	PER	the Queen
-1	407	407	PRON	PER	she
-1	411	412	NOM	PER	the woman
-1	417	418	NOM	PER	the Queen
-1	422	423	NOM	PER	a fairy
-1	466	467	NOM	PER	the Queen
-1	472	481	NOM	PER	the baby , who was sleeping peacefully in its cradle
-1	491	491	PRON	PER	she
-1	512	513	NOM	PER	some one
-1	525	526	NOM	PER	the baby
1	534	535	PROP	PER	The Queen
-1	539	539	PRON	PER	her
-1	543	543	PRON	PER	she
-1	548	550	NOM	PER	the little one
-1	569	570	NOM	PER	the Queen
-1	575	576	NOM	FAC	the room
-1	609	610	NOM	PER	The Queen
-1	612	613	NOM	PER	the baby
-1	615	615	PRON	PER	her
-1	620	620	PRON	PER	it
-1	630	630	PRON	PER	it
-1	638	638	PRON	PER	its
-1	638	639	NOM	PER	its mother
-1	643	643	PRON	PER	its
-1	656	660	NOM	PER	The nurse of the Princess
-1	659	660	NOM	PER	the Princess
0	661	661	PROP	PER	Joan
-1	663	674	NOM	PER	a very wise old woman who knew a great deal of fairies
-1	676	676	PRON	PER	their
-1	681	682	NOM	PER	the child
-1	685	685	PRON	PER	she
-1	687	687	PRON	PER	her
-1	694	694	PRON	PER	She
-1	701	701	PRON	PER	she
-1	709	709	PRON	PER	I
-1	716	716	PRON	PER	she
-1	718	719	NOM	PER	a woman
-1	720	720	PRON	PER	they
-1	725	725	PRON	PER	she
-1	728	728	NOM	PER	others
-1	731	732	NOM	PER	The nurse
-1	740	741	NOM	PER	No one
-1	745	750	NOM	PER	a little girl like the Princess
-1	749	750	NOM	PER	the Princess
-1	754	754	PRON	PER	her
-1	756	756	PRON	PER	She
-1	763	763	PRON	PER	she
-1	766	766	PRON	PER	she
-1	769	769	PRON	PER	her
-1	772	772	PRON	PER	her
-1	778	778	PRON	PER	she
-1	783	783	PRON	PER	she
-1	785	785	NOM	PER	nobody
-1	788	788	PRON	PER	her
-1	792	792	PRON	PER	she
-1	797	798	NOM	PER	the King
-1	799	799	PRON	PER	her
-1	799	800	NOM	PER	her father
-1	809	809	PRON	PER	her
-1	813	813	PRON	PER	he
-1	815	815	PRON	PER	she
-1	820	820	PRON	PER	she
-1	824	824	PRON	PER	he
-1	828	828	PRON	PER	She
-1	831	831	PRON	PER	her
-1	831	832	NOM	PER	her mother
-1	835	835	PRON	PER	her
-1	835	836	NOM	PER	her ladies
-1	840	840	PRON	PER	they
-1	842	842	PRON	PER	they
-1	844	844	PRON	PER	her
-1	846	846	PRON	PER	she
-1	849	849	PRON	PER	them
-1	854	854	PRON	PER	they
-1	859	860	NOM	PER	the ladies
-1	864	864	PRON	PER	her
-1	867	867	PRON	PER	her
-1	875	877	NOM	PER	the old nurse
-1	880	880	PRON	PER	them
-1	888	888	PRON	PER	her
-1	889	889	PRON	PER	you
-1	893	893	PRON	PER	She
-1	901	901	PRON	PER	her
0	905	906	PROP	PER	Princess Joan
-1	911	916	NOM	PER	the loveliest woman in the land
-1	915	916	NOM	LOC	the land
-1	924	927	NOM	PER	any one so fair
-1	936	936	PRON	PER	her
-1	936	937	NOM	PER	her mother
-1	940	940	PRON	PER	her
-1	944	944	PRON	PER	her
-1	951	951	PRON	PER	her
-1	951	953	NOM	PER	her beautiful daughter
-1	962	962	PRON	PER	herself
-1	964	966	NOM	GPE	The neighbouring country
-1	970	971	NOM	PER	a King
-1	976	978	NOM	PER	only one son
2	981	981	PROP	PER	Michael
-1	984	984	NOM	PER	everybody
-1	988	988	PRON	PER	He
-1	990	993	NOM	PER	a handsome young man
-1	999	999	PRON	PER	he
-1	1003	1003	PRON	PER	He
-1	1008	1010	NOM	PER	the poorest beggar
-1	1013	1015	NOM	PER	the greatest lord
-1	1018	1021	NOM	PER	all the poor folk
-1	1024	1024	PRON	PER	him
-1	1027	1027	PRON	PER	him
-1	1028	1028	PRON	PER	their
-1	1032	1032	PRON	PER	they
-1	1034	1034	PRON	PER	they
-1	1041	1041	PRON	PER	he
-1	1048	1050	NOM	PER	the court people
-1	1052	1052	PRON	PER	him
-1	1056	1057	NOM	PER	the peasants
-1	1060	1061	NOM	GPE	this country
-1	1065	1067	NOM	LOC	a high hill
-1	1068	1070	NOM	FAC	a round tower
-1	1077	1077	PRON	FAC	it
-1	1079	1081	NOM	PER	an old wizard
-1	1083	1084	NOM	PER	No man
-1	1086	1086	PRON	PER	his
-1	1090	1090	PRON	PER	he
-1	1093	1093	NOM	FAC	there
-1	1100	1101	NOM	PER	no one
