COREF	start_token	end_token	prop	cat	text
-1	0	2	NOM	PER	The Light Princess
7	8	12	PROP	PER	George MacDonald THE LIGHT PRINCESS
-1	16	17	NOM	PER	NO CHILDREN
0	28	28	PRON	PER	I
-1	37	38	NOM	PER	a king
-1	40	40	NOM	PER	queen
-1	43	44	NOM	PER	no children
-1	47	48	NOM	PER	the king
-1	51	51	PRON	PER	himself
-1	54	59	NOM	PER	All the queens of my acquaintance
-1	58	58	PRON	PER	my
-1	61	61	NOM	PER	children
-1	70	74	NOM	PER	some as many as twelve
-1	77	77	PRON	PER	my
-1	77	78	NOM	PER	my queen
-1	83	83	PRON	PER	I
-1	91	91	PRON	PER	he
-1	94	94	PRON	PER	his
-1	100	100	PRON	PER	his
-1	100	101	NOM	PER	his wife
-1	106	106	PRON	PER	she
-1	111	114	NOM	PER	a good patient queen
-1	116	116	PRON	PER	she
-1	120	121	NOM	PER	the king
-1	128	129	NOM	PER	the queen
-1	150	150	PRON	PER	you
-1	152	153	NOM	PER	any daughters
-1	160	160	PRON	PER	he
-1	163	163	PRON	PER	I
-1	168	168	NOM	PER	sons
-1	181	181	PRON	PER	I
-1	185	186	NOM	PER	dear king
-1	188	188	PRON	PER	I
-1	195	196	NOM	PER	the queen
-1	200	200	PRON	PER	you
-1	207	208	NOM	PER	the king
-1	211	211	PRON	PER	you
-1	228	228	PRON	PER	he
-1	231	235	NOM	PER	an ill - tempered king
-1	247	248	NOM	PER	the queen
-1	250	250	PRON	PER	her
-1	255	255	PRON	PER	his
-1	268	269	NOM	PER	The queen
-1	273	273	PRON	PER	You
-1	278	279	NOM	PER	a lady
-1	281	281	PRON	PER	you
-1	284	285	NOM	PER	dear king
-1	289	289	PRON	PER	she
-1	291	291	PRON	PER	She
-1	296	299	NOM	PER	a very nice queen
-1	305	305	PRON	PER	she
-1	309	310	NOM	PER	the king
-1	313	314	NOM	PER	The king
-1	321	321	PRON	PER	he
-1	330	330	PRON	PER	he
-1	340	341	NOM	PER	the queen
-1	343	343	PRON	PER	him
-1	344	345	NOM	PER	a daughter
-1	349	351	NOM	PER	a little princess
0	359	359	PRON	PER	I
-1	368	369	NOM	PER	the infant
-1	374	375	NOM	PER	The king
-1	381	381	PRON	PER	his
-1	387	387	NOM	PER	somebody
-1	398	399	NOM	PER	somebody _
-1	405	405	PRON	PER	you
-1	412	413	NOM	PER	the king
8	426	428	PROP	PER	the Princess Makemnoit
-1	435	436	NOM	PER	the princess
-1	438	439	NOM	PER	the king
-1	438	442	NOM	PER	the king 's own sister
-1	445	445	PRON	PER	he
-1	451	451	PRON	PER	her
-1	454	454	PRON	PER	she
-1	457	457	PRON	PER	herself
-1	461	463	NOM	PER	the old king
-1	465	465	PRON	PER	their
-1	465	466	NOM	PER	their father
-1	469	469	PRON	PER	he
-1	472	472	PRON	PER	her
-1	475	475	PRON	PER	his
-1	485	485	PRON	PER	her
-1	485	486	NOM	PER	her brother
-1	488	488	PRON	PER	her
-1	491	491	PRON	PER	his
-1	503	503	PRON	PER	you
-1	507	507	PRON	PER	them
-1	512	512	PRON	PER	they
-1	514	515	NOM	PER	The king
-1	522	522	PRON	PER	she
-1	527	527	PRON	PER	he
-1	529	529	PRON	PER	She
-1	531	535	NOM	PER	a sour , spiteful creature
-1	549	549	PRON	PER	her
-1	563	564	NOM	PER	a king
-1	570	570	NOM	PER	anybody
-1	572	573	NOM	PER	this king
-1	578	578	PRON	PER	his
-1	578	579	NOM	PER	his sister
-1	586	586	PRON	PER	She
-1	593	593	PRON	PER	Her
-1	603	603	PRON	PER	her
-1	615	615	PRON	PER	she
-1	618	618	PRON	PER	her
-1	625	625	PRON	PER	she
-1	627	627	NOM	PER	anybody
-1	640	640	PRON	PER	she
-1	642	642	NOM	PER	anybody
0	644	644	PRON	PER	I
0	650	650	PRON	PER	I
-1	654	654	PRON	PER	her
-1	656	656	NOM	PER	anybody
-1	658	658	PRON	PER	herself
0	661	661	PRON	PER	I
-1	665	665	PRON	PER	she
-1	671	671	PRON	PER	she
-1	678	678	PRON	PER	herself
-1	687	688	NOM	PER	the king
-1	691	691	PRON	PER	her
-1	695	695	PRON	PER	she
-1	703	703	PRON	PER	she
-1	705	706	NOM	PER	a witch
-1	710	710	PRON	PER	she
-1	712	712	NOM	PER	anybody
-1	714	714	PRON	PER	he
-1	723	723	PRON	PER	she
-1	725	728	NOM	PER	all the wicked fairies
-1	733	736	NOM	PER	all the clever ones
-1	740	740	PRON	PER	She
-1	745	745	PRON	PER	we
-1	756	756	NOM	PER	witches
-1	759	759	PRON	PER	their
-1	775	775	PRON	PER	she
-1	778	778	PRON	PER	her
-1	789	791	NOM	PER	the whole family
-1	795	796	NOM	PER	a princess
-1	798	798	PRON	PER	she
-1	802	802	PRON	PER	she
-1	805	805	PRON	PER	her
-1	811	812	NOM	FAC	the palace
-1	818	820	NOM	PER	the happy monarch
-1	825	825	PRON	PER	he
-1	828	828	PRON	PER	her
-1	832	832	PRON	PER	her
-1	838	840	NOM	FAC	the royal chapel
-1	843	843	PRON	PER	they
-1	851	851	PRON	PER	she
-1	868	868	PRON	PER	she
-1	880	881	NOM	PER	the child
-1	889	889	PRON	PER	she
-1	893	893	PRON	PER	her
-1	907	909	NOM	PER	those beside her
-1	909	909	PRON	PER	her
-1	918	918	PRON	PER	my
-1	934	934	PRON	PER	thy
-1	934	935	NOM	PER	thy parents
-1	940	940	PRON	PER	They
-1	943	943	PRON	PER	she
-1	946	946	PRON	PER	her
-1	965	965	PRON	PER	them
-1	968	969	NOM	PER	The baby
-1	982	983	NOM	PER	the nurse
-1	993	993	PRON	PER	she
-1	995	995	PRON	PER	she
-1	1001	1001	PRON	PER	she
-1	1005	1006	NOM	PER	the baby
-1	1008	1008	PRON	PER	her
-1	1012	1012	PRON	PER	she
-1	1027	1027	PRON	PER	SHE
-1	1031	1031	PRON	PER	Her
-1	1031	1033	NOM	PER	Her atrocious aunt
-1	1036	1037	NOM	PER	the child
-1	1040	1040	PRON	PER	her
-1	1044	1044	PRON	PER	you
0	1046	1046	PRON	PER	me
0	1052	1052	PRON	PER	I
-1	1061	1062	NOM	LOC	the world
-1	1064	1064	PRON	PER	She
-1	1073	1074	NOM	PER	the princess
-1	1076	1077	NOM	PER	a philosopher
-1	1107	1107	PRON	PER	her
-1	1114	1115	NOM	PER	a witch
-1	1119	1119	PRON	PER	she
-1	1133	1133	PRON	PER	their
-1	1137	1137	PRON	PER	their
-1	1149	1149	PRON	PER	we
-1	1178	1179	NOM	PER	the nurse
-1	1183	1184	NOM	PER	the baby
-1	1189	1189	PRON	PER	she
-1	1192	1192	PRON	PER	her
-1	1206	1206	PRON	PER	her
-1	1219	1219	PRON	PER	she
-1	1225	1225	PRON	PER	she
-1	1227	1227	PRON	PER	her
-1	1227	1228	NOM	PER	her nurse
-1	1237	1240	NOM	PER	The nurse in terror
