start_token	end_token	supersense_category	text
8	8	noun.communication	Book
11	12	noun.person	Andrew Lang
16	16	noun.communication	BOOK
21	22	noun.person	Andrew Lang
23	23	noun.communication	CONTENTS
39	40	noun.location	WEST OF
69	69	noun.communication	TALE
89	97	noun.group	MAID WHY THE SEA IS SALT THE MASTER CAT
101	101	noun.person	PUSS
103	104	noun.person	BOOTS FELICIA
107	116	noun.group	POT OF PINKS THE WHITE CAT THE WATER - LILY
121	124	noun.group	SPINNERS THE TERRIBLE HEAD
126	126	noun.communication	STORY
129	129	noun.communication	GOLDILOCKS
131	133	noun.group	HISTORY OF WHITTINGTON
135	138	noun.person	WONDERFUL SHEEP LITTLE THUMB
140	142	noun.group	FORTY THIEVES HANSEL
155	155	noun.person	GIRL
158	158	noun.communication	DIAMONDS
159	164	noun.person	PRINCE DARLING BLUE BEARD TRUSTY JOHN
166	168	noun.person	BRAVE LITTLE TAILOR
173	173	noun.communication	CHAPTER
177	177	noun.communication	CHAPTER
179	179	noun.communication	CHAPTER
181	181	noun.communication	CHAPTER
192	193	noun.person	PRINCE AHMED
196	197	noun.person	FAIRY PARIBANOU
199	201	noun.person	HISTORY OF JACK
203	203	noun.person	GIANT
207	208	noun.person	BLACK BULL
212	213	noun.person	RED ETIN
215	215	noun.substance	BRONZE
220	220	noun.time	time
224	224	noun.location	country
226	226	verb.stative	lived
228	228	noun.person	king
230	230	noun.artifact	palace
232	232	verb.contact	surrounded
236	236	noun.artifact	garden
242	242	noun.person	gardeners
243	243	verb.stative	were
247	247	noun.substance	soil
248	248	verb.stative	was
252	252	noun.artifact	garden
253	253	verb.possession	yielded
255	255	noun.plant	flowers
257	257	noun.plant	fruits
261	261	noun.plant	grass
264	264	noun.plant	trees
267	267	noun.person	King
268	268	verb.stative	was
270	270	noun.state	despair
277	278	noun.person	old man
279	279	verb.communication	said
285	285	noun.person	gardeners
288	288	verb.cognition	understand
290	290	noun.act	business
296	296	verb.cognition	expect
298	298	noun.person	men
300	300	noun.person	fathers
301	301	verb.stative	were
302	302	noun.person	cobblers
304	304	noun.person	carpenters
310	310	verb.cognition	learned
312	312	verb.creation	cultivate
314	314	noun.artifact	garden
319	319	verb.stative	are
324	324	verb.communication	cried
326	326	noun.person	King
332	332	verb.communication	continued
334	335	noun.person	old man
340	341	verb.communication	send for
343	343	noun.person	gardener
345	345	noun.person	father
347	347	noun.person	grandfather
349	349	verb.stative	been
350	350	noun.person	gardeners
358	358	noun.artifact	garden
360	360	verb.stative	be
364	364	noun.plant	grass
367	367	noun.plant	flowers
372	372	verb.consumption	enjoy
375	375	noun.plant	fruit
380	380	noun.person	King
381	381	verb.motion	sent
382	382	noun.person	messengers
385	385	noun.location	town
387	387	noun.group	village
390	390	noun.group	hamlet
393	393	noun.location	dominions
396	397	verb.contact	look for
399	399	noun.person	gardener
401	401	noun.person	forefathers
403	403	verb.stative	been
404	404	noun.person	gardeners
410	410	noun.time	days
413	413	verb.possession	found
416	416	verb.motion	Come
421	421	noun.person	gardener
424	424	noun.person	King
428	428	verb.communication	said
436	437	verb.motion	go to
439	439	noun.person	King
442	442	verb.communication	said
444	444	noun.person	gardener
449	449	noun.person	wretch
456	456	verb.stative	is
459	459	noun.attribute	consequence
463	463	verb.communication	answered
469	469	noun.artifact	clothes
474	474	noun.group	family
480	480	verb.possession	owe
481	481	noun.possession	money
484	484	noun.group	people
490	490	verb.possession	pay
492	492	noun.possession	debts
496	496	verb.communication	said
500	500	noun.person	gardener
501	501	verb.social	allowed
505	505	verb.social	persuaded
508	509	verb.motion	went away
512	512	noun.person	messengers
514	514	verb.contact	taking
516	516	noun.person	wife
519	519	noun.person	son
525	525	noun.person	King
527	527	verb.emotion	delighted
530	530	verb.social	found
533	533	noun.person	gardener
535	535	verb.communication	entrusted
539	539	noun.possession	care
542	542	noun.artifact	garden
545	545	noun.person	man
546	546	verb.creation	found
548	548	noun.act	difficulty
550	550	verb.change	making
553	553	noun.group	garden
554	554	verb.creation	produce
555	555	noun.plant	flowers
557	557	noun.plant	fruit
562	562	noun.location	end
565	565	noun.time	year
567	567	noun.location	park
568	568	verb.stative	was
573	573	noun.location	place
577	577	noun.person	King
578	578	verb.contact	showered
579	579	noun.possession	gifts
583	583	noun.person	servant
586	586	noun.person	gardener
591	591	verb.cognition	heard
594	594	verb.possession	had
596	596	noun.person	son
599	599	verb.stative	was
603	604	noun.person	young man
609	609	noun.attribute	manners
615	615	verb.contact	carried
618	618	noun.plant	fruit
621	621	noun.artifact	garden
624	624	noun.person	King
630	630	noun.plant	flowers
633	633	noun.person	daughter
637	637	noun.person	princess
638	638	verb.stative	was
642	642	verb.stative	was
645	645	noun.time	years
650	650	noun.person	King
652	652	verb.change	beginning
654	654	verb.cognition	think
656	656	verb.stative	was
657	657	noun.time	time
662	662	verb.social	married
667	667	noun.person	child
670	670	verb.communication	said
675	675	verb.stative	are
678	678	noun.time	age
680	680	verb.possession	take
682	682	noun.person	husband
687	687	verb.cognition	thinking
689	689	verb.contact	marrying
693	693	noun.person	son
696	697	noun.person	prime minister
700	700	noun.person	Father
703	703	verb.communication	replied
705	705	noun.person	Princess
711	711	verb.social	marry
713	713	noun.person	son
716	716	noun.person	minister
724	724	verb.communication	asked
726	726	noun.person	King
731	731	verb.emotion	love
733	733	noun.person	gardener
735	735	noun.person	son
738	738	verb.communication	answered
740	740	noun.person	Princess
743	743	verb.cognition	hearing
746	746	noun.person	King
747	747	verb.stative	was
756	756	verb.body	wept
758	758	verb.communication	sighed
761	761	verb.communication	declared
765	765	noun.person	husband
766	766	verb.stative	was
771	771	noun.person	daughter
776	776	noun.person	Princess
781	781	verb.motion	turned
784	784	noun.act	resolution
786	786	verb.social	marry
788	788	noun.person	gardener
790	790	noun.person	son
794	794	noun.person	King
795	795	verb.communication	consulted
797	797	noun.person	ministers
801	801	verb.stative	is
805	805	verb.social	do
809	809	verb.communication	said
813	815	verb.possession	get rid of
817	817	noun.person	gardener
820	820	verb.motion	send
822	822	noun.person	suitors
827	827	noun.location	country
833	833	verb.motion	returns
836	836	verb.social	marry
838	838	noun.person	daughter
841	842	noun.person	The King
843	843	verb.cognition	followed
845	845	noun.communication	advice
849	849	noun.person	minister
