start_token	end_token	supersense_category	text
1	4	noun.person	NECKLACE OF PRINCESS FIORIMONDE
6	6	noun.communication	Illustration
10	10	verb.stative	lived
12	12	noun.person	King
15	15	noun.person	wife
16	16	verb.stative	was
21	21	verb.possession	had
25	25	noun.person	daughter
32	32	verb.cognition	thought
35	35	verb.stative	be
44	44	noun.person	Princess
45	45	verb.stative	was
51	51	verb.social	practised
52	52	noun.cognition	witchcraft
54	55	noun.cognition	black magic
60	60	verb.cognition	learned
64	64	noun.person	witch
66	66	verb.stative	lived
69	69	noun.artifact	hut
72	72	noun.location	side
76	76	noun.object	mountain
80	80	noun.person	witch
81	81	verb.stative	was
91	91	noun.person	King
93	93	noun.person	daughter
94	94	verb.cognition	knew
97	97	verb.stative	lived
102	102	noun.time	night
108	108	verb.stative	was
112	112	noun.person	Princess
115	115	noun.communication	name
116	116	verb.stative	was
117	117	noun.person	Fiorimonde
121	121	verb.social	visit
124	124	noun.act	stealth
126	126	verb.cognition	learn
127	127	noun.act	sorcery
133	133	noun.person	witch
135	135	noun.cognition	arts
138	138	verb.change	made
139	139	noun.person	Fiorimonde
151	151	noun.object	world
157	157	noun.person	Princess
158	158	verb.social	helped
163	163	noun.act	tricks
167	167	verb.communication	told
171	171	verb.stative	was
175	175	noun.time	time
176	176	verb.change	came
179	179	noun.person	King
180	180	verb.change	began
182	182	verb.cognition	think
185	185	verb.emotion	like
187	187	noun.person	daughter
189	189	verb.social	marry
193	193	verb.communication	summoned
195	195	noun.group	council
197	197	verb.communication	said
201	201	verb.possession	have
203	203	noun.person	son
205	205	verb.social	reign
208	208	noun.event	death
214	215	verb.contact	seek for
218	218	noun.person	prince
220	220	verb.social	marry
224	224	noun.person	daughter
231	231	verb.stative	are
237	237	verb.stative	be
238	238	noun.person	king
241	241	noun.act	stead
247	247	noun.group	council
248	248	verb.communication	said
250	250	verb.stative	was
257	257	verb.stative	be
261	261	noun.person	Princess
263	263	verb.social	marry
266	266	noun.person	heralds
268	268	verb.motion	sent
273	273	noun.person	kings
275	275	noun.person	princes
277	277	verb.communication	say
280	280	noun.person	King
282	282	verb.cognition	choose
284	284	noun.person	husband
287	287	noun.person	Princess
291	291	verb.stative	be
292	292	noun.person	king
298	298	noun.person	Fiorimonde
299	299	verb.perception	heard
302	302	verb.body	wept
304	304	noun.feeling	rage
308	308	verb.cognition	knew
314	314	verb.possession	had
316	316	noun.person	husband
319	320	verb.communication	find out
325	325	verb.social	visit
327	328	noun.person	old witch
332	332	verb.stative	stop
334	334	verb.social	practising
335	335	noun.act	magic
341	341	verb.possession	lose
343	343	noun.attribute	beauty
346	346	noun.time	night
347	347	verb.change	came
354	354	noun.artifact	palace
355	355	verb.stative	was
357	357	verb.body	asleep
360	360	noun.person	Princess
361	362	verb.motion	went to
364	364	noun.artifact	bedroom
365	365	noun.artifact	window
368	368	verb.contact	opened
373	373	verb.contact	took
376	376	noun.artifact	pocket
378	378	noun.quantity	handful
380	380	noun.food	peas
382	382	verb.contact	held
387	387	noun.artifact	window
389	389	verb.change	chirruped
394	394	verb.motion	flew
398	398	noun.artifact	roof
402	402	noun.animal	bird
404	404	verb.contact	sat
407	407	noun.body	wrist
409	409	verb.change	began
411	411	verb.consumption	eat
413	413	noun.food	peas
419	419	verb.contact	swallowed
423	423	verb.change	began
425	425	verb.change	grow
427	427	verb.change	grow
429	429	verb.change	grow
432	432	verb.stative	was
437	437	noun.person	Princess
440	440	verb.contact	hold
444	444	verb.social	let
446	446	verb.contact	stand
449	449	noun.artifact	window
451	451	noun.artifact	sill
456	456	verb.change	grew
458	458	verb.change	grew
460	460	verb.change	grew
463	463	verb.stative	was
468	468	noun.animal	ostrich
472	472	noun.person	Princess
473	473	verb.motion	climbed
477	477	noun.artifact	window
479	479	verb.contact	seated
483	483	noun.animal	bird
485	485	noun.body	back
491	491	verb.motion	flew
496	496	noun.location	tops
499	499	noun.plant	trees
502	502	verb.motion	came
505	505	noun.object	mountain
509	509	noun.person	witch
510	510	verb.motion	dwelt
513	513	verb.motion	stopped
518	518	noun.artifact	door
521	521	noun.artifact	hut
524	524	noun.person	Princess
525	526	verb.motion	jumped off
529	529	verb.communication	muttered
531	531	noun.communication	words
534	534	noun.artifact	keyhole
539	539	noun.communication	voice
542	542	verb.communication	called
548	548	verb.motion	come
551	551	noun.time	night
556	556	verb.communication	told
559	559	verb.emotion	wished
562	562	verb.stative	left
566	566	noun.time	nights
571	571	verb.social	disturb
578	578	verb.communication	beg
582	582	verb.social	let
587	587	verb.communication	said
589	589	noun.person	Princess
594	594	verb.stative	am
598	598	verb.emotion	want
600	600	noun.act	help
604	605	verb.motion	Come in
609	609	verb.communication	said
611	611	noun.communication	voice
615	615	noun.artifact	door
616	616	verb.motion	flew
621	621	noun.person	Princess
622	622	verb.motion	trod
625	625	noun.artifact	hut
629	629	noun.location	middle
633	633	verb.contact	wrapped
637	637	noun.artifact	cloak
640	640	verb.contact	hid
643	643	verb.contact	sat
645	645	noun.person	witch
647	648	noun.person	Princess Fiorimonde
649	650	verb.motion	sat down
655	655	verb.communication	told
659	659	noun.communication	story
663	663	noun.person	King
664	664	verb.emotion	wished
667	667	verb.social	marry
671	671	verb.communication	sent
672	672	noun.communication	word
676	676	noun.person	princes
681	681	verb.creation	make
682	682	noun.communication	offers
688	688	verb.stative	is
691	691	noun.act	hearing
694	694	verb.communication	croaked
696	696	noun.person	witch
702	702	verb.social	beat
709	709	verb.communication	deal
712	712	noun.person	Prince
715	715	verb.motion	comes
719	719	verb.emotion	like
722	722	verb.stative	become
723	723	noun.animal	dogs
726	726	verb.motion	come
729	729	noun.communication	call
732	732	noun.animal	birds
735	735	verb.motion	fly
738	738	noun.location	air
741	741	verb.creation	sing
744	744	noun.attribute	beauty
749	749	verb.creation	make
753	753	noun.artifact	beads
756	756	noun.artifact	beads
760	760	noun.artifact	necklace
763	763	noun.person	woman
764	764	verb.body	wore
771	771	verb.contact	rest
774	774	noun.body	neck
779	779	verb.motion	take
788	788	noun.artifact	necklace
791	791	noun.artifact	necklace
794	794	verb.communication	cried
796	796	noun.person	Princess
798	798	verb.body	clapping
800	800	noun.body	hands
802	802	noun.feeling	joy
807	807	verb.stative	be
813	813	verb.contact	sling
817	817	noun.artifact	string
819	819	verb.body	wear
823	823	noun.body	throat
828	828	noun.person	courtiers
829	829	verb.cognition	know
831	831	verb.change	come
834	834	noun.artifact	jewels
840	840	verb.stative	is
843	843	noun.communication	play
846	846	verb.communication	quoth
848	848	noun.person	witch
855	855	verb.stative	are
862	862	verb.stative	become
864	864	noun.artifact	bead
866	867	verb.contact	hang upon
869	869	noun.artifact	string
878	878	verb.stative	remain
882	882	verb.contact	cuts
884	884	noun.artifact	string
887	887	verb.motion	draws
896	896	verb.emotion	fear
899	899	verb.communication	said
901	901	noun.person	Princess
