start_token	end_token	supersense_category	text
1	2	noun.person	Light Princess
6	6	noun.communication	Stories
8	9	noun.person	George MacDonald
11	13	noun.person	GIANT 'S HEART
16	16	verb.stative	was
19	19	noun.animal	giant
21	21	verb.stative	lived
24	24	noun.location	borders
26	26	noun.location	Giantland
29	30	verb.stative	touched on
32	32	noun.group	country
35	35	noun.group	people
39	39	noun.location	Giantland
40	40	verb.stative	was
46	46	noun.group	people
47	47	verb.perception	saw
50	50	noun.quantity	mass
53	53	noun.object	mountains
55	55	noun.object	clouds
60	60	noun.person	man
63	63	verb.motion	come
71	71	verb.cognition	knew
74	74	verb.communication	tell
78	78	verb.perception	seen
85	85	noun.location	borders
90	90	noun.location	side
94	94	noun.location	edge
98	98	noun.object	forest
100	100	verb.stative	lived
102	102	noun.person	labourer
105	105	noun.person	wife
110	110	noun.person	children
114	114	noun.person	Tricksey
116	116	noun.person	Wee
120	120	verb.communication	called
123	123	verb.communication	teased
125	125	noun.person	brother
126	126	noun.person	Buffy
128	128	noun.person	Bob
134	134	verb.consumption	bear
140	140	verb.possession	gave
143	143	noun.artifact	box
146	146	noun.body	ear
148	148	noun.person	Tricksey
150	150	noun.person	Wee
151	151	verb.body	cried
154	154	noun.person	Buffy
156	156	noun.person	Bob
157	157	verb.stative	was
167	167	verb.body	cried
171	172	verb.motion	ran off
175	175	noun.substance	wood
178	178	verb.stative	was
183	183	noun.person	Tricksey
185	185	noun.person	Wee
186	186	verb.change	began
189	189	verb.emotion	frightened
193	193	verb.stative	was
198	198	noun.person	brother
202	202	verb.stative	was
204	204	verb.emotion	distressed
209	209	verb.emotion	teased
213	213	verb.body	cried
219	219	verb.motion	ran
222	222	noun.substance	wood
224	225	verb.contact	look for
232	232	noun.state	chance
234	234	verb.possession	losing
238	238	verb.possession	finding
247	247	verb.perception	seemed
250	251	verb.stative	turn out
255	256	verb.motion	running on
258	258	verb.perception	looking
263	263	verb.perception	found
267	267	noun.object	valley
269	269	verb.cognition	knew
270	270	noun.quantity	nothing
275	275	noun.feeling	wonder
280	280	verb.cognition	thought
281	281	verb.stative	was
283	283	noun.object	valley
288	288	noun.location	sides
290	290	verb.stative	was
295	295	noun.shape	space
300	300	noun.plant	roots
304	304	noun.plant	tree
306	306	verb.change	grew
309	309	noun.location	borders
311	311	noun.location	Giantland
314	314	verb.motion	climbed
317	317	noun.location	side
322	322	verb.motion	went
326	326	verb.cognition	took
334	334	noun.object	mountain
343	343	verb.cognition	discovered
345	345	verb.stative	be
352	352	verb.stative	be
355	355	noun.location	place
362	362	verb.communication	tell
366	367	verb.change	hollowed out
370	370	verb.perception	Staring
375	375	verb.cognition	found
378	378	verb.stative	was
380	380	noun.artifact	doorway
383	383	verb.motion	going
386	386	verb.perception	staring
390	390	verb.perception	saw
392	392	noun.artifact	door
399	399	noun.artifact	knocker
401	401	noun.substance	iron
408	408	noun.quantity	yards
411	411	noun.body	head
418	418	noun.artifact	anchor
422	422	noun.artifact	ship
429	429	verb.stative	been
432	432	noun.person	Tricksey
434	434	noun.person	Wee
446	446	noun.person	Buffy
448	448	noun.person	Bob
450	450	noun.artifact	box
453	453	noun.body	ear
457	457	verb.cognition	think
459	459	verb.cognition	considering
462	462	verb.perception	spying
465	465	noun.object	hole
468	468	noun.location	bottom
471	471	noun.artifact	door
475	475	verb.contact	nibbled
479	479	noun.animal	mouse
482	482	verb.motion	crept
487	487	verb.perception	found
492	492	noun.artifact	hall
498	498	verb.perception	seen
501	501	noun.location	end
511	511	noun.event	fire
514	514	verb.weather	burning
517	517	verb.change	diminished
520	520	noun.event	spark
523	523	noun.location	distance
527	527	noun.event	fire
529	529	verb.motion	ran
537	537	verb.stative	was
544	544	verb.contact	fell
550	550	noun.event	clatter
555	555	verb.motion	tumbled
559	559	verb.motion	rolling
562	562	noun.artifact	floor
565	565	verb.stative	was
572	573	verb.motion	got up
576	576	noun.time	moment
580	580	verb.perception	saw
585	586	verb.motion	fallen over
587	587	verb.stative	was
592	592	noun.substance	iron
593	593	noun.artifact	bucket
597	597	verb.perception	examined
603	603	verb.cognition	discovered
606	606	verb.stative	was
608	608	noun.artifact	thimble
611	611	verb.perception	looking
614	614	verb.perception	see
617	617	verb.contact	dropped
620	620	verb.stative	beheld
623	623	noun.body	face
626	626	noun.artifact	spectacles
632	632	noun.artifact	windows
635	635	noun.artifact	church
637	637	verb.motion	bending
642	642	verb.perception	looking
646	646	noun.artifact	thimble
648	648	noun.person	Tricksey
650	650	noun.person	Wee
652	653	verb.contact	laid hold
659	659	noun.body	arms
662	662	verb.contact	lifted
666	666	noun.quantity	inch
670	670	noun.body	nose
674	674	noun.person	giantess
677	677	noun.act	movement
678	678	verb.change	made
680	681	noun.person	old lady
682	682	verb.perception	see
685	685	verb.stative	was
690	690	noun.body	finger
691	691	verb.contact	popping
696	696	verb.change	vanished
699	699	noun.body	eyes
701	703	noun.person	Tricksey - Wee
705	705	verb.contact	buried
708	708	noun.shape	folds
712	712	noun.artifact	stocking
715	715	noun.object	cloud
718	718	noun.object	sky
721	722	noun.person	Mrs. Giant
725	725	verb.creation	darning
729	729	verb.stative	was
730	730	noun.time	Saturday
731	731	noun.time	night
735	735	noun.person	husband
737	737	verb.body	wear
738	738	noun.quantity	nothing
741	741	noun.artifact	stockings
743	743	noun.time	Sunday
750	750	verb.consumption	eat
752	752	noun.person	children
766	766	verb.stative	crossed
768	768	noun.cognition	mind
771	771	verb.stative	was
779	779	verb.communication	said
784	784	verb.body	wore
786	786	noun.artifact	stockings
788	788	noun.time	Sunday
792	792	noun.animal	giant
795	795	noun.location	Giantland
801	801	noun.person	Tricksey
803	803	noun.person	Wee
804	804	verb.perception	heard
806	806	noun.communication	sound
809	809	noun.phenomenon	wind
812	812	noun.plant	tree
815	815	noun.plant	leaves
820	820	verb.cognition	think
824	824	verb.stative	be
828	828	verb.perception	looking
832	832	verb.cognition	found
835	835	verb.stative	was
837	837	noun.animal	giantess
838	838	verb.communication	whispering
845	845	verb.social	tried
850	850	verb.perception	hear
853	853	verb.communication	said
858	859	verb.motion	Run away
863	863	noun.person	girl
867	867	verb.communication	said
878	878	noun.person	husband
880	880	verb.stative	be
885	885	noun.time	minutes
893	893	verb.stative	been
897	897	noun.person	husband
900	900	verb.communication	said
901	903	noun.person	Tricksey - Wee
905	905	verb.perception	looking
909	909	noun.person	giantess
911	911	noun.body	face
917	917	verb.stative	matter
922	922	verb.motion	go
925	925	verb.stative	is
929	929	noun.person	children
933	933	noun.person	girls
943	943	verb.emotion	hurt
949	949	verb.stative	am
956	956	verb.stative	is
963	963	verb.consumption	eats
969	969	verb.stative	am
974	974	verb.social	help
975	975	verb.emotion	hurting
985	985	noun.person	man
994	994	verb.communication	began
995	997	noun.person	Tricksey - Wee
999	999	verb.emotion	feeling
1007	1007	verb.change	finish
1009	1009	noun.communication	sentence
1011	1011	verb.perception	heard
1013	1013	noun.cognition	sound
1015	1015	noun.body	footsteps
1025	1025	noun.time	moment
1029	1029	verb.motion	come
1030	1030	verb.motion	running
1035	1035	noun.time	speed
1041	1041	noun.phenomenon	death
1044	1044	noun.person	Buffy
1046	1046	noun.person	Bob
1049	1050	verb.body	held out
1052	1052	noun.body	arms
1056	1056	verb.motion	ran
1063	1063	verb.social	tried
1065	1065	verb.contact	kiss
1070	1070	verb.contact	kissed
1072	1072	noun.artifact	back
1075	1075	noun.body	head
1080	1080	noun.body	face
1083	1083	noun.body	eyes
1085	1085	verb.motion	turned
1088	1088	noun.artifact	door
1093	1093	noun.person	children
1095	1095	verb.motion	run
1097	1097	verb.motion	hide
1100	1100	verb.communication	said
1102	1102	noun.person	giantess
1107	1107	noun.person	Buffy
1110	1110	verb.communication	said
1111	1111	noun.person	Tricksey
1118	1118	noun.artifact	brake
1122	1122	verb.perception	hide
1128	1128	noun.artifact	brake
1129	1129	verb.stative	was
1132	1132	noun.artifact	broom
1138	1138	verb.motion	got
1141	1141	noun.plant	bristles
1146	1146	verb.perception	heard
1148	1148	noun.artifact	door
1149	1149	verb.contact	open
1152	1152	noun.attribute	sound
1154	1154	noun.event	thunder
1160	1160	noun.animal	giant
1165	1165	verb.cognition	thought
1167	1167	verb.perception	saw
1170	1170	noun.substance	earth
1173	1173	noun.artifact	door
1176	1176	verb.contact	opened
1181	1181	verb.stative	was
1187	1187	verb.contact	closed
1191	1191	verb.stative	was
1193	1193	noun.time	nightfall
1197	1197	verb.stative	is
1200	1200	noun.person	boy
1204	1204	verb.communication	cried
1208	1208	noun.attribute	voice
1211	1211	noun.communication	bellowing
1214	1214	noun.artifact	cannon
1218	1218	verb.perception	looked
1222	1222	noun.person	boy
1226	1226	verb.stative	am
1230	1230	verb.motion	crept
1233	1233	noun.artifact	mousehole
1236	1236	noun.location	bottom
1239	1239	noun.artifact	door
1242	1242	verb.stative	is
1246	1246	noun.person	dear
1253	1253	verb.cognition	know
1256	1256	verb.communication	answered
1258	1258	noun.person	giantess
1263	1263	verb.cognition	know
1265	1265	verb.stative	is
1268	1268	verb.communication	tell
1269	1269	noun.communication	lies
1276	1276	noun.person	dear
1279	1279	verb.communication	retorted
1281	1281	noun.animal	giant
1288	1289	noun.person	old Thunderthump
1292	1292	verb.communication	said
1294	1294	noun.person	wife
1298	1298	noun.communication	smile
1303	1303	noun.object	sea
1306	1306	noun.phenomenon	sun
1312	1312	verb.change	mend
1315	1315	noun.artifact	stockings
1317	1317	verb.perception	look
1320	1320	noun.person	boys
1324	1324	verb.possession	got
1325	1325	noun.quantity	plenty
1327	1327	verb.stative	last
1330	1330	noun.time	Sunday
1333	1333	verb.stative	am
1337	1337	verb.perception	look
1341	1341	noun.person	boys
1343	1343	verb.stative	are
1346	1346	noun.person	Tricksey
1348	1348	noun.person	Wee
1350	1350	noun.person	Buffy
1352	1352	noun.person	Bob
1353	1353	verb.perception	peered
1356	1356	noun.artifact	bristles
1359	1359	verb.perception	discovered
1361	1361	noun.group	row
1364	1364	noun.person	boys
1368	1368	noun.quantity	dozen
1373	1373	noun.body	faces
1375	1375	noun.body	goggle
1376	1376	noun.body	eyes
1378	1378	verb.contact	sitting
1381	1381	noun.process	fire
1384	1384	verb.perception	looking
1389	1389	noun.person	Thunderthump
1390	1390	verb.cognition	intended
1392	1392	noun.quantity	most
1396	1396	noun.food	pickling
1400	1400	verb.consumption	feeding
1404	1404	verb.change	salting
1416	1416	verb.stative	keep
1418	1418	noun.body	teeth
1424	1424	verb.consumption	eat
1428	1428	noun.artifact	bye
1431	1431	noun.substance	salt
1434	1434	verb.motion	strode
1439	1439	noun.person	children
1444	1444	verb.change	made
1449	1449	verb.stative	was
1453	1453	verb.cognition	knew
1458	1458	verb.social	keep
1460	1460	verb.consumption	eating
1463	1463	verb.change	grow
1467	1467	noun.animal	giant
1469	1469	verb.emotion	dislike
1473	1473	verb.change	turn
1477	1477	verb.communication	find
1479	1479	noun.act	way
1480	1480	noun.location	home
1493	1493	verb.consumption	ate
1500	1500	verb.stative	hold
1503	1503	noun.person	giantess
1506	1506	verb.consumption	fed
1509	1509	verb.emotion	comforted
1512	1512	verb.cognition	thinking
1515	1515	verb.stative	were
1518	1518	noun.person	boys
1520	1520	noun.person	girls
1525	1525	noun.animal	pigs
1526	1526	verb.creation	pretending
1528	1528	verb.stative	be
1529	1529	noun.person	boys
1531	1531	noun.person	girls
1535	1535	verb.communication	tell
1538	1538	noun.communication	truth
1541	1541	verb.communication	cried
1543	1543	noun.animal	giant
1545	1545	verb.motion	bending
1547	1547	noun.body	face
1553	1553	verb.body	shook
1555	1555	noun.feeling	terror
1560	1560	verb.emotion	hoped
1562	1562	verb.stative	was
1566	1566	noun.animal	giant
1567	1567	verb.contact	liked
1575	1575	noun.person	boy
1577	1578	verb.motion	ran into
1580	1580	noun.artifact	hall
1585	1585	verb.communication	tells
1588	1588	noun.communication	lie
1592	1592	verb.change	boiled
1600	1600	noun.artifact	broom
1603	1603	verb.communication	cried
1608	1608	noun.person	boy
1619	1619	noun.person	girl
1627	1627	noun.person	children
1630	1630	verb.communication	cried
1632	1632	noun.person	giant
1636	1636	verb.perception	hide
1638	1639	noun.person	_ me
1645	1645	verb.social	made
1647	1647	noun.act	stride
1650	1650	noun.artifact	broom
1653	1653	noun.attribute	Catch
1654	1654	noun.attribute	hold
1657	1657	noun.artifact	bristles
