start_token	end_token	supersense_category	text
0	0	noun.communication	Title
6	6	noun.communication	Author
8	9	noun.location	Oscar Wilde
13	17	noun.person	CHILD TO MISS MARGOT TENNANT
19	21	noun.person	MRS . ASQUITH
29	29	noun.person	Woodcutters
31	31	verb.motion	making
38	38	noun.plant	pine
40	40	noun.group	forest
43	43	verb.stative	was
44	44	noun.time	winter
48	48	noun.time	night
51	51	noun.state	cold
54	54	noun.substance	snow
55	55	verb.stative	lay
59	59	noun.object	ground
64	64	noun.plant	branches
67	67	noun.plant	trees
70	70	noun.substance	frost
71	71	verb.stative	kept
72	72	verb.contact	snapping
75	75	noun.plant	twigs
78	78	noun.location	side
84	84	verb.motion	passed
89	89	verb.motion	came
92	94	noun.location	Mountain - Torrent
97	97	verb.contact	hanging
100	100	noun.location	air
104	106	noun.person	Ice - King
108	108	verb.contact	kissed
113	113	verb.stative	was
118	118	noun.animal	animals
121	121	noun.animal	birds
124	124	verb.cognition	know
127	127	verb.communication	make
135	135	verb.communication	snarled
137	137	noun.person	Wolf
141	141	verb.motion	limped
144	144	noun.plant	brushwood
147	147	noun.animal	tail
150	150	noun.body	legs
154	154	verb.stative	is
157	157	noun.phenomenon	weather
163	163	noun.group	Government
164	165	verb.cognition	look to
177	177	verb.communication	twittered
179	180	noun.person	green Linnets
185	185	noun.location	Earth
186	186	verb.stative	is
191	191	verb.contact	laid
197	197	noun.artifact	shroud
202	202	noun.location	Earth
207	207	verb.social	married
211	211	verb.stative	is
214	214	noun.artifact	dress
217	217	verb.communication	whispered
219	220	noun.person	Turtle -
221	221	noun.animal	doves
229	229	noun.body	feet
230	230	verb.stative	were
238	238	verb.cognition	felt
241	241	verb.stative	was
243	243	noun.act	duty
245	245	verb.cognition	take
248	248	noun.cognition	view
251	251	noun.state	situation
254	254	noun.communication	Nonsense
257	257	verb.communication	growled
259	259	noun.person	Wolf
263	263	verb.communication	tell
267	267	verb.stative	is
270	270	noun.act	fault
273	273	noun.group	Government
280	280	verb.cognition	believe
284	284	verb.consumption	eat
289	289	noun.person	Wolf
290	290	verb.perception	had
294	294	noun.cognition	mind
297	297	verb.stative	was
305	305	noun.communication	argument
313	313	noun.cognition	part
316	316	verb.communication	said
318	318	noun.person	Woodpecker
321	321	verb.stative	was
324	324	noun.person	philosopher
330	330	verb.emotion	care
333	333	noun.cognition	theory
335	335	noun.communication	explanations
340	340	verb.stative	is
344	344	verb.stative	is
351	351	verb.stative	is
360	360	verb.stative	was
364	364	noun.animal	Squirrels
367	367	verb.stative	lived
370	370	noun.plant	tall
371	373	noun.plant	fir - tree
376	376	verb.contact	rubbing
380	380	noun.body	noses
382	382	verb.stative	keep
388	388	noun.animal	Rabbits
389	389	verb.contact	curled
394	394	noun.artifact	holes
399	399	verb.social	venture
402	402	verb.perception	look
405	405	noun.artifact	doors
409	409	noun.group	people
411	411	verb.perception	seemed
413	413	verb.emotion	enjoy
415	415	verb.stative	were
418	419	noun.animal	horned Owls
422	422	noun.animal	feathers
423	423	verb.stative	were
427	427	noun.substance	rime
433	433	verb.communication	mind
437	437	verb.motion	rolled
441	441	noun.body	eyes
444	445	verb.communication	called out
451	451	noun.group	forest
454	456	noun.person	Tu - whit
472	472	noun.phenomenon	weather
475	475	verb.perception	having
481	481	verb.motion	went
484	484	noun.person	Woodcutters
486	486	verb.body	blowing
490	490	noun.body	fingers
493	493	verb.contact	stamping
497	497	noun.substance	iron
500	500	noun.artifact	boots
504	504	noun.substance	snow
508	508	verb.motion	sank
512	512	noun.object	drift
515	516	verb.change	came out
520	520	noun.person	millers
521	521	verb.stative	are
525	525	noun.substance	stones
527	527	verb.change	grinding
532	532	verb.motion	slipped
537	537	noun.substance	ice
540	540	noun.object	marsh
542	542	noun.substance	water
544	544	verb.change	frozen
548	548	noun.artifact	faggots
549	550	verb.change	fell out
553	553	noun.artifact	bundles
559	559	verb.contact	pick
563	563	verb.contact	bind
571	571	verb.cognition	thought
575	575	verb.possession	lost
577	577	noun.act	way
582	582	noun.feeling	terror
583	583	verb.emotion	seized
589	589	verb.cognition	knew
592	592	noun.substance	Snow
593	593	verb.stative	is
598	598	verb.body	sleep
601	601	noun.body	arms
605	605	verb.contact	put
607	607	noun.feeling	trust
611	612	noun.person	Saint Martin
615	615	verb.perception	watches
618	618	noun.person	travellers
621	621	verb.motion	retraced
623	623	noun.quantity	steps
626	626	verb.motion	went
633	633	verb.motion	reached
635	635	noun.location	outskirts
638	638	noun.group	forest
641	641	verb.perception	saw
647	647	noun.object	valley
652	652	noun.location	lights
655	655	noun.group	village
659	659	verb.social	dwelt
667	667	noun.act	deliverance
670	670	verb.body	laughed
675	675	noun.substance	Earth
676	676	verb.perception	seemed
681	681	noun.plant	flower
683	683	noun.substance	silver
687	687	noun.object	Moon
690	690	noun.plant	flower
692	692	noun.attribute	gold
700	700	verb.body	laughed
702	702	verb.change	became
707	707	verb.cognition	remembered
709	709	noun.state	poverty
715	715	verb.communication	said
724	725	verb.social	make merry
