start_token	end_token	supersense_category	text
0	2	noun.person	OLIVE FAIRY BOOK
3	3	verb.creation	EDITED
5	10	noun.person	ANDREW LANG WITH EIGHT COLOURED PLATES
16	19	noun.person	H. J. FORD PREFACE
21	21	noun.time	years
24	24	noun.person	friend
26	26	noun.person	publisher
28	30	noun.person	Mr. Charles Longman
32	32	verb.communication	presented
48	48	noun.artifact	work
50	50	verb.stative	requires
53	53	noun.artifact	bookcase
56	56	noun.act	accommodation
60	60	noun.communication	Encyclopædia
67	67	noun.artifact	bookcase
69	69	verb.possession	bestowed
71	71	noun.communication	volumes
73	73	noun.state	Circumstances
78	78	noun.person	character
87	88	noun.person	Mr. Micawber
91	91	verb.communication	said
95	95	noun.attribute	narrowness
98	98	noun.act	study
103	103	verb.stative	is
107	107	verb.motion	swing
109	109	noun.animal	cat
113	113	verb.social	prevent
116	116	noun.artifact	bookcase
118	118	verb.contact	revolving
121	121	noun.time	moment
125	125	verb.perception	see
133	133	verb.stative	contains
137	137	noun.communication	volumes
141	141	verb.cognition	think
143	143	verb.stative	are
151	151	noun.communication	plenitude
153	154	noun.communication	fairy tales
157	157	noun.location	quarters
158	158	verb.creation	presents
159	159	noun.communication	legends
161	161	noun.person	fairies
163	163	noun.person	witches
165	165	noun.animal	genii
167	167	noun.person	Djinn
169	169	noun.person	monsters
171	171	noun.animal	dragons
176	176	noun.person	mothers
178	178	noun.person	princesses
184	184	noun.person	princes
189	189	noun.animal	giants
191	191	noun.person	dwarfs
194	194	noun.feeling	enchantments
197	197	noun.communication	stories
198	198	verb.change	begin
202	202	noun.person	children
208	209	noun.person	Blue Beard
211	213	noun.person	Puss in Boots
221	224	noun.person	Little Red Riding Hood
238	238	verb.possession	collected
240	240	verb.creation	written
243	243	verb.creation	printed
245	245	noun.location	Paris
250	250	noun.person	author
251	251	verb.stative	was
252	254	noun.person	Monsieur Charles Perrault
258	258	noun.person	personage
262	262	noun.attribute	perruque
267	267	noun.time	day
268	268	verb.creation	wrote
270	270	noun.communication	volumes
276	276	verb.cognition	dreamed
282	282	verb.cognition	remembered
288	288	noun.communication	volume
290	290	noun.person	Pg
294	294	noun.artifact	headpiece
295	295	noun.artifact	pictures
301	301	noun.attribute	way
303	303	noun.act	drawing
305	306	noun.person	Mr. Ford
308	308	verb.communication	said
322	322	noun.person	authors
324	324	verb.competition	play
325	325	noun.act	cricket
330	330	noun.attribute	force
334	334	verb.motion	swipes
336	336	noun.person	Perrault
337	338	verb.contact	picked up
341	341	noun.communication	tales
344	344	noun.person	nurse
348	348	noun.person	boy
351	351	verb.communication	tell
355	355	verb.communication	told
364	364	noun.attribute	way
369	369	verb.perception	seem
373	373	verb.cognition	translated
375	375	noun.communication	English
379	379	noun.time	years
385	385	verb.communication	published
391	391	noun.communication	French
395	395	noun.communication	page
399	400	noun.person	Mr. Pote
403	403	noun.person	bookseller
405	405	noun.location	Eton
410	410	noun.person	Eton
411	411	noun.person	boys
412	412	verb.cognition	learned
415	415	noun.communication	French
418	418	verb.communication	condescended
420	420	verb.possession	acquire
423	424	noun.communication	fairy tales
427	427	verb.stative	are
433	433	noun.person	Télémaque
435	436	noun.person	Messire François
438	443	noun.person	Salignac de la Motte - Fénelon
445	445	noun.person	tutor
448	448	noun.person	children
450	450	noun.location	France
452	453	noun.person	Archbishop Duke
455	455	noun.location	Cambrai
458	458	noun.person	Prince
461	463	noun.group	Holy Roman Empire
466	466	noun.event	success
468	468	noun.person	Perrault
470	470	verb.cognition	based
473	473	noun.feeling	pleasure
476	476	noun.group	court
