start_token	end_token	supersense_category	text
1	1	noun.person	PEDLAR
5	5	noun.communication	Illustration
8	8	noun.person	pedlar
10	10	verb.motion	toiling
14	14	noun.artifact	road
15	15	verb.contact	carrying
17	17	noun.artifact	pack
20	20	noun.body	back
24	24	verb.perception	saw
26	26	noun.animal	donkey
27	27	verb.stative	grazing
30	30	noun.artifact	wayside
35	35	noun.time	day
37	37	noun.person	friend
40	40	verb.communication	said
46	46	verb.possession	have
47	47	noun.quantity	nothing
49	49	verb.social	do
55	55	verb.cognition	mind
56	56	verb.contact	carrying
58	58	noun.artifact	load
75	75	verb.possession	give
79	79	verb.communication	said
81	81	noun.animal	donkey
86	86	verb.possession	give
89	89	noun.artifact	pieces
91	91	noun.possession	gold
94	94	verb.communication	said
96	96	noun.person	pedlar
102	102	verb.communication	speak
104	104	noun.communication	truth
108	108	verb.cognition	knew
110	110	verb.possession	had
112	112	noun.possession	gold
114	114	verb.possession	give
117	117	verb.communication	Agreed
120	120	verb.communication	said
122	122	noun.animal	donkey
126	126	verb.motion	journeyed
133	133	noun.attribute	manner
136	136	noun.person	donkey
137	137	verb.contact	carrying
139	139	noun.person	pedlar
141	141	noun.artifact	pack
145	145	noun.person	pedlar
146	146	verb.motion	walking
149	149	noun.body	side
153	153	noun.time	time
155	155	verb.motion	met
157	157	noun.animal	raven
161	162	verb.perception	looking for
163	163	noun.animal	worms
166	166	noun.artifact	roadside
170	170	noun.animal	donkey
171	172	verb.communication	called out
177	179	noun.communication	Good - morrow
182	182	noun.person	friend
187	187	verb.motion	going
189	189	noun.act	way
193	194	verb.stative	do well
196	196	verb.contact	sit
199	199	noun.body	back
201	202	verb.motion	drive away
204	204	noun.animal	flies
207	207	verb.emotion	worry
217	217	verb.possession	pay
220	220	verb.social	do
224	224	verb.communication	asked
226	226	noun.animal	raven
229	229	noun.possession	Money
230	230	verb.stative	is
232	232	noun.Tops	object
237	237	verb.communication	said
239	239	noun.person	donkey
245	245	verb.possession	give
248	248	noun.communication	pieces
250	250	noun.possession	gold
256	256	verb.cognition	knew
259	259	verb.creation	making
262	262	noun.communication	promise
266	266	verb.possession	had
268	268	noun.possession	gold
272	272	verb.possession	give
275	275	verb.cognition	Agreed
278	278	verb.communication	said
280	280	noun.animal	raven
284	285	verb.stative	went on
289	289	noun.feeling	humour
292	292	noun.person	donkey
293	293	verb.contact	carrying
295	295	noun.person	pedlar
297	297	noun.substance	wares
301	301	noun.animal	raven
302	302	verb.contact	sitting
305	305	noun.animal	donkey
308	309	verb.motion	driving away
311	311	noun.animal	flies
315	315	noun.time	time
317	317	verb.motion	met
319	320	noun.person	hedge -
321	321	noun.animal	sparrow
325	325	noun.animal	raven
326	327	verb.communication	called out
332	333	noun.attribute	Good -
334	334	noun.time	day
337	337	noun.person	cousin
341	341	verb.emotion	want
343	343	verb.possession	earn
346	346	noun.possession	money
351	351	verb.motion	bring
354	354	noun.animal	worms
357	357	noun.artifact	bank
360	361	verb.motion	go along
365	365	verb.perception	had
367	367	noun.food	breakfast
370	370	verb.stative	am
379	379	verb.possession	give
385	385	verb.communication	asked
387	388	noun.person	hedge -
389	389	noun.animal	sparrow
392	392	verb.social	Let
394	394	verb.communication	say
396	396	noun.artifact	pieces
398	398	noun.possession	gold
401	401	verb.communication	said
403	403	noun.animal	raven
410	410	verb.possession	saved
411	411	noun.quantity	more
414	414	noun.time	long
415	415	noun.time	life
418	418	verb.cognition	know
421	421	verb.possession	spend
426	426	verb.cognition	knew
428	428	verb.stative	was
436	436	verb.possession	saved
438	438	noun.possession	gold
447	447	verb.communication	said
449	450	noun.person	hedge -
451	451	noun.animal	sparrow
457	457	verb.motion	went
460	460	noun.person	donkey
461	461	verb.stative	carrying
463	463	noun.person	pedlar
465	465	noun.artifact	pack
469	469	noun.animal	raven
470	470	verb.stative	keeping
472	472	noun.animal	flies
476	476	noun.animal	donkey
480	481	noun.person	hedge -
482	482	noun.animal	sparrow
483	483	verb.contact	bringing
484	484	noun.food	worms
487	487	noun.animal	raven
491	491	verb.cognition	saw
494	494	noun.location	distance
499	499	noun.location	town
503	503	noun.person	pedlar
504	505	verb.contact	took out
508	508	noun.group	pack
511	511	noun.artifact	shawls
513	513	noun.artifact	stuffs
515	515	verb.contact	hung
519	519	noun.artifact	donkey
521	521	noun.body	back
524	524	noun.person	passers
528	528	verb.perception	see
531	531	verb.possession	buy
540	540	noun.location	top
544	544	noun.artifact	goods
545	545	verb.contact	lay
549	549	noun.artifact	blanket
554	554	verb.perception	saw
557	557	noun.person	hedge
559	559	noun.person	sparrow
560	560	verb.communication	said
563	563	noun.person	pedlar
569	569	verb.possession	take
573	573	noun.artifact	blanket
576	576	verb.perception	seems
578	578	verb.stative	be
583	583	verb.communication	Name
585	585	noun.possession	price
589	589	verb.possession	have
593	593	verb.stative	is
597	597	verb.stative	am
600	600	noun.state	want
603	603	noun.artifact	blanket
611	612	noun.person	hedge -
613	613	noun.animal	sparrow
614	614	verb.possession	had
617	617	noun.possession	penny
620	620	noun.object	world
623	623	verb.cognition	knew
627	627	verb.possession	pay
633	633	noun.attribute	price
636	636	noun.artifact	blanket
637	637	verb.stative	is
639	640	noun.artifact	pieces of
641	641	noun.possession	gold
644	644	verb.communication	said
646	646	noun.person	pedlar
650	650	verb.perception	seems
654	654	verb.stative	be
659	659	verb.communication	said
661	663	noun.person	hedge - sparrow
669	669	verb.emotion	mind
670	670	verb.possession	giving
673	673	noun.communication	pieces
675	675	noun.possession	gold
680	680	noun.quantity	five
681	681	verb.stative	is
690	690	verb.communication	said
692	692	noun.person	pedlar
696	696	verb.body	chuckled
700	700	verb.cognition	thought
706	706	verb.stative	be
709	709	verb.possession	pay
711	711	noun.person	donkey
717	717	verb.perception	had
719	719	noun.state	trouble
721	723	verb.possession	getting rid of
728	729	noun.person	hedge -
730	730	noun.animal	sparrow
731	731	verb.motion	flew
734	734	noun.animal	raven
