start_token	end_token	supersense_category	text
3	6	noun.person	DRAGONS E. Nesbit IV
9	10	noun.location	Ice Dragon
17	17	verb.communication	Told
19	19	verb.stative	is
21	21	noun.communication	tale
24	24	noun.event	wonders
26	26	verb.stative	befell
29	29	noun.time	evening
34	34	noun.time	December
38	38	verb.social	did
42	42	verb.communication	told
45	45	verb.social	do
49	49	verb.cognition	think
52	52	verb.cognition	know
56	56	noun.act	things
60	60	verb.change	happen
65	65	verb.stative	are
70	70	verb.stative	are
72	72	noun.cognition	things
78	78	verb.cognition	know
84	84	verb.cognition	know
89	89	noun.communication	names
90	90	verb.stative	were
91	91	noun.person	George
93	93	noun.person	Jane
98	98	noun.event	fireworks
100	100	noun.time	year
102	103	noun.person	Guy Fawkes
105	105	noun.time	Day
109	109	noun.person	heir
112	112	noun.artifact	throne
113	113	verb.stative	was
119	119	verb.contact	cutting
122	122	noun.body	tooth
126	126	verb.stative	is
130	130	noun.time	time
133	133	noun.person	person
142	142	verb.stative	was
149	149	noun.artifact	fireworks
152	152	verb.stative	been
157	157	noun.feeling	taste
161	161	noun.location	Land
163	163	noun.location	End
167	169	noun.location	Isle of Man
173	174	noun.location	Forest Hill
177	177	verb.stative	was
179	179	noun.location	home
181	181	noun.person	Jane
183	183	noun.person	George
188	188	noun.cognition	kind
189	189	verb.stative	was
198	199	noun.location	Crystal Palace
206	206	verb.stative	is
208	208	verb.cognition	felt
211	211	verb.stative	was
213	213	noun.time	time
215	215	noun.person	Catherine
222	222	noun.person	Prince
224	224	verb.contact	cut
226	226	noun.body	tooth
228	228	noun.feeling	rejoicings
238	238	noun.time	eleventh
240	240	noun.time	December
242	242	verb.communication	proclaimed
243	243	noun.artifact	firework
244	244	noun.time	day
248	248	noun.group	people
253	253	verb.perception	show
255	255	noun.attribute	loyalty
259	259	verb.emotion	enjoy
269	269	noun.act	fireworks
271	271	noun.phenomenon	torchlight
272	272	noun.event	processions
275	276	verb.change	set pieces
279	280	noun.location	Crystal Palace
301	301	noun.artifact	fires
308	309	noun.artifact	boarding schools
310	310	verb.possession	had
313	313	noun.time	holiday
318	318	noun.person	children
320	320	noun.person	plumbers
322	322	noun.person	authors
323	323	verb.possession	had
324	324	noun.communication	tuppence
326	326	verb.possession	given
329	329	verb.stative	spend
332	332	verb.emotion	liked
334	334	noun.person	George
336	336	noun.person	Jane
337	337	verb.possession	had
338	338	noun.possession	sixpence
343	343	verb.stative	spent
346	346	noun.possession	amount
350	350	noun.phenomenon	rain
355	355	verb.change	light
365	365	noun.phenomenon	light
366	367	verb.change	went out
376	377	verb.perception	look at
379	379	noun.artifact	fireworks
382	382	noun.artifact	gardens
384	384	noun.artifact	door
392	393	noun.location	Crystal Palace
396	396	verb.stative	were
403	403	noun.person	relations
404	404	verb.stative	had
405	405	noun.state	colds
408	408	noun.body	heads
411	411	noun.person	Jane
413	413	noun.person	George
415	415	verb.communication	allowed
417	418	verb.motion	go out
421	421	noun.artifact	garden
424	425	verb.communication	let off
427	427	noun.artifact	firework
429	429	noun.person	Jane
431	432	verb.body	put on
434	434	noun.substance	fur
435	435	noun.artifact	cape
439	439	noun.artifact	gloves
