COREF	start_token	end_token	prop	cat	text
-1	0	2	NOM	FAC	THE REMARKABLE ROCKET
-1	0	6	NOM	PER	THE REMARKABLE ROCKET The King ’s son
-1	3	4	NOM	PER	The King
-1	19	19	PRON	PER	He
-1	26	26	PRON	PER	his
-1	26	27	NOM	PER	his bride
-1	32	32	PRON	PER	she
-1	36	36	PRON	PER	She
-1	38	40	NOM	PER	a Russian Princess
0	49	49	PROP	GPE	Finland
-1	51	56	NOM	VEH	a sledge drawn by six reindeer
-1	75	77	NOM	PER	the little Princess
-1	78	78	PRON	PER	herself
-1	80	80	PRON	PER	Her
-1	89	89	PRON	PER	her
-1	93	93	PRON	PER	her
-1	104	104	PRON	PER	she
-1	109	117	NOM	GPE	the Snow Palace in which she had always lived
-1	114	114	PRON	PER	she
-1	122	122	PRON	PER	she
-1	125	125	PRON	PER	she
-1	128	129	NOM	FAC	the streets
-1	130	132	NOM	PER	all the people
-1	136	136	PRON	PER	She
-1	144	144	PRON	PER	they
-1	148	148	PRON	PER	they
-1	153	153	PRON	PER	her
-1	155	156	NOM	FAC	the balconies
-1	162	163	NOM	FAC	the Castle
-1	164	165	NOM	PER	the Prince
-1	170	170	PRON	PER	her
-1	172	172	PRON	PER	He
-1	179	179	PRON	PER	his
-1	187	187	PRON	PER	he
-1	189	189	PRON	PER	her
-1	190	190	PRON	PER	he
-1	198	198	PRON	PER	her
-1	202	202	PRON	PER	Your
-1	208	208	PRON	PER	he
-1	213	213	PRON	PER	you
-1	218	218	PRON	PER	your
-1	223	225	NOM	PER	the little Princess
-1	229	229	PRON	PER	She
-1	239	241	NOM	PER	a young Page
-1	243	243	PRON	PER	his
-1	243	244	NOM	PER	his neighbour
-1	248	248	PRON	PER	she
-1	258	260	NOM	PER	the whole Court
-1	269	269	NOM	PER	everybody
-1	289	290	NOM	PER	the King
-1	294	295	NOM	PER	the Page
-1	304	304	PRON	PER	he
-1	317	317	PRON	PER	him
-1	354	355	NOM	PER	the bride
-1	357	357	NOM	PER	bridegroom
-1	386	387	NOM	PER	The Prince
-1	389	389	NOM	PER	Princess
-1	395	397	NOM	FAC	the Great Hall
-1	409	410	NOM	PER	true lovers
-1	439	439	PRON	PER	they
-1	441	442	NOM	PER	each other
-1	446	448	NOM	PER	the little Page
-1	458	459	NOM	PER	the King
-1	461	461	PRON	PER	his
-1	474	476	NOM	PER	all the courtiers
-1	488	489	NOM	PER	The bride
-1	491	491	NOM	PER	bridegroom
-1	502	503	NOM	PER	the King
-1	511	511	PRON	PER	He
-1	517	518	NOM	PER	no one
-1	524	524	PRON	PER	him
-1	528	528	PRON	PER	he
-1	530	531	NOM	PER	the King
-1	535	535	PRON	PER	he
-1	548	548	PRON	PER	he
-1	561	561	PRON	PER	he
-1	564	564	NOM	PER	everybody
-1	595	597	NOM	PER	The little Princess
-1	604	604	PRON	PER	her
-1	608	609	NOM	PER	the King
-1	614	616	NOM	PER	the Royal Pyrotechnist
-1	625	625	PRON	PER	her
-1	635	635	PRON	PER	she
-1	638	639	NOM	PER	the Prince
-1	645	645	PRON	PER	she
-1	649	650	NOM	FAC	the terrace
-1	662	663	NOM	PER	the King
-1	673	674	NOM	PER	other people
-1	682	682	PRON	PER	I
-1	687	687	PRON	PER	myself
-1	690	690	PRON	PER	you
-1	706	706	PRON	PER	my
-1	712	712	PRON	PER	You
-1	724	727	NOM	FAC	the King ’s garden
-1	740	742	NOM	PER	the Royal Pyrotechnist
-1	757	758	NOM	PER	each other
-1	761	762	NOM	LOC	The world
-1	770	772	NOM	PER	a little Squib
-1	789	789	PRON	PER	they
-1	795	795	PRON	PER	I
-1	799	799	PRON	PER	I
-1	820	821	NOM	PER	The King
-1	820	823	NOM	FAC	The King ’s garden
-1	826	827	NOM	LOC	the world
-1	829	829	PRON	PER	you
-1	841	842	NOM	LOC	the world
-1	852	852	PRON	PER	you
-1	857	857	PRON	FAC	it
-1	862	865	NOM	LOC	Any place you love
-1	864	864	PRON	PER	you
-1	867	868	NOM	LOC	the world
-1	870	870	PRON	PER	you
-1	874	890	NOM	PER	a pensive Catherine Wheel , who had been attached to an old deal box in early life
3	876	877	PROP	PER	Catherine Wheel
-1	894	894	PRON	PER	herself
-1	896	896	PRON	PER	her
-1	909	910	NOM	PER	the poets
-1	915	915	PRON	PER	They
-1	922	922	NOM	PER	nobody
-1	924	924	PRON	PER	them
-1	927	927	PRON	PER	I
-1	940	940	PRON	PER	I
-1	942	942	PRON	PER	myself
4	966	968	PROP	PER	the Roman Candle
5	971	971	PROP	PER	Romance
-1	986	987	NOM	PER	The bride
-1	989	989	NOM	PER	bridegroom
-1	995	996	NOM	PER	each other
-1	1000	1000	PRON	PER	I
-1	1004	1004	PRON	PER	them
-1	1024	1024	PRON	PER	myself
3	1035	1037	PROP	PER	the Catherine Wheel
-1	1039	1039	PRON	PER	her
5	1051	1051	PROP	PER	Romance
-1	1056	1056	PRON	PER	she
-1	1059	1059	PRON	PER	She
-1	1061	1088	NOM	PER	one of those people who think that , if you say the same thing over and over a great many times , it becomes true in the end
-1	1070	1070	PRON	PER	you
-1	1101	1101	PRON	PER	they
-1	1128	1128	PRON	PER	He
-1	1132	1132	PRON	PER	he
-1	1149	1149	PRON	PER	he
-1	1153	1153	NOM	PER	everybody
3	1158	1159	PROP	PER	Catherine Wheel
-1	1165	1165	PRON	PER	her
-1	1185	1186	NOM	PER	a Cracker
-1	1188	1188	PRON	PER	He
-1	1192	1193	NOM	PER	a politician
-1	1208	1208	PRON	PER	he
3	1223	1225	PROP	PER	the Catherine Wheel
-1	1228	1228	PRON	PER	she
-1	1242	1243	NOM	PER	the Rocket
-1	1251	1251	PRON	PER	He
-1	1263	1263	PRON	PER	he
-1	1266	1266	PRON	PER	his
-1	1276	1282	NOM	PER	the person to whom he was talking
-1	1280	1280	PRON	PER	he
-1	1287	1287	PRON	PER	he
-1	1300	1301	NOM	PER	the King
-1	1300	1303	NOM	PER	the King ’s son
-1	1306	1306	PRON	PER	he
-1	1311	1311	PRON	PER	he
-1	1322	1322	PRON	PER	I
-1	1346	1346	PRON	PER	him
-1	1350	1350	NOM	PER	Princes
-1	1358	1358	PRON	PER	me
-1	1362	1364	NOM	PER	the little Squib
-1	1367	1367	PRON	PER	I
-1	1378	1378	PRON	PER	we
-1	1385	1386	NOM	PER	the Prince
-1	1397	1397	PRON	PER	you
-1	1400	1400	PRON	PER	he
-1	1406	1406	PRON	PER	I
-1	1416	1416	PRON	PER	me
-1	1421	1421	PRON	PER	I
-1	1423	1426	NOM	PER	a very remarkable Rocket
-1	1431	1432	NOM	PER	remarkable parents
-1	1434	1434	PRON	PER	My
-1	1434	1435	NOM	PER	My mother
-1	1443	1443	PRON	PER	her
-1	1450	1450	PRON	PER	her
-1	1455	1455	PRON	PER	she
-1	1457	1457	PRON	PER	her
