start_token	end_token	supersense_category	text
3	3	noun.communication	TALES
6	6	verb.creation	Edited
8	10	noun.person	JOSEPH JACOBS Editor
17	17	verb.creation	Illustrated
19	21	noun.person	JOHN D. BATTEN
36	36	noun.artifact	Door
38	38	verb.contact	Pull
40	40	noun.artifact	Bell
43	43	noun.location	side
49	49	verb.stative	are
55	55	verb.perception	hear
59	59	noun.communication	voice
60	60	verb.communication	say
63	63	noun.artifact	grating
65	65	verb.motion	Take
68	68	noun.artifact	Key
74	74	verb.possession	find
82	82	verb.cognition	mistake
87	87	verb.possession	has
88	88	noun.person	J.J.
91	91	noun.artifact	wards
93	93	verb.contact	Put
95	95	noun.artifact	Key
98	98	noun.artifact	Keyhole
102	102	verb.stative	fits
105	105	verb.contact	unlock
107	107	noun.artifact	door
110	110	verb.motion	WALK
115	144	noun.group	PIPER OF FRANCHVILLE HEREAFTERTHIS THE GOLDEN BALL MY OWN SELF THE BLACK BULL OF NORROWAY YALLERY BROWN THREE FEATHERS SIR GAMMER VANS TOM HICKATHRIFT THE HEDLEY KOW GOBBORN SEER LAWKAMERCYME
147	148	noun.location	WEE BANNOCK
149	154	noun.person	JOHNNY GLOKE COAT O ' CLAY
159	160	noun.location	BLINDED GIANT
165	165	noun.location	SWAFFHAM
173	174	noun.location	BURIED MOON
176	178	noun.person	SON OF ADAM
183	183	noun.substance	WOOD
185	186	noun.location	HOBYAHS A
206	207	noun.location	RUSHEN COATIE
213	214	noun.person	CATS TAMLANE
216	217	noun.location	STARS IN
219	220	noun.location	SKY NEWS
222	222	noun.location	PUDDOCK
224	224	noun.person	MOUSIE
235	236	noun.person	WEE MANNIE
239	243	noun.person	SCANTLIE MAB OLD MOTHER WIGGLE
251	252	noun.person	LAMBTON WORM
255	257	noun.person	MEN OF GOTHAM
259	261	noun.person	PRINCESS OF CANTERBURY
262	262	noun.communication	NOTES
264	268	noun.group	REFERENCES Full Page Illustrations TAMLANE
270	271	noun.location	BLACK BULL
281	281	noun.location	MELVALES
303	303	noun.location	Franchville
309	309	verb.communication	called
313	313	verb.stative	is
317	317	noun.location	town
323	323	verb.cognition	know
327	327	noun.location	Solent
328	328	noun.object	shore
333	333	verb.stative	is
337	337	verb.stative	was
344	344	verb.communication	made
346	346	noun.event	noise
347	347	verb.stative	was
349	349	noun.animal	rats
352	352	noun.location	place
360	360	verb.stative	be
363	363	verb.stative	living
367	367	verb.stative	was
370	370	noun.artifact	barn
373	373	noun.plant	corn
375	375	noun.artifact	rick
378	378	noun.artifact	store
380	380	noun.artifact	room
383	383	noun.artifact	cupboard
387	387	verb.consumption	ate
389	389	noun.quantity	way
395	395	noun.food	cheese
398	398	verb.consumption	gnawed
404	404	noun.food	sugar
405	405	noun.food	puncheon
408	409	verb.change	cleared out
414	414	noun.food	mead
416	416	noun.food	beer
419	419	noun.artifact	barrels
420	420	verb.stative	was
428	428	verb.contact	gnaw
430	430	noun.object	hole
433	433	noun.location	top
436	436	noun.artifact	tun
441	441	verb.motion	go
444	444	noun.animal	rat
