start_token	end_token	supersense_category	text
3	6	noun.person	DRAGONS E. Nesbit VIII
9	10	noun.person	Little Edmund
14	14	noun.location	Caves
17	18	noun.location	Cockatrice Edmund
19	19	verb.stative	was
21	21	noun.person	boy
24	24	noun.group	people
28	28	verb.emotion	like
30	30	verb.communication	said
33	33	verb.stative	was
37	37	noun.person	boy
40	40	verb.stative	lived
44	44	noun.person	grandmother
48	48	noun.person	friends
49	49	verb.communication	said
52	52	verb.possession	had
55	55	noun.cognition	mind
59	59	noun.person	granny
61	61	verb.communication	added
64	64	verb.stative	was
68	68	noun.person	boys
72	72	verb.stative	was
79	79	noun.person	Edmund
80	80	verb.emotion	loved
82	83	verb.communication	find out
85	85	noun.cognition	things
90	90	verb.cognition	think
94	94	noun.state	case
96	96	verb.stative	was
100	100	noun.act	attendance
102	102	noun.group	school
112	112	verb.cognition	learn
118	118	verb.cognition	learned
121	121	noun.person	Edmund
124	124	verb.emotion	want
126	126	verb.cognition	learn
127	127	noun.artifact	things
130	130	verb.emotion	wanted
132	132	verb.communication	find
133	133	noun.artifact	things
137	137	verb.stative	is
143	143	noun.cognition	mind
144	144	verb.communication	led
147	147	verb.motion	take
148	148	noun.substance	clocks
152	152	verb.communication	see
154	154	verb.communication	made
156	156	verb.motion	go
159	159	verb.change	take
160	160	noun.artifact	locks
162	162	noun.artifact	doors
164	164	verb.cognition	see
166	166	verb.communication	made
168	168	verb.change	stick
171	171	verb.stative	was
172	172	noun.person	Edmund
174	175	verb.contact	cut open
177	178	noun.substance	India rubber
179	179	noun.artifact	ball
181	181	verb.perception	see
183	183	verb.communication	made
185	185	verb.motion	bounce
191	191	verb.perception	see
200	200	verb.social	tried
203	203	noun.act	experiment
205	205	noun.person	Edmund
206	206	verb.stative	lived
209	209	noun.person	grandmother
212	212	verb.emotion	loved
222	222	noun.cognition	mind
226	226	verb.communication	scolded
232	233	verb.contact	frizzled up
235	235	noun.substance	tortoiseshell
236	236	noun.artifact	comb
239	239	noun.feeling	anxiety
241	242	verb.communication	find out
246	246	verb.creation	made
249	249	noun.substance	tortoiseshell
255	255	verb.change	burn
257	257	noun.person	Edmund
258	259	verb.stative	went to
260	260	noun.group	school
274	274	verb.social	prevent
277	277	verb.cognition	learning
283	283	verb.social	did
290	290	verb.stative	is
292	293	noun.act	waste of
294	294	noun.time	time
297	297	verb.communication	said
303	303	verb.cognition	know
306	306	verb.cognition	knows
309	309	verb.emotion	want
311	312	verb.communication	find out
314	314	noun.communication	things
318	319	verb.cognition	thought of
328	328	verb.cognition	think
330	330	verb.stative	're
333	334	verb.cognition	find out
340	341	noun.person	wise men
345	345	noun.group	world
347	347	verb.cognition	thought
351	351	noun.quantity	thousands
353	353	noun.time	years
356	356	verb.communication	said
357	357	noun.person	Granny
360	360	noun.person	Edmund
363	363	verb.communication	agree
368	368	verb.social	played
376	376	verb.stative	was
379	379	noun.person	boy
386	387	verb.cognition	think of
389	389	noun.person	master
391	391	noun.time	time
393	393	noun.act	labor
395	396	verb.possession	thrown away
399	399	noun.person	boy
406	406	verb.emotion	wish
408	408	verb.cognition	learn
412	413	verb.communication	find out
417	417	verb.stative	were
421	421	noun.person	lads
422	422	verb.emotion	thirsting
424	424	noun.cognition	instruction
426	426	noun.cognition	geography
428	428	noun.cognition	history
430	430	verb.cognition	reading
432	432	noun.communication	ciphering
435	436	noun.person	Mr. Smiles
445	445	noun.person	boys
446	446	verb.communication	played
455	455	verb.stative	went
456	456	noun.food	nutting
458	458	noun.act	blackberrying
461	461	noun.plant	plum
462	462	verb.contact	gathering
465	465	noun.person	Edmund
467	468	verb.motion	went on
470	470	noun.location	side
473	473	noun.location	town
477	477	noun.group	woods
479	479	noun.plant	hedges
480	480	verb.change	grew
484	484	verb.motion	went
487	487	noun.object	mountain
491	491	noun.object	rocks
492	492	verb.stative	were
499	500	noun.plant	pine trees
505	505	noun.group	people
506	506	verb.stative	were
509	509	verb.motion	go
514	514	noun.event	noises
516	517	verb.change	came out
520	520	noun.object	caves
522	522	noun.person	Edmund
523	523	verb.stative	was
528	528	noun.event	noises
532	532	verb.stative	were
539	539	verb.emotion	wanted
541	542	verb.communication	find out
544	544	verb.communication	made
548	548	noun.time	day
554	554	verb.creation	invented
565	565	noun.cognition	kind
567	567	noun.artifact	lantern
569	569	verb.creation	made
572	572	noun.artifact	turnip
575	575	noun.artifact	tumbler
580	580	verb.contact	took
582	582	noun.artifact	candle
585	585	noun.person	Granny
587	587	noun.artifact	bedroom
588	588	noun.artifact	candlestick
590	590	verb.contact	put
595	595	verb.creation	gave
599	599	noun.attribute	light
604	605	verb.stative	go to
606	606	noun.group	school
608	608	noun.time	day
613	613	verb.social	caned
615	615	verb.social	being
618	618	noun.time	leave
624	624	verb.communication	explained
631	631	verb.creation	making
633	633	noun.artifact	lantern
635	635	verb.possession	have
636	636	noun.time	time
638	639	verb.stative	come to
640	640	noun.group	school
644	644	noun.time	day
647	648	verb.motion	got up
652	652	verb.motion	took
654	654	noun.food	lunch
655	655	noun.person	Granny
661	662	verb.social	take to
663	663	noun.group	school
666	667	noun.food	boiled eggs
670	670	noun.food	apple
671	671	noun.artifact	turnover
675	675	verb.motion	took
677	677	noun.artifact	lantern
679	680	verb.motion	went off
685	685	verb.motion	dart
688	688	noun.object	mountains
690	690	verb.contact	explore
692	692	noun.object	caves
695	695	noun.artifact	caves
696	696	verb.stative	were
702	702	noun.artifact	lantern
703	703	verb.weather	lighted
710	710	verb.stative	were
713	713	noun.artifact	caves
716	716	noun.animal	stalactites
718	718	noun.plant	stalagmites
720	720	noun.substance	fossils
725	725	noun.communication	things
727	727	verb.cognition	read
732	732	noun.communication	books
738	738	noun.person	Edmund
741	741	verb.emotion	care
746	746	noun.artifact	things
751	751	verb.emotion	wanted
753	754	verb.communication	find out
756	756	verb.creation	made
758	758	noun.communication	noises
760	760	noun.group	people
761	761	verb.stative	were
767	767	verb.stative	was
768	768	noun.quantity	nothing
771	771	noun.artifact	caves
773	773	verb.communication	tell
778	779	verb.motion	sat down
783	783	noun.object	cave
785	785	verb.perception	listened
791	791	verb.perception	seemed
797	797	verb.perception	distinguish
800	800	noun.cognition	sorts
802	802	noun.event	noises
805	805	verb.stative	was
808	808	noun.event	rumbling
809	809	noun.cognition	sound
816	816	noun.person	gentleman
817	817	verb.body	asleep
819	819	noun.food	dinner
826	826	noun.cognition	sort
828	828	noun.event	rumble
829	830	verb.stative	going on
842	842	noun.act	crowing
844	844	noun.event	clucking
845	845	noun.cognition	sound
850	850	noun.food	chicken
852	852	verb.creation	make
855	855	verb.stative	happened
857	857	verb.stative	be
862	862	noun.object	haystack
866	866	verb.perception	seems
871	871	verb.communication	said
872	872	noun.person	Edmund
879	879	noun.act	clucking
880	880	verb.stative	is
889	890	verb.motion	started up
893	893	verb.perception	explored
895	895	noun.artifact	caves
900	901	verb.perception	found out
902	902	noun.quantity	nothing
909	909	noun.artifact	wall
912	912	noun.object	cave
915	915	verb.perception	saw
917	917	noun.object	hole
921	921	verb.stative	being
923	923	noun.person	boy
926	926	verb.motion	climbed
931	931	verb.motion	crept
936	936	verb.stative	was
938	938	noun.artifact	entrance
942	942	noun.object	passage
947	947	noun.event	clucking
948	948	verb.perception	sounded
958	958	verb.perception	hear
960	960	noun.event	rumbling
971	972	verb.communication	find out
978	978	verb.communication	said
979	979	noun.person	Edmund
984	984	verb.motion	went
987	987	noun.object	passage
988	988	verb.motion	wound
990	990	verb.motion	twisted
993	993	verb.motion	twisted
995	995	verb.motion	turned
998	998	verb.motion	turned
1000	1000	verb.motion	wound
1003	1003	noun.person	Edmund
1004	1005	verb.stative	kept on
1009	1009	noun.artifact	lantern
1011	1011	verb.weather	burning
1017	1017	verb.communication	said
1024	1024	noun.time	minute
1026	1026	verb.perception	saw
1030	1030	noun.phenomenon	light
1033	1033	verb.change	come
1036	1036	noun.artifact	lantern
1039	1039	verb.stative	was
1043	1043	noun.attribute	light
1047	1047	verb.perception	shone
1050	1050	noun.artifact	passage
1057	1058	verb.stative	looked like
1060	1060	noun.body	chink
1063	1063	noun.artifact	door
1067	1067	verb.cognition	expect
1069	1069	verb.stative	's
1071	1071	noun.event	fire
1074	1074	noun.location	middle
1077	1077	noun.substance	earth
1080	1080	verb.communication	said
1081	1081	noun.person	Edmund
1089	1089	verb.social	help
1090	1090	verb.cognition	learning
1094	1094	noun.artifact	school
1100	1100	noun.substance	fire
1102	1102	verb.communication	gave
1105	1105	noun.event	flicker
1107	1108	verb.motion	went down
1112	1112	noun.act	clucking
1113	1113	verb.change	ceased
1117	1117	noun.time	moment
1118	1118	noun.person	Edmund
1119	1119	verb.motion	turned
1121	1121	noun.artifact	corner
1123	1123	verb.perception	found
1130	1130	noun.artifact	door
1133	1133	noun.artifact	door
1134	1134	verb.stative	was
1138	1139	verb.motion	went in
1143	1143	verb.stative	was
1146	1146	noun.object	cave
1150	1150	noun.shape	dome
1152	1153	noun.location	St. Paul
1158	1158	noun.location	middle
1161	1161	noun.object	cave
1162	1162	verb.stative	was
1164	1164	noun.object	hole
1171	1171	verb.contact	washing
1172	1172	noun.artifact	basin
1177	1177	noun.location	middle
1180	1180	noun.artifact	basin
1181	1181	noun.person	Edmund
1182	1182	verb.perception	saw
1186	1186	noun.person	person
1187	1187	verb.contact	sitting
1190	1190	noun.person	person
1191	1191	verb.stative	had
1193	1193	noun.person	man
1195	1195	noun.body	face
1198	1198	noun.animal	griffin
1200	1200	noun.body	body
1205	1205	noun.animal	wings
1209	1209	noun.animal	snake
1211	1211	noun.animal	tail
1215	1215	noun.animal	cock
1217	1217	noun.artifact	comb
1219	1219	noun.body	neck
1220	1220	noun.animal	feathers
1228	1228	verb.communication	said
