COREF	start_token	end_token	prop	cat	text
-1	0	1	NOM	PER	THE LAIRD
10	3	6	PROP	PER	THE MAN OF PEACE
-1	9	12	NOM	LOC	the Highlands of Scotland
1	12	12	PROP	GPE	Scotland
11	16	26	PROP	PER	a Laird of Brockburn , who would not believe in fairies
11	19	19	PROP	PER	Brockburn
-1	29	29	PRON	PER	his
-1	29	31	NOM	PER	his sixth cousin
-1	33	34	NOM	PER	the mother
-1	39	39	PRON	PER	he
-1	49	52	NOM	PER	the Men of Peace
-1	55	60	NOM	LOC	the sides of Ben Muich Dhui
2	58	60	PROP	GPE	Ben Muich Dhui
-1	73	73	PRON	PER	their
-1	78	78	PRON	PER	they
12	83	83	PROP	PER	Rory
-1	84	92	NOM	PER	the fiddler having gone to play at a christening
-1	96	96	NOM	FAC	home
-1	100	102	NOM	LOC	a hill near
11	103	103	PROP	PER	Brockburn
-1	110	116	NOM	FAC	a _ Shian_[1 ] or fairy turret
-1	121	123	NOM	PER	all decent bodies
-1	127	127	PRON	PER	he
0	135	135	PRON	PER	I
-1	146	146	PRON	PER	his
-1	146	147	NOM	PER	his neighbours
11	149	149	PROP	PER	Brockburn
-1	166	167	NOM	FAC	fairy towers
-1	178	179	NOM	LOC	mountain crags
-1	184	184	PRON	PER	he
-1	191	193	NOM	PER	the Good People
-1	199	199	PRON	PER	them
-1	202	202	PRON	PER	he
-1	210	210	PRON	PER	them
-1	212	212	PRON	PER	they
-1	217	217	PRON	PER	he
-1	219	222	NOM	PER	a man of peace
-1	223	223	PRON	PER	himself
-1	231	234	NOM	PER	whatever neighbours he had
-1	233	233	PRON	PER	he
-1	239	239	PRON	PER	he
-1	249	249	PRON	PER	he
-1	254	254	PRON	PER	them
-1	272	274	NOM	PER	Men of Peace
3	282	282	PROP	GPE	Hallowmas
4	284	284	PROP	GPE	Yule
-1	289	290	NOM	PER	the Laird
-1	295	296	NOM	LOC	the hills
-1	305	305	PRON	PER	his
-1	305	306	NOM	PER	his men
-1	321	322	NOM	LOC	the country
-1	325	325	PRON	PER	him
-1	327	327	PRON	PER	he
-1	329	329	PRON	PER	his
-1	334	334	PRON	PER	he
-1	336	336	PRON	PER	his
-1	347	347	NOM	PER	man
-1	353	353	PRON	PER	him
11	373	373	PROP	PER	Brockburn
-1	380	380	PRON	PER	his
-1	385	385	PRON	PER	he
-1	407	407	PRON	PER	him
-1	413	413	PRON	PER	him
-1	419	419	PRON	PER	his
-1	422	424	NOM	PER	The delighted Laird
-1	428	428	PRON	PER	his
-1	428	430	NOM	PER	his favourite collie
-1	433	433	PRON	PER	him
13	440	440	PROP	PER	Jock
-1	442	442	NOM	PER	man
-1	445	445	PRON	PER	he
-1	450	450	PRON	PER	ye
-1	453	453	PRON	PER	me
-1	455	455	PRON	PER	my
-1	461	461	PRON	PER	ye
-1	467	467	PRON	PER	you
-1	471	471	PRON	PER	your
-1	487	487	PRON	PER	his
-1	500	500	PRON	PER	I
-1	502	502	PRON	PER	my
14	511	511	PROP	PER	Finn
5	515	515	PROP	GPE	Ireland
6	517	520	PROP	LOC	the Dawn of History
11	524	524	PROP	PER	Laird
-1	526	526	PRON	PER	I
-1	531	538	NOM	LOC	every bit path on the hill - side
-1	535	538	NOM	LOC	the hill - side
-1	545	545	PRON	PER	I
-1	548	548	PRON	PER	ye
11	559	559	PROP	PER	Brockburn
-1	566	566	PRON	PER	they
-1	568	568	PRON	PER	his
-1	579	579	PRON	PER	him
-1	592	592	PRON	PER	he
-1	598	598	PRON	PER	his
-1	605	605	PRON	PER	him
-1	607	608	NOM	PER	the collie
13	619	619	PROP	PER	Jock
-1	621	621	PRON	PER	my
-1	621	622	NOM	PER	my mannie
-1	627	627	PRON	PER	I
-1	630	630	PRON	PER	your
-1	633	633	PRON	PER	ye
-1	642	642	PRON	PER	ye
-1	645	646	NOM	PER	a Christian
-1	648	648	PRON	PER	my
-1	648	650	NOM	PER	my wee doggie
-1	654	654	PRON	PER	I
-1	657	657	PRON	PER	your
-1	660	660	PRON	PER	I
-1	662	665	NOM	PER	a Man of Peace
-1	675	675	PRON	PER	your
11	678	678	PROP	PER	Brockburn
-1	682	682	PRON	PER	ye
-1	685	685	PRON	PER	our
-1	688	688	NOM	PER	man
-1	699	700	NOM	PER	the Laird
-1	717	717	PRON	PER	ye
-1	726	726	PRON	PER	your
-1	729	729	NOM	PER	man
-1	732	732	PRON	PER	ye'll
-1	737	738	NOM	PER	the Dwarf
11	742	742	PROP	PER	Brockburn
-1	747	747	PRON	PER	he
-1	749	749	PRON	PER	him
-1	771	777	NOM	LOC	the mountain well known to the Laird
-1	776	777	NOM	PER	the Laird
-1	781	781	PRON	PER	he
-1	803	806	NOM	FAC	the _ Shian _
-1	843	843	PRON	PER	he
-1	846	847	NOM	PER	the Laird
-1	857	857	PRON	PER	your
-1	860	860	NOM	PER	man
-1	864	864	PRON	PER	your
-1	869	870	NOM	PER	the Dwarf
-1	875	875	PRON	PER	I
-1	877	877	PRON	PER	ye're
11	880	880	PROP	PER	Brockburn
-1	884	884	PRON	PER	I
-1	891	892	NOM	PER	the Laird
-1	896	896	PRON	PER	his
-1	901	901	PRON	PER	his
-1	905	905	PRON	PER	his
-1	910	910	PRON	PER	his
12	923	923	PROP	PER	Rory
-1	926	926	PRON	PER	I
-1	929	929	PRON	PER	his
-1	950	951	NOM	PER	the Dwarf
-1	960	963	NOM	FAC	the _ Shian _
-1	965	965	PRON	PER	he
-1	976	976	PRON	PER	him
-1	979	981	NOM	PER	the astonished Laird
-1	983	997	NOM	PER	a tiny but well - proportioned man , with delicate features , and golden hair
-1	1000	1000	PRON	PER	his
-1	1003	1003	PRON	PER	He
-1	1020	1020	PRON	PER	His
-1	1028	1028	PRON	PER	he
-1	1033	1033	PRON	PER	D'ye
-1	1035	1035	PRON	PER	me?--d'ye
-1	1037	1037	PRON	PER	me
11	1040	1040	PROP	PER	Brockburn
-1	1050	1051	NOM	PER	the Laird
-1	1067	1067	PRON	PER	ye
-1	1071	1074	NOM	PER	the Man of Peace
-1	1080	1081	NOM	PER	the Laird
-1	1086	1086	PRON	PER	he
-1	1088	1088	PRON	PER	him
11	1109	1109	PROP	PER	Brockburn
-1	1111	1114	NOM	PER	the Man of Peace
15	1125	1125	PROP	PER	Aweel
11	1127	1127	PROP	PER	Brockburn
10	1131	1134	PROP	PER	the Man of Peace
-1	1137	1137	PRON	PER	I
-1	1149	1149	PRON	PER	I
-1	1155	1155	PRON	PER	ye
-1	1163	1163	NOM	PER	man
-1	1167	1167	PRON	PER	he
-1	1169	1169	PRON	PER	he
-1	1184	1187	NOM	LOC	the mountain - side
-1	1189	1189	PRON	PER	he
-1	1193	1194	NOM	PER	the Laird
-1	1200	1201	NOM	PER	the gudewife
-1	1203	1203	PRON	PER	ye
-1	1210	1210	PRON	PER	ye
11	1236	1236	PROP	PER	Brockburn
-1	1240	1240	PRON	PER	his
-1	1247	1247	PRON	PER	I
-1	1251	1251	PRON	PER	ye
-1	1256	1256	PRON	PER	he
-1	1258	1261	NOM	PER	the Man of Peace
-1	1263	1266	NOM	LOC	the hill - side
-1	1268	1268	PRON	PER	he
-1	1280	1280	PRON	PER	he
-1	1289	1289	PRON	PER	he
-1	1293	1293	PRON	PER	his
-1	1293	1294	NOM	PER	his companion
-1	1302	1305	NOM	PER	the Man of Peace
-1	1322	1322	PRON	PER	me
-1	1324	1324	PRON	PER	my
-1	1332	1333	NOM	PER	the Laird
-1	1336	1336	PRON	PER	You
-1	1342	1345	NOM	PER	the Man of Peace
11	1348	1348	PROP	PER	Brockburn
-1	1352	1352	PRON	PER	he
-1	1363	1363	PRON	PER	they
-1	1375	1376	NOM	PER	the Laird
-1	1383	1383	PRON	PER	he
-1	1394	1394	PRON	PER	he
-1	1409	1412	NOM	PER	the Man of Peace
-1	1434	1434	PRON	PER	I
-1	1439	1440	NOM	PER	the Laird
-1	1456	1456	PRON	PER	you
-1	1462	1463	NOM	PER	the Dwarf
-1	1472	1472	PRON	PER	ye
-1	1475	1476	NOM	PER	The Laird
-1	1487	1487	PRON	PER	his
-1	1496	1496	PRON	PER	he
-1	1503	1506	NOM	PER	the Man of Peace
-1	1527	1527	PRON	PER	he
-1	1534	1534	PRON	PER	him
-1	1537	1538	NOM	PER	the Dwarf
-1	1555	1555	PRON	PER	my
-1	1560	1560	PRON	PER	ye
-1	1565	1567	NOM	PER	the muckle stanes
-1	1571	1572	NOM	PER	the Laird
-1	1586	1586	PRON	PER	Ye're
11	1589	1589	PROP	PER	Brockburn
-1	1591	1591	PRON	PER	I
-1	1593	1593	PRON	PER	ye
-1	1596	1596	PRON	PER	Ye're
-1	1601	1604	NOM	PER	the Man of Peace
-1	1609	1610	NOM	PER	the Laird
16	1617	1618	PROP	PER	the Dwarfs
-1	1624	1624	PRON	PER	his
-1	1624	1625	NOM	PER	his companion
-1	1635	1635	PRON	PER	he
-1	1642	1642	PRON	PER	I
-1	1644	1644	PRON	PER	your
-1	1644	1647	NOM	PER	your great - grandfather
11	1650	1650	PROP	PER	Brockburn
-1	1652	1652	PRON	PER	He
-1	1654	1656	NOM	PER	a hamely man
-1	1658	1658	PRON	PER	I
-1	1660	1660	PRON	PER	his
-1	1663	1663	PRON	PER	him
-1	1667	1671	NOM	LOC	this verra hill - side
-1	1673	1673	PRON	PER	Mair
-1	1677	1677	PRON	PER	ye'll
-1	1679	1679	PRON	PER	your
-1	1685	1686	NOM	PER	the men
-1	1693	1694	NOM	PER	The Laird
-1	1696	1696	PRON	PER	him
-1	1703	1704	NOM	PER	the Dwarf
-1	1719	1719	PRON	PER	ye've
-1	1736	1736	PRON	PER	he
-1	1740	1740	PRON	PER	I
-1	1743	1743	PRON	PER	I
-1	1746	1746	PRON	PER	ye
-1	1754	1754	NOM	PER	man
-1	1760	1760	PRON	PER	them
-1	1764	1764	PRON	PER	I
-1	1766	1766	PRON	PER	my
-1	1769	1769	PRON	PER	ye're
-1	1775	1775	PRON	PER	your
11	1778	1778	PROP	PER	Brockburn
-1	1786	1787	NOM	PER	the Laird
-1	1789	1789	PRON	PER	his
-1	1799	1799	PRON	PER	his
-1	1799	1800	NOM	PER	his companion
-1	1830	1833	NOM	PER	the Man of Peace
11	1839	1839	PROP	PER	Brockburn
-1	1850	1850	PRON	PER	ye
-1	1854	1855	NOM	PER	The Laird
-1	1863	1863	PRON	PER	his
-1	1872	1872	PRON	PER	his
-1	1879	1879	PRON	PER	he
-1	1881	1881	PRON	PER	his
-1	1886	1886	PRON	PER	he
-1	1888	1888	PRON	PER	himself
-1	1893	1893	PRON	PER	he
-1	1897	1898	NOM	PER	the Dwarf
-1	1902	1902	PRON	PER	him
-1	1904	1904	PRON	PER	he
-1	1909	1909	PRON	PER	he
-1	1919	1919	PRON	PER	I
-1	1923	1923	NOM	PER	man
-1	1927	1927	PRON	PER	ye
-1	1932	1932	PRON	PER	me
-1	1938	1938	PRON	PER	me
-1	1941	1941	PRON	PER	I
-1	1944	1944	PRON	PER	your
7	1955	1955	PROP	LOC	Loch
-1	1958	1958	PRON	PER	ye
-1	1964	1967	NOM	FAC	a weary long road
11	1969	1969	PROP	GPE	Brockburn
9	1983	1984	PROP	LOC	Loch Awe
-1	1994	1994	PRON	PER	your
-1	1999	2002	NOM	PER	the Man of Peace
-1	2007	2007	PRON	PER	my
-1	2012	2013	NOM	PER	the Laird
-1	2016	2016	PRON	PER	his
-1	2027	2027	PRON	PER	his
-1	2030	2034	NOM	FAC	the whole homestead of Brockburn
11	2034	2034	PROP	GPE	Brockburn
-1	2036	2036	NOM	FAC	house
-1	2038	2039	NOM	FAC	farm buildings
-1	2044	2048	NOM	LOC	the bleak hill - side
11	2050	2052	PROP	PER	The astonished Laird
