start_token	end_token	supersense_category	text
4	4	verb.contact	Edited
6	8	noun.person	Andrew Lang PREFACE
12	12	noun.communication	gleaning
15	15	noun.location	fields
17	18	noun.location	Fairy Land
22	22	verb.cognition	expect
24	24	verb.possession	find
27	27	noun.person	Perrault
31	31	verb.stative	are
33	33	noun.communication	stories
47	47	noun.communication	Book
49	49	verb.stative	have
51	51	noun.attribute	attraction
53	53	verb.stative	being
61	61	noun.person	friends
64	64	noun.communication	tales
67	67	verb.communication	translated
73	73	noun.state	case
77	77	noun.person	Madame
81	81	noun.communication	stories
83	83	verb.creation	adapted
86	87	noun.person	Mrs. Hunt
93	95	noun.person	Miss Minnie Wright
97	97	noun.person	Madame
101	102	noun.person	Mrs. Lang
104	105	noun.person	Miss Bruce
109	109	noun.location	sources
112	114	noun.person	Miss May Sellar
116	117	noun.person	Miss Farquharson
120	121	noun.person	Miss Blackley
124	124	noun.communication	German
128	128	noun.communication	story
134	134	verb.change	condensed
137	137	noun.person	Editor
139	141	noun.person	Mr. William Morris
144	144	noun.communication	version
153	153	noun.person	Editor
156	156	verb.communication	thank
158	158	noun.person	friend
160	162	noun.person	M. Charles Marelles
165	165	noun.communication	permission
167	167	verb.creation	reproduce
169	169	noun.communication	versions
179	179	noun.person	Drakestail
191	191	noun.communication	French
194	196	noun.person	M. Henri Carnoy
200	200	noun.attribute	privilege
211	212	noun.location	La Tradition
215	217	noun.person	Lady Frances Balfour
220	220	verb.communication	copied
223	223	noun.communication	version
226	226	noun.person	Jack
233	234	noun.person	Messrs. Smith
236	236	noun.person	Elder
238	238	verb.communication	permitted
240	240	noun.communication	publication
244	245	noun.person	Mr. Ralston
247	247	noun.communication	versions
250	250	noun.communication	Russian
252	253	noun.person	A. L.
264	264	verb.stative	lived
267	267	noun.group	village
269	273	noun.location	Montignies - sur - Roc
276	276	noun.animal	cow
278	278	noun.person	boy
282	282	noun.person	father
284	284	noun.person	mother
287	288	noun.communication	real name
289	289	verb.stative	was
290	290	noun.person	Michael
296	296	verb.communication	called
298	299	noun.person	Star Gazer
304	304	verb.motion	drove
306	306	noun.animal	cows
309	309	noun.artifact	commons
311	312	verb.contact	seek for
313	313	noun.possession	pasture
316	316	verb.motion	went
320	320	noun.body	head
323	323	noun.location	air
325	325	verb.body	gaping
327	327	noun.quantity	nothing
331	331	verb.possession	had
334	334	noun.body	skin
337	337	noun.body	eyes
340	340	noun.body	hair
342	342	verb.contact	curled
346	346	noun.body	head
349	349	noun.group	village
350	350	noun.person	girls
353	353	verb.communication	cry
360	361	noun.location	Star Gazer
366	366	verb.social	doing
370	370	noun.person	Michael
372	372	verb.communication	answer
377	377	noun.quantity	nothing
381	382	verb.stative	go on
384	384	noun.act	way
387	387	verb.motion	turning
389	389	verb.perception	look
394	394	noun.communication	fact
397	397	verb.cognition	thought
407	407	noun.body	necks
412	412	noun.body	hands
416	416	noun.artifact	petticoats
419	419	noun.substance	wooden
420	420	noun.artifact	shoes
424	424	verb.cognition	heard
429	429	noun.object	world
431	431	verb.stative	were
432	432	noun.person	girls
434	434	noun.body	necks
435	435	verb.stative	were
439	439	noun.body	hands
440	440	verb.stative	were
446	446	verb.body	dressed
450	450	noun.artifact	silks
452	452	noun.artifact	laces
456	456	verb.communication	called
457	457	noun.person	princesses
462	462	noun.person	companions
465	465	noun.process	fire
466	466	verb.perception	saw
467	467	noun.quantity	nothing
470	470	noun.phenomenon	flames
474	474	noun.communication	fancies
477	477	verb.cognition	dreamed
480	480	verb.possession	had
482	482	noun.state	happiness
484	484	verb.social	marry
486	486	noun.person	princess
490	490	noun.time	morning
495	495	noun.time	August
501	501	noun.time	day
504	504	noun.object	sun
506	506	verb.change	hottest
508	508	noun.person	Michael
509	509	verb.consumption	ate
511	511	noun.food	dinner
514	514	noun.artifact	piece
517	517	noun.food	bread
520	521	verb.motion	went to
522	522	verb.body	sleep
525	525	noun.plant	oak
530	530	verb.body	slept
532	532	verb.creation	dreamt
535	535	verb.perception	appeared
540	540	noun.person	lady
542	542	verb.body	dressed
545	545	noun.artifact	robe
547	547	noun.artifact	cloth
549	549	noun.attribute	gold
552	552	verb.communication	said
557	558	verb.motion	Go to
560	560	noun.artifact	castle
562	562	noun.location	Beloeil
568	568	verb.social	marry
570	570	noun.person	princess
574	574	noun.time	evening
577	577	noun.animal	cow
579	579	noun.person	boy
584	584	verb.cognition	thinking
586	587	noun.quantity	great deal
590	590	noun.communication	advice
593	593	noun.person	lady
597	597	noun.artifact	dress
599	599	verb.communication	told
601	601	noun.cognition	dream
604	604	noun.person	farm
605	605	noun.group	people
610	610	verb.stative	was
615	615	verb.body	laughed
618	619	noun.person	Star Gazer
623	623	noun.time	day
627	627	noun.time	hour
631	631	verb.body	sleep
636	636	noun.plant	tree
639	639	noun.person	lady
640	640	verb.change	appeared
645	645	noun.event	time
648	648	verb.communication	said
651	652	verb.motion	Go to
654	654	noun.artifact	castle
656	656	noun.location	Beloeil
661	661	verb.social	marry
663	663	noun.person	princess
668	668	noun.time	evening
669	669	noun.person	Michael
670	670	verb.communication	told
672	672	noun.person	friends
676	676	verb.creation	dreamed
679	679	noun.cognition	dream
685	686	verb.communication	laughed at
698	698	verb.cognition	thought
705	705	noun.person	lady
706	706	verb.perception	appears
711	711	noun.event	time
718	718	verb.communication	tells
724	724	noun.time	day
729	729	noun.feeling	astonishment
733	733	noun.group	village
740	740	noun.time	afternoon
742	742	noun.communication	voice
744	744	verb.perception	heard
745	745	verb.communication	singing
754	754	noun.animal	cattle
755	755	verb.motion	go
759	759	verb.stative	was
762	762	noun.animal	cow
764	764	noun.person	boy
765	765	verb.motion	driving
767	767	noun.group	herd
774	774	noun.person	farmer
775	775	verb.change	began
777	777	verb.communication	scold
783	783	verb.communication	answered
789	790	verb.motion	going away
793	793	verb.change	made
795	795	noun.artifact	clothes
798	798	noun.artifact	bundle
800	800	verb.communication	said
801	803	noun.communication	good - bye
807	807	noun.person	friends
811	812	verb.motion	set out
814	814	verb.possession	seek
816	816	noun.possession	fortunes
819	819	verb.stative	was
821	821	noun.feeling	excitement
825	825	noun.group	village
830	830	noun.location	top
833	833	noun.object	hill
835	835	noun.group	people
836	836	verb.contact	stood
837	838	verb.stative	holding their
839	839	noun.body	sides
841	841	verb.body	laughing
845	845	verb.perception	watched
847	848	noun.person	Star Gazer
849	849	verb.motion	trudging
853	853	noun.object	valley
856	856	noun.artifact	bundle
859	859	noun.location	end
862	862	noun.artifact	stick
865	865	verb.stative	was
868	868	verb.communication	make
870	870	verb.body	laugh
882	882	noun.quantity	miles
886	886	verb.stative	lived
889	889	noun.artifact	castle
891	891	noun.person	Beloeil
893	893	noun.person	princesses
896	896	noun.attribute	beauty
903	903	verb.stative	were
908	908	verb.stative	were
918	918	noun.group	blood
924	924	verb.emotion	felt
928	928	noun.state	presence
931	931	noun.food	pea
934	934	noun.artifact	beds
939	939	noun.artifact	mattresses
942	942	verb.contact	laid
948	948	verb.communication	whispered
952	952	verb.stative	led
955	955	noun.act	lives
957	957	noun.person	princesses
960	960	verb.stative	lead
962	962	verb.body	sleeping
966	966	noun.time	morning
970	971	verb.body	getting up
973	975	noun.time	mid - day
978	978	verb.possession	had
980	980	noun.artifact	beds
985	985	noun.artifact	room
989	989	verb.stative	was
992	992	verb.stative	was
994	994	noun.communication	fact
999	1000	verb.contact	locked in
1003	1003	noun.artifact	bolts
1006	1006	noun.time	morning
1008	1009	noun.artifact	satin shoes
1011	1011	verb.perception	found
1012	1012	verb.contact	worn
1014	1014	noun.object	holes
1019	1019	verb.communication	asked
1024	1024	verb.social	doing
1026	1026	noun.time	night
1030	1030	verb.communication	answered
1034	1034	verb.stative	been
1042	1042	noun.event	noise
1045	1045	verb.perception	heard
1048	1048	noun.artifact	room
1052	1052	noun.artifact	shoes
1055	1055	verb.body	wear
1063	1065	noun.person	Duke of Beloeil
1066	1066	verb.communication	ordered
1068	1068	noun.communication	trumpet
1071	1071	verb.communication	sounded
1075	1075	noun.communication	proclamation
1078	1078	verb.social	made
1082	1082	verb.cognition	discover
1085	1085	noun.person	daughters
1086	1087	verb.body	wore out
1089	1089	noun.artifact	shoes
1091	1091	verb.cognition	choose
1097	1097	noun.person	wife
1100	1100	verb.perception	hearing
1102	1102	noun.communication	proclamation
1104	1104	noun.attribute	number
1106	1106	noun.person	princes
