start_token	end_token	supersense_category	text
1	2	noun.location	REMARKABLE ROCKET
4	4	noun.person	King
6	6	noun.person	son
11	11	verb.social	married
17	17	noun.feeling	rejoicings
21	21	verb.stative	waited
24	24	noun.time	year
27	27	noun.person	bride
34	34	verb.motion	arrived
37	37	verb.stative	was
39	40	noun.person	Russian Princess
44	44	verb.motion	driven
49	49	noun.location	Finland
52	52	noun.artifact	sledge
53	53	verb.contact	drawn
56	56	noun.animal	reindeer
59	59	noun.artifact	sledge
61	61	verb.change	shaped
66	66	noun.animal	swan
71	71	noun.object	swan
73	73	noun.animal	wings
74	74	verb.stative	lay
77	77	noun.person	Princess
82	82	noun.substance	ermine
84	84	noun.artifact	cloak
85	85	verb.stative	reached
90	90	noun.body	feet
94	94	noun.body	head
95	95	verb.stative	was
98	98	noun.artifact	cap
101	101	noun.body	tissue
105	105	verb.stative	was
110	111	noun.location	Snow Palace
117	117	verb.stative	lived
126	126	verb.motion	drove
129	129	noun.artifact	streets
132	132	noun.group	people
133	133	verb.cognition	wondered
137	137	verb.stative	is
141	141	noun.plant	rose
145	145	verb.communication	cried
149	150	verb.contact	threw down
151	151	noun.plant	flowers
156	156	noun.artifact	balconies
160	160	noun.artifact	gate
163	163	noun.location	Castle
165	165	noun.person	Prince
167	167	verb.stative	waiting
169	169	verb.possession	receive
173	173	verb.stative	had
176	176	noun.body	eyes
180	180	noun.body	hair
181	181	verb.stative	was
184	184	noun.substance	gold
188	188	verb.perception	saw
191	191	verb.motion	sank
194	194	noun.body	knee
197	197	verb.contact	kissed
199	199	noun.body	hand
203	203	noun.artifact	picture
204	204	verb.stative	was
209	209	verb.communication	murmured
214	214	verb.stative	are
219	219	noun.artifact	picture
225	225	noun.person	Princess
226	226	verb.body	blushed
230	230	verb.stative	was
234	234	noun.plant	rose
238	238	verb.communication	said
241	241	noun.person	Page
244	244	noun.person	neighbour
249	249	verb.stative	is
252	252	noun.attribute	red
253	253	noun.plant	rose
260	260	noun.group	Court
261	261	verb.stative	was
262	262	verb.emotion	delighted
268	268	noun.time	days
270	271	verb.communication	went about
272	272	verb.communication	saying
275	276	noun.person	White rose
278	279	noun.person	Red rose
281	282	noun.person	Red rose
290	290	noun.person	King
291	291	verb.possession	gave
292	292	noun.communication	orders
295	295	noun.person	Page
297	297	noun.possession	salary
301	301	verb.change	doubled
305	305	verb.possession	received
307	307	noun.possession	salary
311	311	verb.stative	was
315	315	noun.act	use
