start_token	end_token	supersense_category	text
7	7	noun.communication	STORIES
8	8	verb.cognition	SELECTED
14	15	noun.person	MISS MULOCK
17	17	noun.person	AUTHOR
20	21	noun.person	JOHN HALIFAX
23	23	noun.person	GENTLEMAN
29	30	noun.person	LITTLE OLIVE
35	35	noun.communication	PREFACE
38	38	noun.communication	preface
39	39	verb.stative	is
42	42	noun.communication	excrescence
46	46	noun.communication	book
51	51	noun.communication	apology
62	62	noun.event	instance
66	67	noun.communication	explanatory words
68	68	verb.perception	seem
73	73	verb.communication	meant
75	75	verb.stative	be
78	78	noun.communication	collection
82	82	noun.feeling	delight
85	85	noun.person	children
91	91	noun.group	people
93	93	verb.possession	retain
95	95	noun.person	child
105	105	noun.time	time
109	109	noun.communication	Fairy
111	111	noun.communication	tale
116	116	verb.cognition	compiled
119	119	noun.communication	sources
131	131	noun.communication	stories
134	134	verb.cognition	traced
140	140	noun.communication	form
149	149	verb.change	retranslated
151	151	verb.change	condensed
158	158	noun.attribute	way
159	159	verb.change	made
164	164	noun.person	children
166	166	noun.person	Perrault
168	169	noun.person	Madame d'Aulnois
172	172	noun.person	Grimm
176	176	verb.cognition	laid
178	178	noun.act	contribution
186	186	verb.possession	get
189	189	noun.communication	original
192	192	noun.communication	tale
196	196	noun.communication	versions
199	199	verb.contact	collated
201	201	verb.cognition	compared
204	204	verb.contact	combined
209	209	noun.event	instances
213	213	verb.cognition	proved
219	219	noun.communication	story
222	222	verb.creation	written
228	229	noun.communication	fairy tales
234	234	noun.person	Jack
240	241	noun.person	Tom Thumb
247	247	noun.act	authorship
248	248	verb.stative	is
249	249	verb.possession	lost
251	251	noun.attribute	obscurity
257	257	noun.attribute	simplicity
259	259	noun.attribute	style
263	263	noun.attribute	realism
265	265	noun.communication	narration
267	267	verb.change	make
274	274	noun.attribute	immortality
279	279	verb.stative	left
285	285	noun.cognition	touch
287	287	verb.change	improve
292	292	noun.communication	stories
295	295	verb.cognition	excluded
301	302	noun.communication	fairy tales
304	304	noun.communication	instruction
307	307	verb.cognition	expected
310	310	verb.perception	find
316	316	noun.communication	moral
318	318	noun.attribute	virtue
319	319	verb.possession	rewarded
321	321	noun.attribute	vice
322	322	verb.social	punished
325	325	noun.person	children
328	328	verb.cognition	discover
334	334	noun.state	life
337	337	noun.group	people
338	338	verb.stative	are
351	351	noun.person	sister
352	352	verb.stative	is
358	358	noun.person	stepmother
364	364	noun.person	baby
369	369	verb.motion	reached
375	375	noun.cognition	fancy
379	379	noun.motive	reason
386	386	noun.communication	appeal
388	388	noun.motive	conscience
390	390	noun.motive	morality
393	393	noun.person	Editor
396	396	noun.communication	collection
398	398	verb.stative	been
404	404	verb.stative	be
405	405	noun.quantity	nothing
411	411	verb.body	harm
413	413	noun.person	child
416	416	verb.cognition	trusts
421	421	noun.attribute	defects
428	428	verb.stative	deserve
430	430	noun.communication	criticism
438	438	verb.possession	given
441	441	noun.communication	work—"that
445	445	verb.stative	been
449	449	noun.person	author
453	453	noun.act	pains
459	459	noun.communication	CONTENTS
469	469	noun.act	HOP
503	505	noun.person	LITTLE THREE EYES
512	513	noun.person	TOM THUMB
517	517	noun.location	FORTUNATUS
520	522	noun.location	BREMEN TOWN MUSICIANS
524	537	noun.group	RIQUET WITH THE TUFT 150 HOUSE ISLAND 157 SNOW - WHITE AND ROSE RED
546	547	noun.location	GRACIOSA AND
551	551	noun.substance	IRON
567	568	noun.person	LITTLE RED
572	572	noun.person	HOOD
605	606	noun.person	PRINCE CHERRY
647	648	noun.location	SLEEPING BEAUTY
656	656	verb.stative	was
659	659	noun.group	couple
661	661	verb.emotion	grieved
665	665	verb.possession	had
667	667	noun.person	children
675	675	noun.act	waiting
678	678	noun.animal	queen
679	679	verb.body	presented
681	681	noun.person	husband
685	685	noun.person	daughter
688	688	noun.person	majesty
689	689	verb.perception	showed
691	691	noun.feeling	joy
693	693	verb.communication	giving
695	695	noun.act	christening
696	696	noun.group	feast
710	710	verb.social	invited
713	713	noun.person	fairies
716	716	noun.location	land
719	719	verb.stative	were
720	720	noun.quantity	seven
724	724	verb.contact	stand
725	725	noun.person	godmothers
729	729	noun.person	princess
731	731	verb.emotion	hoping
735	735	verb.possession	bestow
740	740	noun.possession	gift
743	743	verb.stative	was
745	745	noun.act	custom
748	748	noun.person	fairies
751	751	noun.time	days
755	755	noun.event	ceremony
759	759	noun.person	guests
760	760	verb.motion	returned
763	763	noun.artifact	palace
768	768	verb.creation	set
771	771	noun.person	fairy
773	773	noun.person	godmother
777	777	noun.artifact	dish
782	782	noun.artifact	table
784	784	noun.artifact	napkin
788	788	noun.artifact	knife
790	790	noun.artifact	fork
793	793	noun.possession	gold
795	795	verb.stative	studded
797	797	noun.substance	diamonds
799	799	noun.artifact	rubies
806	806	verb.contact	placed
809	809	noun.artifact	table
812	812	verb.motion	entered
815	815	noun.person	fairy
820	820	verb.communication	invited
826	826	noun.time	years
830	830	verb.motion	left
832	832	noun.person	king
834	834	noun.state	dominion
837	837	noun.act	tour
839	839	noun.act	pleas[12]ure
845	845	verb.perception	heard
849	849	noun.time	day
852	852	noun.person	majesty
855	855	verb.emotion	troubled
857	857	verb.emotion	desired
859	859	noun.artifact	cover
862	862	verb.contact	placed
868	868	verb.stative	was
871	871	noun.act	delf
876	876	verb.communication	ordered
879	879	noun.person	jeweller
882	882	noun.possession	gold
883	883	noun.artifact	dishes
887	887	noun.person	fairies
892	892	noun.person	fairy
893	893	verb.cognition	thought
898	898	verb.communication	muttered
900	900	noun.communication	menaces
904	904	verb.communication	overheard
910	910	noun.person	fairies
913	913	verb.motion	chanced
915	915	verb.contact	sit
921	921	noun.person	godmother
925	925	noun.state	harm
929	929	noun.person	baby
931	931	verb.motion	hastened
933	933	verb.perception	hide
937	937	noun.artifact	tapestry
940	940	noun.artifact	hall
943	943	verb.creation	did
948	948	verb.communication	wished
953	953	verb.communication	speak
961	961	noun.act	gift
963	963	verb.communication	bestowed
966	966	noun.person	child
970	970	verb.stative	be
973	973	verb.social	counteract
979	979	verb.possession	offered
981	982	noun.communication	good wishes
988	988	noun.act	wishes
990	990	verb.stative	were
993	993	verb.change	come
999	999	noun.person	princess
1002	1003	verb.change	grow up
1006	1006	noun.person	woman
1009	1009	noun.object	world
1012	1012	verb.body	have
1014	1014	noun.feeling	temper
1018	1018	noun.person	angel
1021	1021	verb.stative	be
1028	1028	verb.creation	sing
1031	1031	noun.animal	nightingale
1034	1034	verb.creation	dance
1037	1037	noun.plant	leaf
1040	1040	noun.plant	tree
1044	1044	verb.possession	possess
1046	1046	noun.act	accomplishment
1049	1049	noun.object	sun
1054	1054	noun.person	fairy
1056	1056	noun.act	turn
1057	1057	verb.change	came
1059	1059	verb.body	Shaking
1061	1061	noun.body	head
1065	1065	verb.communication	uttered
1067	1067	noun.communication	wish
1071	1071	noun.person	baby
1072	1073	verb.change	grew up
1077	1077	noun.person	lady
1080	1080	verb.cognition	learned
1082	1082	verb.motion	spin
1086	1086	verb.contact	prick
1088	1088	noun.body	finger
1091	1091	noun.artifact	spindle
