start_token	end_token	supersense_category	text
1	2	noun.person	WISE PRINCESS
4	4	noun.person	Illustration
10	10	verb.stative	lived
12	12	noun.person	King
14	14	noun.person	wife
15	15	verb.stative	was
19	19	verb.possession	had
22	22	noun.person	daughter
25	25	verb.communication	named
26	26	noun.person	Fernanda
29	29	verb.stative	was
38	38	verb.stative	was
40	40	noun.person	child
42	42	verb.communication	vexed
45	45	noun.person	ladies
47	47	verb.communication	asking
49	49	noun.communication	questions
53	53	verb.perception	saw
57	57	noun.person	Highness
60	60	verb.emotion	wish
62	62	verb.cognition	know
68	68	verb.communication	told
72	73	noun.person	Princess Fernanda
74	75	verb.body	threw up
78	78	noun.body	head
81	81	verb.communication	said
85	85	verb.emotion	want
87	87	verb.cognition	know
93	94	verb.social	grew up
96	96	verb.possession	had
97	97	noun.person	masters
99	99	noun.person	mistresses
101	101	verb.communication	teach
105	105	verb.cognition	learnt
107	107	noun.communication	language
110	110	noun.cognition	science
115	115	verb.communication	said
119	119	verb.stative	is
126	126	verb.cognition	know
127	127	noun.quantity	more
133	133	noun.object	cave
136	136	verb.stative	lived
139	139	noun.person	Wizard
141	141	verb.stative	was
146	146	noun.body	face
147	147	verb.stative	was
153	153	noun.shape	wrinkles
159	159	noun.body	beard
160	160	verb.motion	flowed
163	163	noun.body	feet
166	166	verb.cognition	knew
168	168	noun.cognition	sorts
170	170	noun.cognition	magic
174	174	noun.time	day
176	176	noun.time	night
177	177	verb.contact	sat
178	178	verb.consumption	poring
181	181	noun.communication	books
185	185	verb.perception	seemed
188	188	noun.quantity	nothing
193	193	verb.cognition	learn
196	196	noun.time	night
200	200	verb.stative	was
203	204	noun.person	Princess Fernanda
205	205	verb.motion	rose
207	207	verb.motion	slipped
211	211	noun.artifact	stairs
216	216	noun.artifact	palace
223	224	verb.motion	stole away
227	227	noun.person	Wizard
229	229	noun.object	cave
232	233	noun.person	old man
235	235	verb.contact	sitting
239	239	noun.artifact	stool
240	240	verb.cognition	reading
245	245	noun.artifact	book
249	250	noun.attribute	green light
254	254	verb.motion	raised
256	256	noun.body	eyes
259	259	noun.person	Princess
260	260	verb.motion	entered
264	264	noun.artifact	doorway
267	267	verb.perception	looked
272	272	verb.body	wore
277	277	noun.artifact	robe
282	282	noun.body	hair
283	283	verb.stative	was
287	287	verb.motion	fell
289	289	noun.shape	ripples
292	292	noun.body	waist
296	296	verb.stative	are
303	303	verb.emotion	want
309	309	verb.communication	asked
314	314	verb.stative	am
316	317	noun.person	Princess Fernanda
321	321	verb.communication	said
326	326	verb.emotion	wish
328	328	verb.stative	be
330	330	noun.person	pupil
332	332	verb.communication	Teach
336	336	verb.cognition	know
343	343	verb.cognition	wish
348	348	verb.communication	said
350	350	noun.person	Wizard
356	356	verb.stative	be
366	366	verb.stative	am
372	372	verb.communication	said
374	374	noun.person	Princess
375	375	verb.body	sighing
379	379	verb.communication	Teach
384	384	verb.possession	find
388	388	noun.person	pupil
393	393	verb.possession	pay
396	396	noun.possession	gold
403	403	verb.possession	have
405	405	noun.possession	gold
408	408	verb.communication	said
410	410	noun.person	Wizard
414	414	verb.motion	come
418	418	noun.time	night
421	421	noun.time	hour
426	426	noun.time	years
429	429	verb.cognition	know
437	437	noun.time	night
439	439	noun.person	Princess
440	440	verb.motion	went
444	444	noun.person	Wizard
446	446	noun.object	cave
450	450	noun.group	court
452	452	verb.body	sleeping
456	456	noun.group	people
457	458	verb.cognition	wondered at
465	465	verb.communication	said
471	471	verb.cognition	knows
476	476	verb.stative	is
482	482	noun.time	years
484	485	verb.motion	gone by
487	487	noun.person	Wizard
488	488	verb.communication	said
497	497	verb.communication	teach
504	504	verb.stative	are
512	512	noun.person	Princess
513	513	verb.communication	thanked
516	517	verb.motion	went back
520	520	noun.person	father
522	522	noun.artifact	palace
525	525	verb.stative	was
530	530	verb.cognition	knew
532	532	noun.communication	languages
535	535	noun.animal	animals
538	538	noun.animal	fishes
539	539	verb.motion	came
545	545	noun.act	call
549	549	noun.animal	birds
552	552	noun.plant	trees
556	556	verb.communication	tell
559	559	noun.phenomenon	winds
561	561	verb.motion	rise
566	566	noun.object	sea
568	568	verb.stative	be
574	574	verb.change	turned
576	576	noun.person	enemies
578	578	noun.substance	stone
581	581	verb.possession	given
583	583	noun.attribute	wealth
586	586	noun.person	friends
595	595	verb.body	smiled
598	598	noun.body	lips
599	599	verb.stative	were
605	605	noun.body	eyes
606	606	verb.stative	were
610	610	noun.feeling	care
613	613	verb.communication	said
615	615	verb.stative	was
620	620	noun.person	father
621	621	verb.cognition	thought
623	623	verb.stative	was
629	630	verb.communication	sent for
632	632	noun.person	physicians
636	636	verb.social	stopped
642	642	noun.person	physicians
643	643	verb.social	help
647	647	noun.person	father
651	651	verb.communication	said
654	654	verb.cognition	seeing
657	657	verb.cognition	know
664	664	noun.time	night
667	667	noun.time	year
671	671	verb.social	taken
674	674	noun.act	lesson
677	677	noun.person	Wizard
680	680	verb.motion	arose
682	682	verb.motion	returned
685	685	noun.artifact	cave
689	689	verb.motion	raised
691	691	noun.body	eyes
693	693	verb.perception	saw
695	695	verb.contact	standing
705	705	verb.emotion	want
709	709	verb.communication	said
714	714	verb.communication	taught
718	718	verb.cognition	know
724	724	verb.communication	taught
730	730	verb.communication	said
732	732	verb.motion	falling
735	735	noun.body	knees
742	742	verb.stative	am
748	748	verb.communication	teach
753	753	verb.stative	be
762	762	verb.communication	said
764	764	noun.person	Wizard
769	769	noun.communication	smile
775	775	verb.communication	teach
783	783	verb.cognition	know
789	789	verb.communication	ask
794	794	verb.cognition	know
796	796	verb.stative	are
802	802	noun.communication	Illustration
807	807	noun.person	Princess
808	808	verb.motion	left
810	810	noun.object	cave
812	813	verb.motion	wandered down
816	816	noun.object	sea
818	818	noun.object	shore
826	826	noun.person	Princess
827	827	verb.motion	left
829	829	noun.object	cave
831	831	verb.motion	wandered
835	835	noun.object	sea
837	837	noun.object	shore
841	841	noun.time	night
843	843	verb.stative	spent
844	844	verb.contact	sitting
847	847	noun.object	rock
849	849	verb.stative	jutted
853	853	noun.object	sea
855	855	verb.perception	watching
858	858	noun.object	sky
861	861	noun.object	moon
862	862	verb.motion	coming
864	864	verb.motion	going
867	867	noun.object	clouds
870	870	noun.object	sea
871	871	verb.motion	dashed
878	878	noun.phenomenon	wind
879	879	verb.motion	blew
885	885	verb.emotion	fear
891	891	noun.object	sun
892	892	verb.motion	rose
894	894	noun.object	waters
895	895	verb.stative	were
899	899	noun.phenomenon	wind
900	900	verb.motion	fell
903	903	noun.animal	skylark
904	904	verb.motion	rose
907	907	noun.location	fields
909	909	verb.motion	flew
913	913	noun.location	heaven
915	915	verb.creation	singing
919	919	noun.body	heart
921	921	verb.change	burst
924	924	noun.feeling	joy
929	929	noun.animal	bird
930	930	verb.stative	is
934	934	verb.communication	said
936	936	noun.person	Princess
942	942	verb.communication	called
947	947	noun.communication	tongue
953	953	verb.creation	sing
957	957	verb.communication	asked
961	961	verb.creation	sing
964	964	verb.stative	am
969	969	verb.communication	answered
971	971	noun.person	lark
982	982	verb.communication	asked
984	984	noun.person	Princess
991	991	verb.communication	said
993	993	noun.animal	lark
996	996	noun.person	God
997	997	verb.stative	is
1002	1002	noun.object	sky
1003	1003	verb.stative	is
1009	1009	noun.location	fields
1010	1010	verb.stative	are
1019	1019	verb.change	make
1025	1025	verb.communication	Teach
1033	1033	verb.stative	be
1038	1038	verb.communication	said
1039	1040	noun.person	Princess Fernanda
1048	1048	verb.communication	said
1050	1050	noun.person	lark
1056	1056	verb.cognition	know
1059	1059	verb.communication	teach
1065	1065	verb.motion	rose
1067	1067	verb.creation	singing
1071	1071	noun.attribute	blue
1072	1072	noun.object	overhead
1075	1076	noun.person	Princess Fernanda
1077	1077	verb.body	sighed
1079	1080	verb.motion	turned back
1083	1083	noun.artifact	palace
1087	1087	noun.artifact	door
1089	1089	verb.motion	met
1092	1092	noun.animal	lap
1094	1094	noun.animal	dog
1097	1097	verb.communication	barked
1099	1099	verb.motion	jumped
1101	1101	noun.feeling	joy
1103	1103	verb.perception	seeing
1108	1108	noun.animal	dog
1112	1112	verb.communication	said
1117	1117	noun.animal	dog
1124	1124	verb.social	see
1142	1142	verb.communication	said
1145	1145	noun.animal	dog
1151	1151	verb.possession	have
1152	1152	noun.attribute	plenty
1154	1154	verb.consumption	eat
1159	1159	noun.plant	cushion
1161	1161	verb.contact	rest
1167	1167	verb.contact	caress
1175	1175	verb.change	make
1182	1182	verb.stative	is
1189	1189	verb.communication	said
1191	1191	noun.person	Princess
1193	1193	verb.body	sighing
1198	1198	noun.animal	dog
1200	1200	verb.contact	wagged
1202	1202	noun.animal	tail
1204	1204	verb.contact	licked
1206	1206	noun.body	hand
1210	1210	noun.artifact	room
1211	1211	verb.stative	was
1213	1213	noun.person	Princess
1217	1217	noun.person	maid
1218	1218	noun.person	Doris
1220	1221	verb.contact	folding up
1223	1223	noun.artifact	dresses
1226	1226	noun.person	Doris
1230	1230	verb.communication	said
1234	1234	verb.perception	look
1248	1249	noun.person	Royal Highness
1253	1254	verb.motion	going to
1256	1256	noun.group	fair
1259	1259	verb.communication	answered
1260	1260	noun.person	Doris
1264	1264	noun.person	Luke
1267	1267	verb.social	meet
1275	1275	verb.communication	added
1277	1277	verb.body	pouting
1283	1283	verb.emotion	wish
1285	1285	verb.possession	had
1289	1289	noun.artifact	hat
1291	1291	verb.body	wear
1295	1295	noun.artifact	dress
1301	1301	verb.stative	are
1310	1310	verb.communication	teach
1314	1314	verb.communication	said
1315	1316	noun.person	Princess Fernanda
1321	1321	verb.body	sighed
1326	1326	noun.time	evening
1328	1328	noun.time	sunset
1330	1330	verb.body	arose
1333	1334	verb.motion	went out
1337	1337	noun.group	village
1342	1342	noun.artifact	door
1346	1346	noun.artifact	cottage
1350	1350	verb.motion	came
1352	1352	verb.contact	sat
1354	1354	noun.person	woman
1355	1355	verb.body	nursing
1357	1357	noun.person	baby
1360	1360	verb.body	hushing
1363	1363	verb.body	sleep
1366	1366	noun.person	baby
1367	1367	verb.stative	was
1374	1374	noun.person	mother
1375	1375	verb.perception	looked
1383	1383	verb.motion	stopped
1386	1386	verb.communication	spoke
1392	1392	verb.possession	have
1396	1396	noun.person	child
1401	1401	verb.communication	said
1407	1407	verb.stative	be
1413	1413	noun.person	woman
1414	1414	verb.body	smiled
1417	1417	noun.communication	Yes
1421	1421	verb.communication	said
1426	1426	verb.stative	am
1432	1432	noun.person	goodman
1433	1433	verb.stative	is
1435	1435	noun.act	fishing
1440	1440	verb.stative	's
1445	1445	verb.change	makes
1455	1455	verb.communication	teach
1459	1459	verb.communication	said
1461	1461	noun.person	Princess
1463	1463	verb.communication	sighing
1468	1469	verb.motion	moved away
1472	1472	verb.motion	wandered
1476	1476	verb.motion	came
1479	1479	noun.artifact	church
1483	1483	verb.motion	entered
1486	1486	verb.stative	was
1492	1492	noun.artifact	church
1493	1493	verb.stative	was
1499	1499	noun.artifact	altar
1504	1504	noun.artifact	bier
1506	1506	verb.stative	lay
1508	1508	noun.body	body
1512	1512	noun.person	man
1517	1517	verb.social	killed
1520	1520	noun.act	war
1524	1524	verb.body	dressed
1528	1528	noun.artifact	uniform
1532	1532	noun.body	breast
1534	1534	verb.contact	covered
1536	1536	noun.artifact	medals
1540	1540	noun.artifact	sword
1541	1541	verb.stative	lay
1547	1547	verb.social	shot
1550	1550	noun.body	heart
1554	1554	noun.body	face
1555	1555	verb.stative	was
1559	1559	noun.body	lips
1561	1561	verb.body	smiling
1564	1564	noun.person	Princess
1565	1565	verb.motion	walked
1568	1568	noun.body	side
1571	1571	verb.perception	looked
1575	1575	noun.body	face
1579	1579	verb.motion	stooped
1581	1581	verb.contact	kissed
1584	1584	noun.body	forehead
1587	1587	verb.emotion	envied
1589	1589	noun.person	soldier
1595	1595	verb.communication	speak
1599	1599	verb.communication	said
1605	1605	verb.communication	teach
1610	1610	noun.body	mouth
1613	1613	verb.body	smile
1620	1620	verb.perception	looked
1623	1623	verb.perception	saw
1626	1626	noun.person	angel
1627	1627	verb.contact	standing
1631	1631	noun.location	side
1634	1634	noun.artifact	bier
1638	1638	verb.cognition	knew
1640	1640	verb.stative	was
1641	1641	noun.person	Death
1646	1646	verb.communication	taught
1651	1651	verb.communication	said
1653	1654	verb.body	holding out
1656	1656	noun.body	arms
1662	1662	verb.communication	teach
1665	1665	verb.body	smile
1674	1674	verb.communication	said
1675	1675	noun.person	Death
1677	1677	verb.communication	pointing
1680	1680	noun.artifact	medals
1684	1684	noun.person	man
1686	1686	noun.body	breast
1690	1690	verb.communication	taught
1695	1695	verb.social	doing
1697	1697	noun.act	duty
1702	1702	verb.communication	teach
1708	1708	verb.communication	saying
1710	1710	verb.change	vanished
1713	1713	noun.location	sight
1716	1717	verb.motion	went out
1720	1720	noun.artifact	church
1724	1724	noun.object	sea
1726	1726	noun.object	shore
1729	1729	verb.stative	was
1732	1732	noun.object	sea
1737	1737	noun.phenomenon	wind
1741	1741	noun.person	child
1744	1744	verb.social	playing
1747	1747	noun.group	row
1749	1749	noun.object	rocks
1753	1753	verb.contact	slipped
1758	1758	noun.object	water
1762	1762	verb.contact	struggling
1765	1765	noun.event	waves
1771	1771	verb.contact	drowned
1775	1775	verb.stative	was
1778	1778	noun.attribute	depth
1781	1781	noun.object	water
1785	1785	noun.person	Princess
1786	1786	verb.perception	saw
1790	1790	verb.motion	plunged
1793	1793	noun.substance	water
1795	1795	verb.motion	swam
1799	1799	noun.person	child
1800	1800	verb.stative	was
1803	1803	verb.contact	taking
1807	1807	noun.body	arms
1809	1809	verb.contact	placed
1814	1814	noun.object	rocks
1819	1819	noun.event	waves
1820	1820	verb.stative	were
1827	1827	verb.stative	keep
1833	1833	verb.social	tried
1835	1835	verb.contact	seize
1837	1837	noun.object	rocks
1840	1840	verb.perception	saw
1841	1841	noun.person	Death
1842	1842	verb.motion	coming
1845	1845	noun.substance	water
1851	1851	verb.motion	turned
1853	1853	verb.motion	meet
1861	1861	verb.communication	said
1864	1864	verb.contact	clasping
1868	1868	noun.body	arms
1873	1873	verb.communication	teach
1879	1879	verb.cognition	know
1884	1884	verb.contact	drew
1888	1888	noun.object	water
1892	1892	verb.change	died
1900	1900	noun.person	Kings
1901	1901	noun.person	servants
1902	1902	verb.perception	found
1904	1904	verb.contact	lying
1907	1907	noun.object	shore
1911	1911	noun.body	face
1915	1915	noun.body	lips
1919	1919	verb.body	smiling
1924	1924	verb.body	smiled
1929	1929	noun.body	face
1930	1930	verb.stative	was
1935	1935	verb.contact	carried
1937	1937	noun.location	home
1946	1946	noun.state	state
1948	1948	verb.contact	covered
1950	1950	noun.attribute	gold
1952	1952	noun.substance	silver
1956	1956	verb.stative	was
1961	1961	verb.communication	sobbed
1964	1964	noun.person	maid
1968	1968	verb.contact	placed
1969	1969	noun.plant	flowers
1973	1973	noun.body	hand
1977	1977	verb.cognition	knew
1986	1986	verb.communication	said
1988	1988	noun.animal	skylark
1991	1991	noun.artifact	window
1996	1996	verb.communication	asked
2002	2002	verb.stative	am
2005	2005	verb.communication	teach
2015	2015	verb.stative	was
2018	2018	noun.communication	thing
2022	2022	verb.communication	teach
2026	2026	verb.communication	said
2028	2029	noun.person	old Wizard
2031	2031	verb.perception	looking
2035	2035	noun.person	Princess
2037	2037	noun.body	face
2042	2042	verb.cognition	think
2046	2046	verb.stative	be
2053	2053	verb.cognition	learned
2058	2058	verb.perception	see
2061	2061	verb.body	smiles
